Supplementary Table 3: Differential expression results (DESeq2) of primary sclerosing cholangitis patients with and without UC comorbidity vs healthy controls. (ii) PSC alone + PSC/UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
ABCA1;116.6071132;0.918016572;0.106585432;8.612964795;7.1195E-18;8.09985E-14
S100A12;2063.580224;1.195381463;0.157535566;7.588010083;3.24856E-14;1.84794E-10
PLBD1;1094.61354;0.621045141;0.083676413;7.421985704;1.15377E-13;4.33486E-10
DNAJB1;370.7597512;-0.293353452;0.039722664;-7.385039676;1.52408E-13;4.33486E-10
F5;259.4039849;0.738533206;0.102409496;7.211569571;5.53106E-13;1.04878E-09
TNFAIP6;327.7215279;0.913362185;0.126321323;7.230467238;4.81335E-13;1.04878E-09
BMX;40.87865735;1.174820838;0.165717965;7.08927871;1.34813E-12;2.19109E-09
ANXA3;85.46241574;1.175851566;0.168548265;6.976349288;3.02949E-12;4.30831E-09
CTB.61M7.2;215.6180335;0.768823878;0.110912013;6.93183593;4.15414E-12;4.79689E-09
BRI3;777.7931817;0.404520953;0.058488578;6.916238473;4.63793E-12;4.79689E-09
TXN;239.8097353;0.674492147;0.097494636;6.918248783;4.57261E-12;4.79689E-09
S100A6;5980.013685;0.429720817;0.062623313;6.861994334;6.79058E-12;6.43803E-09
DSC2;188.177682;0.873488303;0.128144599;6.81642697;9.33326E-12;8.16804E-09
MMP9;1121.646835;1.107839765;0.163161068;6.78985359;1.12247E-11;9.1217E-09
PYGL;812.6691453;0.632603564;0.09364814;6.755110817;1.42726E-11;1.08253E-08
SQRDL;466.0090858;0.394239541;0.058836389;6.700607342;2.07555E-11;1.38903E-08
C20orf24;377.7287526;0.383748724;0.057238546;6.704375812;2.02269E-11;1.38903E-08
PGLYRP1;144.6010896;0.952401344;0.142859927;6.666679461;2.61656E-11;1.65381E-08
RAB27A;581.3823447;0.367772719;0.055974907;6.570314043;5.02093E-11;3.00648E-08
LAMTOR5;303.5323347;0.413468071;0.063027921;6.560077896;5.37797E-11;3.05926E-08
TLR5;116.6037498;0.747282855;0.11448607;6.527281913;6.69739E-11;3.46346E-08
CYSTM1;537.832203;0.77136359;0.118082032;6.532438336;6.47074E-11;3.46346E-08
LMNB1;440.9933897;0.65030659;0.099914532;6.508628684;7.58399E-11;3.75144E-08
WDR82;876.4502692;-0.215270687;0.033212849;-6.481548307;9.07861E-11;4.30364E-08
CR1;102.0768093;0.707221467;0.109976822;6.430641052;1.27067E-10;5.78256E-08
TUBB;603.6539876;-0.266429402;0.041500908;-6.419845162;1.36413E-10;5.96912E-08
ABCG1;125.4690072;0.565605675;0.088635761;6.381235615;1.75665E-10;7.40199E-08
SRPK1;343.9778888;0.54933135;0.086333532;6.36289678;1.97984E-10;8.0445E-08
DHRS3;76.3990772;-0.521972018;0.082231631;-6.347581963;2.18725E-10;8.58083E-08
CLEC4D;53.6408115;1.047536329;0.165376666;6.334245061;2.38506E-10;9.04495E-08
MAPK14;1239.208549;0.508463505;0.080365273;6.326905746;2.50126E-10;9.17963E-08
C14orf64;127.7576764;-0.530811214;0.084309331;-6.29599603;3.05432E-10;1.08534E-07
C19orf59;331.4374956;1.052163626;0.16724099;6.291302296;3.14814E-10;1.08534E-07
LILRA5;762.9674548;0.635681524;0.101426931;6.267383991;3.67164E-10;1.2286E-07
IL7R;2383.367092;-0.479196152;0.076599438;-6.25587032;3.95305E-10;1.28497E-07
ACSL1;1794.645225;0.720522166;0.115492157;6.238710808;4.41192E-10;1.39429E-07
GLIPR2;1164.520764;0.311966265;0.050064956;6.231230238;4.62786E-10;1.42301E-07
ABLIM1;356.8724496;-0.450212713;0.072683352;-6.194165519;5.85946E-10;1.75429E-07
FBXL5;809.2873507;0.385507006;0.062482529;6.169836781;6.83605E-10;1.9942E-07
MGAM;339.1241496;0.73278333;0.119244418;6.145221238;7.98521E-10;2.27119E-07
BLOC1S1;177.7661903;0.417950881;0.068139578;6.133746291;8.58334E-10;2.38177E-07
CASP4;831.9362331;0.367501291;0.060183077;6.106389228;1.0191E-09;2.76056E-07
