Supplementary Table 2: Differential expression results (DESeq2) of ulcerative colitis patients vs healthy controls. (i) UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
S100A12;2063.580224;1.897995359;0.121715263;15.59373333;8.03004E-55;9.13577E-51
S100A9;21341.1581;1.202050858;0.084865842;14.16413046;1.52746E-45;8.68895E-42
C19orf59;331.4374956;1.774395563;0.128845739;13.77147257;3.7842E-43;1.4351E-39
COX5B;683.8844401;0.384246056;0.028398487;13.53051137;1.03303E-41;2.93818E-38
S100A6;5980.013685;0.62840588;0.048307991;13.00832147;1.09726E-38;2.08058E-35
ACLY;189.8087071;-0.472515953;0.036310802;-13.01309602;1.0308E-38;2.08058E-35
VPS9D1;115.1887774;0.886136756;0.069462808;12.75699594;2.84981E-37;4.63175E-34
BLOC1S1;177.7661903;0.664012527;0.052267298;12.70416773;5.60627E-37;7.97281E-34
UPP1;222.0182528;0.853505713;0.067523894;12.64005465;1.26966E-36;1.60499E-33
SNORA76.1;749.3711712;0.89988519;0.072316518;12.44370181;1.51325E-35;1.72162E-32
ZFP36L2;2145.181615;-0.441867744;0.035702801;-12.37627666;3.51264E-35;3.63303E-32
MEMO1;160.6922858;0.66641901;0.054047313;12.33028929;6.22229E-35;5.89925E-32
MYL6;3773.398036;0.735090109;0.059843514;12.28353856;1.11033E-34;9.71713E-32
HNRNPA0;706.6622151;-0.484793156;0.039486591;-12.27741221;1.19768E-34;9.73287E-32
ATP6V0E1;1069.42941;0.353456848;0.028833724;12.25845278;1.51362E-34;1.14803E-31
PGLYRP1;144.6010896;1.348471798;0.110594699;12.19291527;3.39071E-34;2.411E-31
TSPO;2104.961498;0.674863516;0.055865222;12.08020823;1.34379E-33;8.99312E-31
TAGAP;1055.012789;-0.553768385;0.046113849;-12.00872172;3.19749E-33;2.02099E-30
RNU7.45P;157.1925196;0.940915263;0.078559057;11.97717109;4.68023E-33;2.80247E-30
COX6B1;831.8272876;0.440445966;0.036833205;11.95785073;5.90711E-33;3.36026E-30
IL1R2;1016.886487;1.624880202;0.136068524;11.94163174;7.18006E-33;3.88988E-30
UBL5;645.4133492;0.585970822;0.04911854;11.92972789;8.28438E-33;4.28416E-30
TLR5;116.6037498;1.04029807;0.088929204;11.69804775;1.30419E-31;6.45122E-29
ARHGAP24;122.5741177;0.842888338;0.072473749;11.63025713;2.89225E-31;1.37105E-28
MT.TL1;3176.410245;1.192676799;0.102764517;11.60592035;3.84528E-31;1.74991E-28
S100A4;4995.529364;0.385481519;0.033408565;11.5384039;8.44782E-31;3.69657E-28
