Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	89/621	1.607253e-19	6.314895e-16	0	0	3.391407e+00	1.467617e+02	CXCL6;CSF3;IFITM1;IL1RN;CD40;PLVAP;CSF3R;IFITM2;CXCL8;IL26;ITGB2;SLA;CXCL1;CXCL3;CXCL2;CX3CL1;ICAM1;ITGAX;CASP1;TIMP1;JAK2;IL13RA2;JUNB;JAK3;APPL2;TRIM22;IL15RA;ANXA1;RIPK2;IL1R1;MMP1;MMP3;IRAK3;OSMR;PRLR;MMP9;IL17RB;HLA-E;AIM2;OAS2;IL1B;IRF1;OAS3;TFF2;RHOU;CD44;BIRC3;CCL11;MAOA;PTAFR;FPR1;TWIST1;NOD2;PTGS2;HIF1A;LRP8;PSMB10;HSP90B1;CNN2;SOCS3;MUC1;SOCS1;PSMB2;INPP5D;CCL4;CXCR2;CCL2;GBP1;DUOX2;IL33;NOS2;CCL20;STAT1;IL10RA;MSN;SOD2;PML;PSMB9;CXCL11;COL1A2;BCL6;CLCF1;IL2RA;LCN2;VIM;XAF1;IL18R1;LIMS1;PF4
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	75/482	1.209268e-18	2.375607e-15	0	0	3.704031e+00	1.528154e+02	CSF3;IL1RN;CD40;CSF3R;IFITM2;CXCL8;IL26;ITGB2;SLA;CXCL1;CXCL2;CX3CL1;ICAM1;HYAL1;ZC3H12A;ITGAX;CASP1;TIMP1;JAK2;IL13RA2;JUNB;JAK3;GBP5;ANXA1;IL1R1;MMP1;WNT5A;MMP3;IRAK3;OSMR;PRLR;MMP9;AIM2;IL1B;IRF1;CHI3L1;RHOU;TLR4;TLR2;CCL11;MAOA;PTAFR;LEF1;FPR1;TWIST1;CXCR4;PTGS2;HIF1A;LRP8;HSP90B1;SOCS3;MUC1;SOCS1;IFI16;INPP5D;CCL4;CCL2;GBP1;DUOX2;GBP4;XBP1;NOS2;CCL20;STAT1;IL10RA;PTPN13;COL1A2;BCL6;CLCF1;IL2RA;LCN2;MNDA;VIM;IL18R1;PF4
GO_Biological_Process_2021	extracellular structure organization (GO:0043062)	44/216	1.034691e-15	1.214909e-12	0	0	5.038143e+00	1.738395e+02	COL15A1;SPARC;LAMA4;PAPLN;ITGB2;ICAM2;TNC;LAMC1;NID1;ICAM1;ADAMTS1;KDR;SPP1;ITGAX;ITGAV;ADAMTS9;MMP7;VWF;MMP1;LAMB2;MMP3;BGN;LAMB1;MMP9;MMP10;COL1A1;MMP12;MMP14;COL3A1;VCAN;COL1A2;COL4A2;COL5A1;COL4A1;PXDN;COL5A2;COL6A1;PECAM1;MMP19;COL6A3;TGFBI;ITGA5;CD44;FBN1
GO_Biological_Process_2021	external encapsulating structure organization (GO:0045229)	44/217	1.236864e-15	1.214909e-12	0	0	5.008755e+00	1.719315e+02	COL15A1;SPARC;LAMA4;PAPLN;ITGB2;ICAM2;TNC;LAMC1;NID1;ICAM1;ADAMTS1;KDR;SPP1;ITGAX;ITGAV;ADAMTS9;MMP7;VWF;MMP1;LAMB2;MMP3;BGN;LAMB1;MMP9;MMP10;COL1A1;MMP12;MMP14;COL3A1;VCAN;COL1A2;COL4A2;COL5A1;COL4A1;PXDN;COL5A2;COL6A1;PECAM1;MMP19;COL6A3;TGFBI;ITGA5;CD44;FBN1
GO_Biological_Process_2021	extracellular matrix organization (GO:0030198)	52/300	3.099290e-15	2.435422e-12	0	0	4.147543e+00	1.385595e+02	SPARC;COL12A1;ITGB2;ICAM2;TNC;LAMC1;ICAM1;LOXL2;ADAMTS1;CTSK;SH3PXD2B;KDR;ITGAX;ITGAV;TIMP1;ADAMTS9;MMP7;VWF;MMP1;MMP3;BGN;P3H1;MMP9;MMP10;MMP12;GREM1;MMP14;VCAN;COL4A2;COL4A1;PXDN;COL6A1;PECAM1;MMP19;COL6A3;ITGA5;CD44;COL15A1;LAMA4;PAPLN;HTRA1;NID1;SPP1;LAMB2;LAMB1;COL1A1;COL3A1;COL1A2;COL5A1;COL5A2;TGFBI;FBN1
GO_Biological_Process_2021	regulation of angiogenesis (GO:0045765)	35/203	1.255022e-10	8.218305e-08	0	0	4.065630e+00	9.269108e+01	CD40;ECM1;SPARC;CXCL8;PLXND1;GATA6;TWIST1;THBS2;HIF1A;ETS1;HYAL1;ADAMTS1;ZC3H12A;KDR;ITGAX;PROK2;CD34;HOXA5;XBP1;ANXA3;STAT1;SERPINF1;WNT5A;VEGFC;SULF1;PML;WARS1;RGCC;COL4A2;IL1B;RHOJ;APLNR;CHI3L1;TEK;PF4
GO_Biological_Process_2021	inflammatory response (GO:0006954)	37/230	2.905120e-10	1.467855e-07	0	0	3.744016e+00	8.221625e+01	SERPINA3;CXCL6;IL1RN;CD40;CEBPB;CCL11;CXCL8;ITGB2;FPR1;CXCR4;ADM;CXCL1;CXCL3;CXCL2;CX3CL1;HYAL1;CXCR2;CCL4;PROK2;CCL2;APOL3;AFAP1L2;ANXA1;NOS2;RIPK2;CCL20;F2R;CYBA;TPST1;CXCL11;IL1B;IL2RA;CHI3L1;TLR4;CD44;TLR2;PF4
GO_Biological_Process_2021	response to cytokine (GO:0034097)	29/150	2.988761e-10	1.467855e-07	0	0	4.659855e+00	1.021952e+02	CD274;CSF3;IFITM1;CD40;IFITM2;CALCOCO2;LEF1;CXCR4;LAMP3;UBD;KYNU;CASP1;TIMP3;TIMP1;JAK2;JAK3;ANXA1;IL1R1;STAT1;IRAK3;OSMR;PTPN13;PML;SELP;COL3A1;IL1B;CHI3L1;XAF1;IL18R1
GO_Biological_Process_2021	positive regulation of cell motility (GO:2000147)	36/221	3.536693e-10	1.534026e-07	0	0	3.798026e+00	8.265515e+01	RIPOR1;CEMIP;CCL11;LEF1;PIK3R3;TWIST1;CLDN1;PLAU;PODXL;PDPN;DUOXA2;KDR;GCNT2;ITGAX;CCN1;DUOX2;ACVR1;SERPINB3;PDGFRB;XBP1;MMP7;CAVIN1;INSR;CAV1;F2R;LAMB1;SOD2;MMP9;COL1A1;VIL1;FGR;MMP14;CEACAM6;IL1B;PECAM1;FERMT2
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	26/124	3.904368e-10	1.534026e-07	0	0	5.148682e+00	1.115398e+02	ABCD3;CROT;PTGS2;HSD17B8;LIPC;CPT2;LIPG;MLYCD;ACADM;PPARGC1A;UGT1A8;CYP2J2;ACOT8;CPT1A;XBP1;ACOT11;ACSL5;ACSF3;CYP4F12;ACSF2;ACOX2;ACOX1;NAAA;PPARA;LPIN1;CRAT
