Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Salmonella infection	225/249	1.436818e-13	4.597816e-11	0	0	3.819073e+00	1.129345e+02	CYFIP2;CYFIP1;NCKAP1;ARPC5L;GCC2;ACTB;MYC;AKT3;TNFSF10;AKT1;VPS39;SKP1;DYNC2H1;VPS18;DYNC1LI1;MYL5;DYNC1LI2;MYL2;PFN4;PFN1;PFN2;TXN;ACTR3B;MYL12A;MYL12B;DYNC2LI1;RRAS;MYO6;VPS11;MYL10;NCKAP1L;SNX9;CD14;FADD;S100A10;VPS16;GSDMD;JUN;ARF1;ARPC1B;ARPC1A;WASL;IKBKB;TUBA1C;ACTR1A;TUBA1B;ACTR1B;TUBA1A;RAC1;HRAS;ANXA2;RIPK3;EXOC7;RIPK2;TUBB;IL18;RHOG;RHOH;FOS;DYNLL1;DYNLL2;RHOA;RHOB;TUBB2A;IL1B;RHOJ;EXOC4;TLR9;EXOC5;TLR6;TLR5;TLR4;EXOC2;ARF6;RAB7A;TLR2;AHNAK;SNX33;RELA;STX10;PAK1;TUBA3C;RPS3;FLNB;FLNC;DYNC1I1;DYNC1H1;TUBB4B;TUBB4A;ABI1;CTNNB1;RAB9A;PKN1;ACTR10;RAB9B;CSE1L;FHOD1;FBXO22;TNF;ACTG1;TXN2;PYCARD;TUBB6;KIF5C;TUBB3;KIF5B;KIF5A;TUBB1;KPNA4;KPNA3;MAP3K7;KPNA1;MAP2K3;MAP2K4;MAP2K1;MAP2K2;VPS33A;TUBA4A;ELMO1;ELMO2;RAF1;ARL8A;ARL8B;RAB5B;RAB5C;ARHGEF26;TCF7;LY96;KLC1;HSP90B1;KLC4;KLC3;KLC2;IRAK1;PODXL;NLRP3;RIPK1;MAP2K7;MAP2K6;MLKL;M6PR;TNFRSF10B;ARPC4;TNFRSF10A;ARPC5;NFKB1;IL6;PTPRC;ARPC2;BCL2;PLEKHM1;CYCS;PLEKHM2;TAB3;DYNLRB2;TAB2;DYNLRB1;TAB1;ACBD3;RAB5A;MYD88;TUBA8;CXCL8;HSP90AB1;TRADD;BRK1;PIK3CD;PIK3CB;PIK3CG;PIK3C2B;FYCO1;CASP7;CASP8;CASP5;CASP3;CASP4;CASP1;ACTR3;ACTR2;HSP90AA1;DYNLT1;DYNLT3;TRAF2;IRAK4;TIRAP;DNM2;TNFRSF1A;PIK3CA;TRAF6;PIK3C3;GAPDH;BIRC2;BIRC3;DCTN6;RALA;DCTN2;TUBAL3;DCTN1;ROCK2;DCTN4;DCTN3;LEF1;NOD1;NLRC4;CDC42;CYTH3;CYTH2;MAPK9;MAPK8;CYTH4;MAPK1;RILP;CYTH1;WASF3;MAPK3;TCF7L2;TCF7L1;AHNAK2;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;VPS41;BAX
KEGG_2021_Human	Pathways in cancer	444/531	1.471533e-11	2.354452e-09	0	0	2.088664e+00	5.209574e+01	RB1;ARAF;FZD10;ELK1;TFG;MYC;PRKACG;AKT3;AKT1;PRKACA;PRKACB;PRKCG;DAPK1;PRKCB;DAPK2;DAPK3;PRKCA;BCR;EML4;AR;ADCY9;AGTR1;CTBP2;CTBP1;PDGFB;PDGFA;HIF1A;TERT;PLCG2;HMOX1;PLCG1;FZD1;GSTM4;JAG2;GSTM3;WNT10B;CREBBP;FZD3;JUN;WNT10A;FZD2;JAG1;FZD5;JUP;FZD4;FZD7;FZD6;FN1;FZD8;BRAF;GSTM5;CDKN1A;CDKN1B;GLI1;BBC3;GLI2;IKBKB;HEY1;MECOM;HEY2;ELOB;ELOC;JAK2;JAK3;APPL1;JAK1;APC2;GSTO2;GSTO1;IFNGR1;IFNGR2;WNT9B;FOS;F2;DDB2;PLCB3;PLCB4;PAX8;RARA;PLCB1;PLCB2;PPARD;FH;GSTP1;ADCY4;WNT8A;ADCY3;WNT8B;ADCY2;ADCY1;ADCY8;PTGS2;ADCY7;ADCY6;EGFR;ADCY5;NRAS;STAT4;STAT6;BID;IL12RB1;RUNX1T1;EGLN1;CDKN2B;EGLN3;CDKN2A;STAT1;STAT2;WNT7B;STAT3;AGT;HEYL;CCDC6;CSF3R;EPO;ITGA2B;IL5RA;FGF1;FGF2;FGF4;FGF5;FGF6;FGF7;FGF9;CDH1;PIM1;IL13RA1;IFNAR2;MAP2K1;MAP2K2;TPM3;F2R;MITF;PGF;RBX1;MSH6;MSH2;SMO;MSH3;IL6ST;IFNA10;IFNAR1;NOTCH2;NOTCH3;NOTCH1;MAX;NOTCH4;CUL2;CUL1;GSTT1;FOXO1;KNG1;HSP90B1;BCL2L11;DVL1;TPR;ABL1;DVL2;DVL3;IFNA21;ZBTB17;ZBTB16;NFKB1;NFKB2;CDK6;CXCL12;CDK4;SP1;CDK2;BCL2;MDM2;BCL2L1;NFE2L2;ALK;HSP90AB1;FLT4;PTEN;PIK3CD;FASLG;PIK3CB;ITGAV;NKX3-1;HSP90AA1;ITGA3;ITGA2;PLEKHG5;ARNT;TRAF2;TRAF1;PIK3CA;TRAF4;TRAF3;TRAF6;IL3RA;BIRC5;SOS1;CRK;MET;BIRC2;BIRC3;CEBPA;HDAC2;ROCK1;HDAC1;ROCK2;IL2RG;LRP6;CDC42;E2F1;E2F2;E2F3;NTRK1;TXNRD2;TXNRD1;MTOR;PML;RAD51;APC;IL2RA;IL2RB;CALML5;HHIP;IL23R;KEAP1;CALML3;CALML4;CRKL;EDNRA;RASSF1;EDNRB;FRAT2;RPS6KA5;RASSF5;IL12B;SKP2;SKP1;IL15RA;FLT3LG;RUNX1;IL23A;EPAS1;MGST3;LPAR1;MGST1;LPAR2;PIK3R3;TGFA;KLK3;LPAR3;PIK3R1;FADD;RALGDS;STAT5A;STAT5B;GADD45B;GADD45A;IGF1;GNG12;GNG11;PTK2;GADD45G;GNG13;LPAR5;LPAR6;CALM3;GRB2;CALM1;CALM2;IFNA5;IFNA6;IFNA2;BRCA2;GNGT1;SUFU;RAC2;RAC3;RAC1;HRAS;NCOA1;EDN1;NCOA3;NCOA4;KIF7;RHOA;KIT;ARHGEF1;PTGER4;PTGER1;PTGER2;PTGER3;GNAI3;CXCR4;XIAP;GNAI1;RELA;GNAI2;RXRB;RXRA;CTNNA1;CTNNA3;CTNNA2;ARNT2;NQO1;VEGFB;VEGFC;MLH1;VEGFA;KITLG;GSTA4;GSTA1;CTNNB1;ETS1;IGF1R;CCND3;CCND2;CCND1;EP300;IL6R;PDGFRB;PDGFRA;RALBP1;IL4R;WNT5B;HGF;WNT5A;COL4A2;CCNE1;COL4A1;COL4A4;COL4A3;COL4A6;COL4A5;RAF1;TCF7;CSF2RB;PLD1;RASGRP2;STK4;CSF2RA;RASGRP1;RASGRP4;PLD2;WNT6;PMAIP1;WNT1;WNT2;FGF21;WNT4;SMAD2;TGFB2;SMAD3;TGFB1;TGFB3;PTCH2;ESR1;BMP4;FGF17;FGF16;IL3;BMP2;IL6;IL7;FGF19;GNB2;FGF18;GNB1;GNAS;GNB4;CYCS;GNB3;GNB5;FGFR4;IL7R;FGFR3;FGFR2;FGFR1;GSK3B;CXCL8;LAMC3;SLC2A1;LAMC2;LAMC1;CASP9;CASP7;CASP8;CASP3;BDKRB2;BDKRB1;POLK;ARHGEF11;ARHGEF12;MMP1;MMP2;AXIN2;MMP9;TGFBR1;TGFBR2;CCNA2;CAMK2B;LAMA5;CAMK2D;RALA;RALB;LAMA2;LAMA1;LAMA4;CAMK2A;LAMA3;LEF1;CBL;DLL1;DLL3;DLL4;GNA13;MAPK9;MAPK8;GNG2;WNT11;GNG4;GNA11;GNG7;ERBB2;GNA12;GNG8;MAPK1;HES1;VHL;CAMK2G;HES5;MAPK3;TCF7L2;TCF7L1;LAMB3;NOS2;BAD;EGF;LAMB2;LAMB1;EPOR;MAPK10;RPS6KB1;RPS6KB2;BAX;KRAS
KEGG_2021_Human	Human papillomavirus infection	284/331	2.636225e-10	2.811973e-08	0	0	2.461989e+00	5.430287e+01	RB1;PATJ;MAML2;MAML1;PPP2R2A;FZD10;RBPJ;TBK1;CREB3L3;PPP2R1B;CREB3L4;PPP2R1A;CREB3L1;PRKACG;AKT3;AKT1;ATP6V1E1;PRKACA;ATP6V1E2;PRKACB;HES7;HES6;ATP6V1G1;PRKCI;ATP6V0E1;ATP6V1G2;HLA-B;HLA-C;SCRIB;HLA-A;HLA-F;HLA-G;HLA-E;PARD3;TBPL1;ATP6V0D1;LLGL1;LLGL2;PIK3R3;PIK3R1;PRKCZ;TERT;ATP6V0A4;FADD;ATP6V1C1;ATP6V0A1;ATP6V1C2;FZD1;WNT10B;CREBBP;FZD3;WNT10A;FZD2;JAG1;FZD5;FZD4;FZD7;FZD6;FN1;EIF2AK2;FZD8;PTK2;COL1A1;COL1A2;COL9A1;ATM;COL9A3;GRB2;COL9A2;ATR;IFNA5;CDKN1A;CDKN1B;IFNA6;IFNA2;IKBKB;LFNG;HEY1;HEY2;HRAS;JAK1;APC2;ATP6V0B;WNT9B;TUBG2;TYK2;TUBG1;COL2A1;NFX1;ATP6V0C;TLR3;PTGER4;TNXB;WNT8A;WNT8B;RFNG;PTGS2;EGFR;RELA;PPP2CA;PPP2CB;NRAS;RELN;SPP1;ATP6V0E2;BCAP31;CSNK1A1;IFNB1;STAT1;STAT2;WNT7B;VEGFA;HEYL;CTNNB1;CRB3;ITGA2B;TNC;UBE3A;TNF;COMP;CCND3;CCND2;CCND1;EP300;IFNAR2;MAGI1;PDGFRB;MAP2K1;MAP2K2;WNT5B;WNT5A;TSC2;TSC1;TICAM1;COL4A2;CCNE1;COL4A1;COL4A4;MFNG;COL4A3;COL4A6;COL4A5;RAF1;IFNA10;IFNAR1;ATP6V1A;NOTCH2;NOTCH3;NOTCH1;NOTCH4;PXN;TCF7;UBR4;PSEN1;FOXO1;VTN;WNT6;CHAD;DVL1;DVL2;EIF4EBP1;ATP6V1H;DVL3;WNT1;ATP6V1D;WNT2;ATP6V1F;IFNA21;WNT4;ISG15;NFKB1;DLG1;CDK6;DLG2;DLG3;CDK4;RHEB;ITGA10;CDK2;ITGA11;TADA3;GNAS;MDM2;PALS1;GSK3B;ITGB5;ITGB4;LAMC3;ITGB3;TRADD;PTEN;PIK3CD;CHD4;FASLG;LAMC2;LAMC1;PIK3CB;TCIRG1;OASL;CASP8;CASP3;ITGB8;ITGAV;ITGB7;TBP;ATP6AP1;ITGA4;VWF;ITGA3;ITGA2;PPP2R5B;PPP2R5A;PPP2R5D;AXIN2;PPP2R5C;TNFRSF1A;CCNA2;RBL2;CREB3;CREB1;PKM;RBL1;IRF3;PIK3CA;TRAF3;COL6A2;IRF1;COL6A1;ATP6V1B2;ITGA8;COL6A3;ITGA7;COL6A6;COL6A5;ITGA5;SOS1;IRF9;ATP6V1B1;CREB5;ITGA9;RBPJL;LAMA5;HDAC2;LAMA2;HDAC1;LAMA1;LAMA4;LAMA3;PARD6G;THBS2;THBS1;THBS4;THBS3;CDC42;PARD6B;PARD6A;WNT11;PPP2R3C;E2F1;MAPK1;HES1;HES2;HES5;HES4;MAPK3;TCF7L2;TCF7L1;LAMB3;BAD;EGF;LAMB2;MX2;MX1;LAMB1;PPP2R3A;MTOR;APC;PPP2R2C;RPS6KB1;PPP2R2B;PPP2R2D;RPS6KB2;BAX;KRAS
KEGG_2021_Human	Endocytosis	219/252	2.523892e-09	2.019113e-07	0	0	2.698032e+00	5.341418e+01	VPS29;TFRC;WIPF1;ZFYVE9;WIPF2;ARPC5L;CBLC;CBLB;ZFYVE27;VPS35;VPS36;PRKCI;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;RUFY1;ZFYVE16;BIN1;PARD3;RUFY2;VPS25;VPS28;AGAP1;NEDD4L;AGAP3;VPS26B;ACTR3B;PRKCZ;SNX3;SNX4;SNX1;RAB11FIP1;SNX2;PIP5K1A;PIP5K1B;PIP5K1C;RAB11FIP2;RAB11FIP3;RAB11FIP4;SNX5;RAB11FIP5;SNX6;IQSEC2;IQSEC1;STAM;EHD1;SPART;EHD2;EHD4;ARF3;ARF4;ARF1;SH3KBP1;ARPC1B;ARPC1A;CLTC;CLTB;SNX12;CLTA;AP2A1;WASL;AP2A2;RAB22A;EEA1;CHMP1B;CHMP1A;CCR5;LDLRAP1;HRAS;GIT1;RAB8A;PSD;EPS15L1;RBSN;RHOA;ARF5;ARF6;RAB7A;CXCR4;EGFR;CXCR2;AP2S1;EPS15;LDLR;GIT2;GBF1;WWP1;AP2B1;RAB11A;RAB11B;ITCH;NEDD4;CAPZA2;HSPA1A;WASHC4;SH3GL3;IGF1R;KIF5C;KIF5B;KIF5A;AP2M1;SH3GL2;SH3GL1;WASHC3;SH3GLB1;PDGFRA;SH3GLB2;USP8;IST1;RNF41;ACAP3;ACAP2;ACAP1;RAB31;HGS;RAB35;CHMP4B;AMPH;CHMP4A;STAMBP;STAM2;RAB5B;RAB5C;TSG101;PLD1;PLD2;GRK1;GRK3;GRK2;GRK5;CLTCL1;GRK6;SMAD2;HSPA8;RAB4A;SMAD3;CAV3;SMURF2;CAV2;SMURF1;CAV1;VTA1;HSPA6;ARPC4;ARPC5;HSPA2;IGF2R;DAB2;ARPC2;CHMP2B;CHMP2A;MDM2;FGFR4;FGFR3;RAB5A;FGFR2;ARRB1;ARRB2;CAPZB;PSD2;PSD4;PSD3;ACTR3;ACTR2;PDCD6IP;ARAP3;VPS37D;VPS37A;ARAP1;ARFGAP3;ARFGAP1;DNM1;EPN1;TGFBR1;ARFGAP2;DNM2;EPN2;TGFBR2;DNM3;EPN3;RABEP1;TRAF6;CHMP6;CHMP7;CHMP5;SRC;VPS4B;VPS4A;ASAP3;PARD6G;ASAP1;ASAP2;CBL;IL2RG;CDC42;CYTH3;CYTH2;PARD6B;CYTH4;PARD6A;MVB12B;MVB12A;CYTH1;ARFGEF1;ARFGEF2;PML;RAB10;IL2RA;IL2RB;FOLR3;VPS45;FOLR2;SMAP2;FOLR1;SMAP1;SPG21
KEGG_2021_Human	Thyroid hormone signaling pathway	112/121	5.952414e-09	3.809545e-07	0	0	5.042168e+00	9.549599e+01	ACTB;ACTG1;CCND1;MYC;PRKACG;AKT3;AKT1;EP300;PLCE1;PRKACA;SLC16A2;PRKACB;PRKCG;MED1;MAP2K1;MAP2K2;PRKCB;DIO1;DIO2;ATP1B4;DIO3;TSC2;ATP1B3;PRKCA;ATP1B2;ATP1B1;MED4;RAF1;NOTCH2;PFKFB2;NOTCH3;NOTCH1;NOTCH4;PIK3R3;GATA4;PIK3R1;HIF1A;FOXO1;SLC9A1;MED30;PLCG2;PLCG1;WNT4;CREBBP;ESR1;MED13L;BMP4;RCAN1;RHEB;RCAN2;MDM2;GSK3B;THRB;THRA;ITGB3;ATP2A3;SLC2A1;ATP2A2;PIK3CD;ATP2A1;PIK3CB;MED16;MED17;CASP9;MED12;MED14;MED13;SIN3A;ITGAV;HRAS;NCOA1;NCOA2;PDPK1;NCOA3;MED27;KAT2B;KAT2A;PLCB3;MED24;NCOR1;PLCB4;PIK3CA;TBC1D4;PLCB1;PLCB2;MYH6;MYH7;HDAC2;HDAC3;HDAC1;SRC;ATP1A4;ATP1A3;ATP1A2;ATP1A1;RXRB;NRAS;PLN;RXRA;MAPK1;MAPK3;BAD;STAT1;MTOR;PFKL;CTNNB1;KRAS;PLCD3;PFKM;PLCD4;PFKP;PLCD1
KEGG_2021_Human	Focal adhesion	176/201	2.660529e-08	1.418949e-06	0	0	2.857391e+00	4.983906e+01	MYLK2;ITGA2B;TNC;ELK1;ACTB;ARHGAP35;CRKL;MYLK;ACTG1;IGF1R;COMP;PPP1CB;PPP1CC;CCND3;CCND2;CCND1;AKT3;KDR;CAPN2;AKT1;PRKCG;PDGFRB;PDGFRA;MAP2K1;PRKCB;ACTN1;HGF;PRKCA;ACTN4;PGF;MYL5;COL4A2;COL4A1;MYL2;COL4A4;COL4A3;COL4A6;COL4A5;TLN2;TLN1;RAF1;VCL;SHC4;SHC3;SHC1;PXN;PDGFB;PDGFA;PIK3R3;PIK3R1;MYL12A;MYL12B;VTN;RAP1A;PDGFC;CHAD;MYL10;PIP5K1A;PIP5K1B;PIP5K1C;VASP;JUN;CAV3;CAV2;CAV1;FN1;BRAF;PARVA;IGF1;PARVB;PTK2;COL1A1;DIAPH1;COL1A2;PARVG;ITGA10;ITGA11;COL9A1;BCL2;COL9A3;GRB2;COL9A2;GSK3B;FLT1;ITGB5;ITGB4;LAMC3;FLT4;ITGB3;RASGRF1;PTEN;ILK;PIK3CD;LAMC2;LAMC1;PIK3CB;ARHGAP5;RAC2;RAC3;ITGB8;ITGAV;ITGB7;RAC1;HRAS;VAV3;PPP1R12A;ITGA4;VWF;ITGA3;PDPK1;ITGA2;RHOA;VAV1;VAV2;COL2A1;PIK3CA;COL6A2;COL6A1;RAPGEF1;ITGA8;COL6A3;ITGA7;COL6A6;COL6A5;ITGA5;PPP1R12B;SOS1;CRK;DOCK1;MET;BIRC2;BIRC3;ITGA9;LAMA5;TNXB;LAMA2;ROCK1;LAMA1;ROCK2;SRC;LAMA4;LAMA3;XIAP;THBS2;THBS1;EGFR;THBS4;THBS3;CDC42;MAPK9;PAK1;MAPK8;RELN;ERBB2;SPP1;PAK6;MAPK1;FLNB;FYN;FLNC;PAK2;PAK4;MAPK3;LAMB3;BAD;EGF;LAMB2;VEGFB;VEGFC;LAMB1;PPP1CA;VEGFA;MAPK10;ZYX;CTNNB1;BCAR1
KEGG_2021_Human	MAPK signaling pathway	249/294	4.378177e-08	2.001452e-06	0	0	2.249669e+00	3.811851e+01	ATF2;ARAF;ELK1;CRKL;RPS6KA4;RPS6KA3;RPS6KA6;RPS6KA5;MYC;PRKACG;RPS6KA2;AKT3;RPS6KA1;STMN1;KDR;AKT1;PRKACA;PRKACB;PRKCG;DAXX;IL1R1;PRKCB;CACNA2D1;CACNA2D3;CACNA2D2;FLT3LG;PRKCA;CACNA2D4;MAPK8IP3;EREG;MAPK8IP1;DDIT3;EPHA2;PDGFB;PDGFA;TGFA;NLK;PPP3R1;PPP3R2;RRAS;PDGFC;CD14;NGFR;JUN;JUND;GADD45B;GADD45A;INSR;NFATC3;BRAF;NFATC1;IGF1;GNG12;GADD45G;PPP5C;GRB2;PTPRR;ECSIT;IKBKB;PPP3CA;PPP3CC;MECOM;RAC2;RAC3;RAC1;HRAS;DUSP4;MAP4K1;DUSP5;MAP4K2;DUSP2;DUSP3;DUSP1;RRAS2;FOS;DUSP8;DUSP9;DUSP6;DUSP7;MRAS;IL1B;KIT;RAPGEF2;MAPT;EGFR;RELA;RELB;NRAS;PAK1;FLNB;FLNC;PAK2;MAP4K3;MAP4K4;MAP3K2;MAP3K3;VEGFB;VEGFC;VEGFA;KITLG;TAOK3;TAOK1;TAOK2;LAMTOR3;HSPA1A;CSF1;IL1RAP;FGF1;FGF2;TNF;FGF4;IGF1R;FGF5;FGF6;FGF7;FGF9;MAP3K6;MAP3K7;MAP3K4;MAP3K5;MAP2K3;PDGFRB;MAP2K4;PDGFRA;MAP2K1;MAP2K2;HGF;PGF;CDC25B;CACNB1;CACNB2;CACNB3;CACNB4;MAPKAPK3;MAPKAPK2;MAPKAPK5;RAF1;MAX;CACNA1B;CACNA1A;CACNA1C;CACNA1F;RASGRP2;STK4;CACNA1E;RASGRP1;CACNA1H;RASGRP4;CACNA1G;STK3;CACNA1I;RAP1A;IRAK1;MAP3K20;CACNA1S;MAP2K7;MAP2K5;FGF21;MAP2K6;HSPA8;TGFB2;TGFB1;BDNF;TGFB3;HSPA6;HSPA2;NFKB1;NFKB2;EFNA1;FGF17;FGF16;NR4A1;EFNA2;FGF19;FGF18;NF1;TAB2;TAB1;FGFR4;MAP3K13;FGFR3;MAP3K14;FGFR2;MAP3K11;MYD88;FGFR1;MAP3K12;FLT1;FLT4;TRADD;RASGRF1;ARRB1;FASLG;ARRB2;DUSP16;DUSP10;CASP3;PLA2G4F;PLA2G4C;PLA2G4A;TRAF2;IRAK4;TGFBR1;TGFBR2;TNFRSF1A;PPM1A;PPM1B;RASA1;TRAF6;RASA2;SOS1;CRK;MET;SRF;INS;CACNG6;CDC42;CACNG7;MAPK9;CACNG8;MAPK8;MAPK7;ERBB3;ERBB4;MKNK1;ERBB2;GNA12;MKNK2;MAPK1;CACNG1;CACNG2;CACNG3;CACNG4;CACNG5;MAPK3;NTRK1;ANGPT4;NTRK2;ANGPT1;EGF;MAPK14;MAPK12;MAPK13;MAPK10;MAPK11;KRAS;PTPN7;TEK;PTPN5
KEGG_2021_Human	Adrenergic signaling in cardiomyocytes	134/150	7.608935e-08	3.043574e-06	0	0	3.394469e+00	5.563996e+01	ATF2;CALML5;CALML3;PPP2R2A;CALML4;SLC8A1;PPP1CB;PPP1CC;RPS6KA5;CREB3L3;PPP2R1B;CREB3L4;PPP2R1A;CREB3L1;PRKACG;AKT3;AKT1;PRKACA;PRKACB;SCN1B;TPM4;TPM3;CACNA2D1;TPM2;TPM1;CACNA2D3;ATP1B4;CACNA2D2;ATP1B3;PRKCA;ATP1B2;CACNA2D4;ATP1B1;CACNB1;MYL4;CACNB2;CACNB3;ADCY9;CACNB4;KCNQ1;MYL2;MYL3;AGTR1;KCNE1;CREM;ADRB2;CACNA1C;CACNA1F;PIK3R6;PIK3R5;SLC9A1;CACNA1S;PPP1R1A;BCL2;GNAS;CALM3;CALM1;CALM2;RYR2;ATP2A3;ATP2A2;ADRA1D;ATP2A1;ADRA1B;ADRA1A;PIK3CG;SCN5A;TNNC1;PPP2R5B;PPP2R5A;PPP2R5D;PPP2R5C;CREB3;PLCB3;CREB1;PLCB4;TNNT2;PLCB1;PLCB2;SCN4B;MYH6;CREB5;MYH7;RAPGEF4;CAMK2B;CAMK2D;ATF6B;CAMK2A;ADCY4;ATP1A4;GNAI3;ADCY3;ATP1A3;ADCY2;ATP1A2;ADCY1;ATP1A1;ADCY8;ADCY7;ADCY6;GNAI1;ADCY5;GNAI2;CACNG6;PPP2CA;CACNG7;PPP2CB;CACNG8;PLN;PPP2R3C;MAPK1;TNNI3;CACNG1;CACNG2;CACNG3;CAMK2G;CACNG4;CACNG5;MAPK3;ATP2B4;ATP2B3;ATP2B1;PPP2R3A;MAPK14;AGT;MAPK12;MAPK13;PPP1CA;SLC8A3;MAPK11;ACTC1;PPP2R2C;PPP2R2B;PPP2R2D
KEGG_2021_Human	Insulin signaling pathway	123/137	1.308223e-07	4.651459e-06	0	0	3.559408e+00	5.641457e+01	CALML5;IRS1;ARAF;INPPL1;CALML3;CBLB;IRS2;CALML4;ELK1;CRKL;PPP1CB;LIPE;PPP1CC;PRKACG;AKT3;AKT1;PRKACA;PRKACB;MAP2K1;PRKAB2;PRKCI;MAP2K2;RPS6;TSC2;PHKA1;TSC1;PHKA2;PRKAB1;PPP1R3F;PPP1R3C;PRKAR1B;PRKAR1A;PPP1R3E;PPP1R3D;RAF1;SHC4;SHC3;SHC1;PIK3R3;PIK3R1;ACACB;PRKCZ;ACACA;FOXO1;SOCS2;SOCS3;INPP5A;SOCS1;PRKAR2B;PRKAR2A;EIF4EBP1;PCK1;PPARGC1A;SOCS4;PCK2;INSR;BRAF;PHKB;G6PC1;G6PC2;G6PC3;RHEB;FASN;CALM3;GRB2;CALM1;CALM2;GSK3B;PYGB;PDE3B;PRKAG1;PIK3CD;PRKAG2;PIK3CB;PYGL;SLC2A4;HK2;PTPRF;HK1;GYS2;IKBKB;RPTOR;GYS1;HK3;FLOT1;FLOT2;HRAS;SREBF1;EXOC7;PDPK1;PIK3CA;HKDC1;RAPGEF1;EIF4E2;SOS1;CRK;FBP1;RHOQ;PRKAA2;CBL;INS;MAPK9;MAPK8;NRAS;PHKG1;MKNK1;MKNK2;PHKG2;MAPK1;EIF4E;SH2B2;MAPK3;PKLR;BAD;SORBS1;GCK;MTOR;PPP1CA;MAPK10;RPS6KB1;RPS6KB2;TRIP10;KRAS
KEGG_2021_Human	Rap1 signaling pathway	181/210	2.295628e-07	7.152821e-06	0	0	2.532374e+00	3.871262e+01	CALML5;CSF1;ITGA2B;CALML3;CALML4;FGF1;FGF2;ACTB;CRKL;ACTG1;FGF4;IGF1R;FGF5;FGF6;FGF7;FGF9;CDH1;RASSF5;AKT3;KDR;AKT1;PLCE1;PRKCG;MAGI1;MAP2K3;PDGFRB;PDGFRA;PRKCI;MAP2K1;MAP2K2;PRKCB;HGF;MAGI3;F2R;MAGI2;PRKCA;PGF;TIAM1;ADCY9;PRKD3;PARD3;PFN4;PRKD2;PRKD1;TLN2;PFN1;TLN1;RAF1;SKAP1;EPHA2;PFN2;FPR1;LPAR1;PDGFB;LPAR2;PDGFA;PIK3R3;LPAR3;PIK3R1;RASGRP2;PRKCZ;RAP1GAP;GRIN2A;RAP1A;RRAS;PDGFC;PLCG1;DRD2;RALGDS;FGF21;MAP2K6;VASP;NGFR;FYB1;INSR;BRAF;IGF1;GRIN2B;EFNA1;FGF17;GNAO1;AFDN;FGF16;EFNA2;LPAR5;FGF19;ID1;FGF18;GNAS;CALM3;CALM1;FGFR4;CALM2;FGFR3;FGFR2;LAT;FGFR1;DOCK4;FLT1;ITGAM;FLT4;ITGB3;ITGB2;PIK3CD;PIK3CB;SIPA1L2;ITGAL;SIPA1L3;SIPA1L1;RAC2;RAC3;RAC1;HRAS;VAV3;ARAP3;RHOA;VAV1;VAV2;APBB1IP;ENAH;PLCB3;MRAS;PLCB4;ADORA2A;PIK3CA;KIT;RAPGEF1;RAPGEF2;EVL;LCP2;PLCB1;PLCB2;RAPGEF6;CRK;MET;RAPGEF4;RALA;RALB;RGS14;SRC;ADCY4;GNAI3;ADCY3;PARD6G;ADCY2;ADCY1;ADCY8;ADCY7;THBS1;ADCY6;EGFR;GNAI1;ADCY5;GNAI2;INS;CDC42;NRAS;PARD6B;PARD6A;CNR1;KRIT1;MAPK1;MAPK3;FARP2;ANGPT4;ANGPT1;EGF;VEGFB;VEGFC;MAPK14;MAPK12;GRIN1;VEGFA;MAPK13;MAPK11;KITLG;CTNNB1;KRAS;TEK;SIPA1;BCAR1
