Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Signaling By Interleukins R-HSA-449147	68/453	3.466494e-16	2.526855e-13	0	0	3.527730e+00	1.255809e+02	CSF3;IL1RN;CSF3R;CXCL8;IL26;ITGB2;CXCL1;CXCL2;ICAM1;RPS6KA2;ITGAX;CASP1;TIMP1;JAK2;IL13RA2;JAK3;DUSP4;IKBIP;IL15RA;ANXA1;RIPK2;IL1R1;MMP1;MMP3;IRAK3;OSMR;MMP9;DUSP6;IL17RB;DUSP7;IL1B;RHOU;CCL11;MAOA;PTAFR;FPR1;NLRC5;PIK3R3;TWIST1;NOD2;PTGS2;HIF1A;PSMB10;HSP90B1;CNN2;SOCS3;MUC1;SOCS1;PSMB2;INPP5D;CCL4;S100A12;CCL2;LYN;IL33;CCL20;STAT1;IL10RA;MSN;PTPN13;PSMB9;COL1A2;BCL6;CLCF1;IL2RA;LCN2;VIM;IL18R1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	89/702	4.204418e-16	2.526855e-13	0	0	2.930367e+00	1.037503e+02	CSF3;IFITM1;IL1RN;CD40;CSF3R;IFITM2;CXCL8;IL26;ITGB2;UBE2L6;CXCL1;CXCL2;ICAM1;TRIM29;RPS6KA2;ITGAX;CASP1;TIMP1;JAK2;IL13RA2;JAK3;TRIM22;DUSP4;IKBIP;GBP5;IL15RA;ANXA1;RIPK2;SGIP1;IL1R1;MMP1;MMP3;IRAK3;OSMR;PRLR;MMP9;DUSP6;IL17RB;DUSP7;HLA-E;OAS2;IL1B;IRF1;OAS3;RHOU;CD44;BIRC3;CCL11;MAOA;PTAFR;FPR1;NLRC5;PIK3R3;TWIST1;NOD2;PTGS2;HIF1A;PSMB10;HSP90B1;CNN2;SOCS3;MUC1;SOCS1;PSMB2;INPP5D;CCL4;S100A12;CCL2;GBP1;GBP4;LYN;IL33;CCL20;STAT1;IL10RA;MSN;PTPN13;PML;PSMB9;SMAD7;SEPSECS;COL1A2;BCL6;CLCF1;IL2RA;LCN2;VIM;XAF1;IL18R1
Reactome_2022	Metabolism R-HSA-1430728	181/2049	7.698061e-15	3.084356e-12	0	0	2.026870e+00	6.586883e+01	GLTP;ISCA1;SLC23A1;ECI1;TACO1;GBA3;GBA2;PPIP5K1;NAMPT;PDK4;MLYCD;CHAC1;HADH;SEPHS2;PDK2;CSGALNACT1;ACOT9;ACOT8;CPT1A;PHYH;MIGA2;ENTPD5;ACOT11;SPNS2;MED9;ACSL5;CMBL;SLC51B;PHKA2;ASRGL1;CH25H;TPST1;PLPP6;MTHFD2;PPA1;FDX1;SUCLG2;SUCLG1;CES2;IDO1;PLA1A;ABCG2;CEMIP;RTEL1;PFKFB3;NNMT;SLC22A5;RETSAT;MTARC2;MAOA;PEX11A;AK2;GMPR;PIK3R3;ADH6;SULT1A1;LDHB;NEU4;CHST11;INPP5D;SLCO1B3;CHST15;INPP5J;DECR2;PCK1;PPARGC1A;ST3GAL1;PPARGC1B;PCK2;GSTM4;ESRRA;MPST;CYP2J2;CHKA;VDR;SLC10A2;CAV1;OSBPL3;EPHX2;SRD5A3;COQ9;G6PC1;CYP4F12;GNG11;ACSF3;ACSF2;GLUD1;SEPSECS;ALDH6A1;NAT8;VNN2;TCN1;PXMP2;TBXAS1;CRYL1;HPSE;ACO2;OSBPL1A;ADA;TNFAIP8;MOGAT2;LPCAT1;SLC2A3;CROT;ALAD;CPT2;AUH;KYNU;FLVCR1;IDH3B;UGT2A3;CD38;ACADM;HMGCS2;PLA2G12A;ABCC1;SPHK2;BGN;AMT;ABHD14B;AMPD3;PTGR1;GPCPD1;PGM2L1;PARP8;HADHB;SLC7A5;HADHA;VCAN;BDH2;PKM;ACOX2;ACOX1;CHDH;ITPKA;PPARA;MOCS1;ASPA;CHST2;CD44;BLVRA;RBKS;DDC;ACSS2;ADH1C;ETFDH;PTGS2;HSD17B11;LRP8;HSD17B8;BPHL;PSMB10;DDO;AGPAT4;GNA15;PSMB2;CHSY1;GNA11;HSD17B2;SLC25A20;UGT1A8;DUOX2;UGT1A6;CBR3;FAHD1;TPK1;SMOX;HSD3B1;SUOX;FMO4;PTPN13;HS3ST1;PSMB9;AGMAT;FABP1;FABP2;PSAT1;LPCAT3;CHPT1;LPIN1;CRAT
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	50/291	1.524633e-14	4.581522e-12	0	0	4.096746e+00	1.303357e+02	SPARC;COL12A1;ITGB2;ICAM2;LAMC1;ICAM1;LOXL2;EFEMP2;ADAMTS1;CTSK;KDR;ITGAX;ITGAV;TIMP1;ADAMTS9;CTSB;MMP7;MMP1;ACTN1;MMP3;BGN;P3H1;PCOLCE;MMP9;MMP10;MMP12;MMP14;VCAN;COL4A2;CEACAM6;COL4A1;PXDN;COL6A1;PECAM1;MMP19;COL6A3;ITGA5;CD44;COL15A1;LAMA4;HTRA1;NID1;LAMB1;COL1A1;CAPN13;COL3A1;COL1A2;COL5A1;COL5A2;FBN1
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	29/107	3.620993e-14	8.704866e-12	0	0	7.245214e+00	2.242353e+02	CXCL8;CCL11;MAOA;ITGB2;TWIST1;PTGS2;HIF1A;ICAM1;HSP90B1;SOCS3;MUC1;SOCS1;ITGAX;CCL2;TIMP1;IL13RA2;JAK2;JAK3;ANXA1;MMP1;STAT1;MMP3;MMP9;COL1A2;BCL6;IL1B;LCN2;RHOU;VIM
Reactome_2022	Immune System R-HSA-168256	166/1943	2.203349e-12	4.414042e-10	0	0	1.929139e+00	5.178009e+01	FCN1;CSF3;IFITM1;IL1RN;FCN3;CSF3R;IFITM2;NCF2;ICAM2;C4BPA;UBE2L6;C4BPB;ICAM1;TRIM29;PLAU;RPS6KA2;CDC27;COTL1;FBXO6;CPNE2;IL13RA2;TRIM22;ZBP1;GBP5;IL15RA;CD93;IL1R1;CYBA;OLFM4;PRLR;HLA-E;RAB31;CFB;CD274;MAOA;CFI;FPR1;DAPP1;PIK3R3;TWIST1;IQGAP2;HIF1A;HSP90B1;CNN2;ADGRG3;SOCS3;SOCS1;PRDX4;INPP5D;SLAMF7;S100A12;PI3;S100A11;LYN;BTN2A2;MSN;SMAD7;SEPSECS;COL1A2;NAT8;BCL6;TCN1;LCN2;HPSE;OSBPL1A;XAF1;SERPINA3;CD40;CXCL8;LEAP2;IL26;ITGB2;LPCAT1;SLC2A3;CXCL1;TREM1;CXCL2;ALAD;CASP10;CTSK;STBD1;CASP4;ITGAX;RAC2;CASP1;TRIM69;ITGAV;ACP3;TIMP1;JAK2;JAK3;CTSC;CTSB;IKBIP;DUSP4;SERPINB3;ANXA1;BTN3A1;RIPK2;MMP1;SGIP1;MMP3;PLAUR;IRAK3;BTN3A3;AMPD3;OSMR;MMP9;DUSP6;IL17RB;DUSP7;MMP12;FGR;PKM;AIM2;CEACAM6;OAS2;IL1B;IRF1;OAS3;PECAM1;CHI3L1;LCP2;RHOU;PLEKHO2;TLR4;CD44;BIRC3;TLR2;CCL11;PTAFR;ASB13;NLRC5;NOD2;PTGS2;LILRA3;PSMB10;RNF135;MUC1;PGRMC1;PSMB2;IFI16;CCL4;CXCR2;STOM;CCL2;CD59;POLR2H;GBP1;GBP4;CD55;IL33;STAT1;CCL20;IL10RA;PTPN13;PML;PSMB9;LRG1;STING1;IL2RA;CLCF1;TRIM36;MNDA;VIM;IL18R1
Reactome_2022	Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090	18/57	1.598273e-10	2.744464e-08	0	0	8.911640e+00	2.010192e+02	COL15A1;MMP7;LAMA4;MMP3;PCOLCE;MMP9;LOXL2;COL1A1;COL3A1;COL1A2;COL4A2;COL5A1;COL4A1;COL6A1;PXDN;COL5A2;COL6A3;CTSB
Reactome_2022	Interleukin-10 Signaling R-HSA-6783783	16/45	2.227268e-10	3.346470e-08	0	0	1.063695e+01	2.364070e+02	CSF3;IL1RN;CXCL8;CCL20;IL1R1;IL10RA;PTAFR;FPR1;CXCL1;PTGS2;CXCL2;ICAM1;IL1B;CCL4;CCL2;TIMP1
Reactome_2022	Metabolism Of Lipids R-HSA-556833	77/732	4.950542e-10	6.611724e-08	0	0	2.336498e+00	5.006264e+01	GLTP;TNFAIP8;MOGAT2;ECI1;LPCAT1;CROT;GBA3;GBA2;CPT2;MLYCD;HMGCS2;ACADM;HADH;ACOT9;ACOT8;PLA2G12A;CPT1A;PHYH;ABCC1;MIGA2;SPHK2;ACOT11;SPNS2;MED9;ACSL5;PTGR1;SLC51B;GPCPD1;HADHB;CH25H;HADHA;PLPP6;BDH2;ACOX2;ACOX1;FDX1;PPARA;PLA1A;SLC22A5;PEX11A;PIK3R3;PTGS2;HSD17B11;HSD17B8;AGPAT4;NEU4;INPP5D;SLCO1B3;HSD17B2;INPP5J;SLC25A20;DECR2;PPARGC1A;PPARGC1B;GSTM4;ESRRA;CYP2J2;CHKA;VDR;OSBPL3;SLC10A2;CAV1;EPHX2;SRD5A3;HSD3B1;PTPN13;ACSF3;ACSF2;FABP1;FABP2;NAT8;LPCAT3;TBXAS1;CHPT1;OSBPL1A;LPIN1;CRAT
Reactome_2022	Innate Immune System R-HSA-168249	96/1035	2.963689e-09	3.562354e-07	0	0	2.042580e+00	4.010979e+01	FCN1;SERPINA3;FCN3;NCF2;LEAP2;ITGB2;ICAM2;LPCAT1;C4BPA;UBE2L6;SLC2A3;CXCL1;C4BPB;TREM1;ALAD;CASP10;PLAU;CTSK;STBD1;RPS6KA2;CASP4;ITGAX;RAC2;COTL1;CASP1;ITGAV;ACP3;CPNE2;CTSC;CTSB;IKBIP;DUSP4;ZBP1;SERPINB3;CD93;RIPK2;PLAUR;CYBA;IRAK3;AMPD3;OLFM4;MMP9;DUSP6;DUSP7;HLA-E;MMP12;FGR;RAB31;PKM;AIM2;CEACAM6;IL1B;PECAM1;CHI3L1;LCP2;PLEKHO2;TLR4;CD44;CFB;BIRC3;TLR2;PTAFR;CFI;FPR1;NLRC5;NOD2;IQGAP2;LILRA3;PSMB10;HSP90B1;CNN2;ADGRG3;RNF135;MUC1;PGRMC1;SOCS1;PRDX4;PSMB2;IFI16;CXCR2;STOM;S100A12;CD59;PI3;POLR2H;CD55;S100A11;LYN;PSMB9;LRG1;NAT8;STING1;TCN1;LCN2;MNDA;HPSE
