Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathway_2023_Human	Type II Interferon Signaling WP619	10/37	1.656642e-08	8.482007e-06	0	0	1.471882e+01	2.637007e+02	SOCS3;SOCS1;NOS2;STAT1;IL1B;IRF1;TAP1;JAK2;GBP1;PSMB9
WikiPathway_2023_Human	Mitochondrial Fatty Acid Oxidation Disorders WP5123	7/19	2.272550e-07	4.233995e-05	0	0	2.305882e+01	3.527353e+02	HADHA;CPT1A;SLC22A5;CPT2;ECI1;ACADM;ACSF2
WikiPathway_2023_Human	Burn Wound Healing WP5055	12/74	2.807556e-07	4.233995e-05	0	0	7.709413e+00	1.163025e+02	COL1A1;CXCL8;COL1A2;IL1B;TNC;PECAM1;CXCL1;TIMP1;MMP9;TLR4;FGFR3;S100A11
WikiPathway_2023_Human	Lung Fibrosis WP3624	11/63	4.066747e-07	4.233995e-05	0	0	8.413088e+00	1.238007e+02	RTEL1;CEBPB;CXCL8;CCL11;PLAU;IL1B;SPP1;TIMP1;CXCL2;MMP9;SMAD7
WikiPathway_2023_Human	Amino Acid Metabolism WP3925	13/91	4.134760e-07	4.233995e-05	0	0	6.646817e+00	9.769935e+01	MPST;DDC;ADH1C;MAOA;WARS1;GLUD1;PKM;AUH;SUCLG1;ACADM;ACO2;ALDH18A1;PCK1
WikiPathway_2023_Human	Network Map Of SARS CoV 2 Signaling Pathway WP5115	20/218	6.321311e-07	5.394186e-05	0	0	4.061869e+00	5.797980e+01	IFITM1;CEBPB;CCL11;CXCL8;BTN3A1;STAT1;CCL20;CFI;CXCL1;CXCL3;HIF1A;CXCL2;LRG1;CASP5;OAS2;IL1B;DDIT4;JAK2;APOL1;CFB
WikiPathway_2023_Human	Mitochondrial Long Chain Fatty Acid Beta Oxidation WP368	6/17	2.319470e-06	1.696527e-04	0	0	2.151895e+01	2.791906e+02	HADHA;CPT1A;CPT2;ECI1;ACADM;ACSF2
WikiPathway_2023_Human	Complement System WP2806	12/95	4.349290e-06	2.652036e-04	0	0	5.752617e+00	7.101892e+01	FCN1;CD40;CD93;CFI;FPR1;SPP1;C4BPA;ADM;CD59;CFB;CD55;C2
WikiPathway_2023_Human	Nuclear Receptors Meta Pathway WP2882	23/314	4.661781e-06	2.652036e-04	0	0	3.182887e+00	3.907348e+01	GSTM4;SRGN;CPT1A;ABCB1;CCL20;SLC6A14;PTGR1;EPB41L4B;SLC7A5;CPT2;ACOX1;IL1B;BHLHE40;PDE4B;ME1;SLC39A5;ACADM;PCK1;PPARA;PPARGC1A;CES2;CBR3;BIRC3
WikiPathway_2023_Human	PPAR Signaling Pathway WP3942	10/67	6.026339e-06	3.000296e-04	0	0	6.961332e+00	8.367083e+01	CYP27A1;CPT1A;CPT2;ACOX2;ACOX1;ME1;ACADM;PPARA;PCK1;PCK2
WikiPathway_2023_Human	IL 24 Signaling Pathway WP5413	19/232	6.445947e-06	3.000296e-04	0	0	3.576791e+00	4.275002e+01	XBP1;CD40;CDKN2B;ABCB1;CXCL8;NOS2;STAT1;ANXA5;MMP3;PRDM1;SOD2;MMP9;HSP90B1;BCL6;IRF1;CASP4;PECAM1;MFN2;CD44
WikiPathway_2023_Human	Focal Adhesion PI3K Akt mTOR Signaling Pathway WP3932	22/302	8.171205e-06	3.486381e-04	0	0	3.159295e+00	3.701080e+01	CSF3R;PFKFB3;VWF;NOS2;TNC;HIF1A;PRLR;HSP90B1;COL1A1;COL3A1;COL1A2;COL4A2;COL4A1;IL2RA;CREB3L2;DDIT4;COL5A2;SPP1;ITGAX;JAK2;PPARGC1A;FGFR3
WikiPathway_2023_Human	Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706	15/157	9.725188e-06	3.830228e-04	0	0	4.216204e+00	4.865834e+01	IL1RN;CPT1A;DDC;CEBPB;CXCL8;MAOA;SSTR1;HIF1A;PBX1;HSP90B1;HADHA;IL1B;BHLHE40;ACADM;PPARGC1A
WikiPathway_2023_Human	miRNA Targets In ECM And Membrane Receptors WP2911	6/22	1.257205e-05	4.291260e-04	0	0	1.479049e+01	1.668963e+02	COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;COL6A3
WikiPathway_2023_Human	Immune Response To Tuberculosis WP4197	6/22	1.257205e-05	4.291260e-04	0	0	1.479049e+01	1.668963e+02	IFITM1;SOCS1;STAT1;IRF1;TAP1;JAK2
WikiPathway_2023_Human	IL 26 Signaling Pathways WP5347	8/48	2.259711e-05	7.231074e-04	0	0	7.910569e+00	8.462481e+01	SOCS3;CXCL8;CCL20;STAT1;CTSK;IL1B;JAK2;MMP9
WikiPathway_2023_Human	Adipogenesis WP236	13/131	2.528234e-05	7.614447e-04	0	0	4.384610e+00	4.641287e+01	CEBPB;CEBPD;STAT1;PRLR;HIF1A;SOCS3;SOCS1;NAMPT;PCK1;PPARA;LPIN1;PPARGC1A;PCK2
WikiPathway_2023_Human	7 Oxo C And 7 Beta HC Pathways WP5064	6/27	4.485191e-05	1.275788e-03	0	0	1.126605e+01	1.127973e+02	CYP27A1;ACOT9;ACOT8;ACOX2;EPHX2;ACOT11
WikiPathway_2023_Human	Nucleotide Binding Oligomerization Domain NOD Pathway WP1433	7/41	6.297539e-05	1.697021e-03	0	0	8.129221e+00	7.863206e+01	CASP5;RIPK2;IL1B;CASP1;CARD6;PRDM1;DUOX2
WikiPathway_2023_Human	Complement System In Neuronal Development And Plasticity WP5090	11/106	6.991421e-05	1.789804e-03	0	0	4.594877e+00	4.396489e+01	FCN1;FCN3;CASP10;CFI;ITGAX;C4BPA;CD59;C4BPB;CFB;CD55;C2
WikiPathway_2023_Human	Allograft Rejection WP2328	10/90	8.328404e-05	1.964821e-03	0	0	4.954082e+00	4.653495e+01	CD40;CXCL11;CXCL8;ABCB1;STAT1;IL1B;IL2RA;CD55;HLA-E;C2
WikiPathway_2023_Human	Matrix Metalloproteinases WP129	6/30	8.442588e-05	1.964821e-03	0	0	9.856275e+00	9.244828e+01	MMP12;MMP7;MMP3;TIMP1;MMP9;MMP10
