Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cellular Respiration (GO:0045333)	38/85	1.338180e-16	3.962880e-13	0	0	7.398161e+00	2.704032e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFA11;NDUFB10;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;ETFB;UQCR10;COX6A1;COX5B;COX7C;COX5A;CYC1;NDUFV1;PPARGC1A;COX8A;SURF1;NDUFA6;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;UQCRQ;NDUFS5;UQCRC1;CYCS
GO_Biological_Process_2023	Positive Regulation Of Cytokine Production (GO:0001819)	83/320	1.794783e-16	3.962880e-13	0	0	3.245069e+00	1.176548e+02	CD40;IL26;HILPDA;RORA;HMGB1;TBK1;MDK;HYAL2;CASP1;PDE4B;CCR7;TRIM27;JAK2;HAVCR2;HLA-DPA1;GBP5;ANXA1;BTN3A1;RIPK2;SERPINF2;IL18;IL16;CYBA;HLA-A;BTN3A2;TICAM1;HLA-G;HLA-E;RUNX1;SLC7A5;TRAF3;DDIT3;IL1B;IRF1;TRIM15;LCP1;LTB;IL6ST;TMEM106A;CARD11;CD274;RAB1A;TMED10;XIAP;HIF1A;LY9;TANK;RASGRP1;RELA;MALT1;IFI16;G3BP1;TNFRSF14;SLAMF1;CD276;EGR1;CD74;AKIRIN2;AFAP1L2;TGFB1;CADM1;NOS2;STAT3;DEFA5;EIF2AK3;LAPTM5;NR1H4;ISG15;POU2F2;BATF;SULF2;SOD1;CCDC88B;CD2;PTPRC;RGCC;CD6;POU2AF1;CD28;SAA1;HPSE;CD200;NOX1
GO_Biological_Process_2023	Aerobic Electron Transport Chain (GO:0019646)	33/68	6.474223e-16	9.530056e-13	0	0	8.611301e+00	3.011676e+02	NDUFB9;COX7B;NDUFB7;NDUFB10;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR10;COX6A1;COX5B;COX7C;COX5A;CYC1;NDUFV1;COX8A;NDUFA6;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;UQCRQ;NDUFS5;UQCRC1;CYCS
GO_Biological_Process_2023	Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775)	33/70	1.920996e-15	2.120779e-12	0	0	8.144918e+00	2.759981e+02	NDUFB9;COX7B;NDUFB7;NDUFB10;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR10;COX6A1;COX5B;COX7C;COX5A;CYC1;NDUFV1;COX8A;NDUFA6;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;NDUFS6;UQCRQ;NDUFS5;UQCRC1;CYCS
GO_Biological_Process_2023	Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	62/232	2.831141e-13	2.500463e-10	0	0	3.355369e+00	9.694644e+01	SLC35B2;CD40;GOLT1B;TRADD;HSPB1;RORA;AKAP13;TBK1;CASP8;TFG;CASP10;ZC3H12A;CPNE1;TNFSF10;CASP1;TRIM25;CCR7;SLC39A8;PIM2;TRIM22;TLE1;PARP1;PRKCB;RIPK2;SHISA5;RHOH;TICAM1;TRAF3;IL1B;TRAF5;PELI1;TERF2IP;S100A4;TRIM59;CARD16;LTB;TMEM106A;CARD11;BIRC3;SLC20A1;ATP2C1;TANK;RELA;MALT1;MTDH;UBD;DHX36;TIFA;FLNA;APOL2;CD74;NDFIP1;STAT1;NEK6;NR1H4;CFLAR;BST2;TNIP3;REL;UBE2N;TRIM38;HLA-DRB1
GO_Biological_Process_2023	Response To Cytokine (GO:0034097)	42/125	5.406526e-13	3.979203e-10	0	0	4.630456e+00	1.307919e+02	IFITM3;CD274;NFAT5;IFITM1;CD40;CIITA;SP100;IFITM2;SLC22A5;SHMT2;CXCR4;ADAR;TNFRSF11A;AFF3;RELA;CXCL16;NUB1;CASP8;UBD;KYNU;CCR7;TIMP1;JAK2;MCL1;IFNAR2;CD74;ANXA1;STAT1;ISG15;DDOST;PML;NFKB2;BST2;PLSCR1;SELL;ALDH1A2;IL1B;REL;ADAM9;HCLS1;IL6ST;XAF1
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	82/381	1.481497e-11	9.346127e-09	0	0	2.530998e+00	6.311141e+01	ANKLE2;TNFAIP8;APIP;HSPB1;FAIM2;SLC7A11;TRIAP1;TM7SF3;UBE2Z;IFIT3;PTMS;RPS6KA3;TCL1A;SHH;FFAR4;PIM1;CD38;CTSH;TMEM109;PIM3;PIM2;IER3;BNIP3L;USP47;ANXA1;GPX4;ANXA5;SERPINB9;WDR73;PRAP1;YWHAZ;DNAJC3;TMIGD1;TMBIM4;DDAH2;CEACAM5;TAX1BP1;BIRC6;IL6ST;MET;CD44;BIRC3;LTK;HDAC3;HDAC1;IFI6;XIAP;HIGD1A;THBS1;RELA;MALT1;MTDH;PRDX2;SOCS3;PRDX5;BAG3;FLNA;NCKAP1L;PAK2;MAP4K4;MCL1;CD74;NPM1;BNIP3;LAPTM5;NR1H4;BFAR;CFLAR;PTK2;SETX;FABP1;AHI1;GOLPH3;UFM1;HNRNPK;KRT18;CD28;PPT1;CD27;CTNNB1;SPRY2;EVI2B
GO_Biological_Process_2023	Positive Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043123)	48/175	5.018906e-11	2.753279e-08	0	0	3.460630e+00	8.206961e+01	SLC35B2;CD40;GOLT1B;SLC20A1;TRADD;ATP2C1;MALT1;RELA;MTDH;AKAP13;TBK1;CASP8;TFG;CASP10;UBD;DHX36;TIFA;TNFSF10;CASP1;TRIM25;FLNA;CCR7;PIM2;TRIM22;APOL2;CD74;NDFIP1;PARP1;PRKCB;RIPK2;NEK6;SHISA5;CFLAR;TICAM1;BST2;TRAF5;REL;UBE2N;PELI1;TERF2IP;S100A4;CARD16;LTB;TRIM38;CARD11;HLA-DRB1;TMEM106A;BIRC3
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	126/705	5.611303e-11	2.753279e-08	0	0	2.022998e+00	4.775015e+01	ANKLE2;FAIM2;UBE2Z;IFIT3;CCAR1;RPS6KA3;LGALS2;TCL1A;FAM162A;RPS6KA2;PIM1;TNFSF10;PIM3;PIM2;PHLDA1;IER3;MAP3K5;TGM2;BNIP3L;ACTN1;WDR73;OLFM4;PRAP1;MORF4L1;BIN1;MORF4L2;IL6ST;VCP;MEAF6;HTRA2;HIGD1A;STK4;MTDH;STK3;PRDX2;SOCS3;PRDX5;UBB;BAG3;UBD;NCKAP1L;IP6K2;MCL1;EGR1;JUN;GADD45B;BFAR;PTK2;SETX;AHI1;HNRNPK;PPT1;ANP32E;CD28;CD27;ATM;ITGB1;USP36;RBM25;TNFAIP8;TRADD;APIP;PCSK9;HSPB1;HMGB1;TRIAP1;PTMS;SHH;CASP8;FFAR4;CTLA4;CD38;CTSH;RBM5;CTSB;USP47;DFFA;ANXA1;PRMT2;TNFRSF12A;ANXA5;SERPINB9;YWHAZ;DUSP6;DNAJC3;TMIGD1;TMBIM4;DDAH2;CEACAM5;TAX1BP1;BIRC6;ITGA6;EEF1E1;CD44;BIRC3;LTK;HDAC3;HDAC1;IFI6;XIAP;THBS1;MALT1;RELA;FLNA;FYN;BID;PAK2;MAP4K4;CD74;NPM1;BIK;STAT1;BNIP3;NR1H4;CFLAR;SOD1;FABP1;RSL1D1;GOLPH3;UFM1;KRT18;STK17A;CTNNB1;SPRY2;PDCD2;EVI2B
GO_Biological_Process_2023	Negative Regulation Of Apoptotic Process (GO:0043066)	94/482	1.561656e-10	6.896274e-08	0	0	2.238628e+00	5.054845e+01	RB1;ITGB1;ANKLE2;TNFAIP8;APIP;HSPB1;FAIM2;TRIAP1;UBE2Z;IFIT3;IL27RA;PTMS;RPS6KA3;SHH;TCL1A;MDK;ZC3H12A;PIM1;FFAR4;CD38;CTSH;PIM3;PIM2;IER3;BNIP3L;USP47;DFFA;ANXA1;TLE1;KDM2B;ANXA5;SERPINB9;WDR73;PRAP1;YWHAZ;DNAJC3;TMIGD1;TMBIM4;DDAH2;CEACAM5;TAX1BP1;HCLS1;BIRC6;CARD16;IL6ST;CD44;BIRC3;LTK;SET;HDAC3;HDAC1;IFI6;XIAP;HIGD1A;THBS1;MALT1;RELA;MTDH;PRDX2;SOCS3;PRDX5;DNAJB6;BAG3;FLNA;NCKAP1L;PPARGC1A;PAK2;MCL1;MAP4K4;CD74;NPM1;BNIP3;NR1H4;BFAR;CFLAR;KLF4;SOD2;PTK2;SOD1;SETX;FABP1;AHI1;GOLPH3;UFM1;HNRNPK;KRT18;PPT1;CD28;CD27;CTNNB1;SPRY2;EVI2B;CPEB4;GRINA
