Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2023	ER To Golgi Transport Vesicle Membrane (GO:0012507)	27/55	1.985237e-13	7.464492e-11	0	0	8.783651e+00	2.569031e+02	MCFD2;TMED10;SAR1A;PDCD6;GOSR2;USO1;LMAN1;TMED2;TMED7;B2M;HLA-DQA1;HLA-DPA1;SEC31A;CD74;HLA-DRB5;SEC24A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;HLA-DRA;SEC22B;SEC24D;CNIH4;HLA-DRB1
GO_Cellular_Component_2023	Coated Vesicle Membrane (GO:0030662)	26/55	1.698216e-12	3.192646e-10	0	0	8.162072e+00	2.212039e+02	MCFD2;TMED10;GOSR2;USO1;AREG;LMAN1;TMED2;B2M;HLA-DQA1;HLA-DPA1;SEC31A;CD74;HLA-DRB5;SEC24A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;HLA-DRA;KDELR3;SEC22B;SEC24D;CNIH4;HLA-DRB1
GO_Cellular_Component_2023	Intracellular Membrane-Bounded Organelle (GO:0043231)	645/5175	1.070261e-11	1.341394e-09	0	0	1.415435e+00	3.575463e+01	ITSN2;RB1;RPL4;ZNF292;HNRNPU;HNRNPR;RBPJ;ABCA12;GABPB1;BACH1;GPATCH8;DCAF7;ELK3;RPL7;ELK4;ZC3H12C;ALKBH5;TBK1;TFG;CREB3L1;GPBP1;ZC3H12A;CREB3L2;AP1S2;BBX;JUNB;IER2;IER3;DDX17;TSPYL2;TSPYL1;FNBP1;PRKCB;ZNF281;DICER1;RC3H2;ATG12;UNC13D;WDR77;BIN1;DDIT3;CLNS1A;RFX5;PSME4;HOXB7;ATF3;SLBP;URI1;SET;MEAF6;SHMT2;MRPL19;ZNF22;BAZ2B;AKAP17A;SLC5A1;ZNF24;RPS4Y1;SAMSN1;HIF1A;OAZ2;MTDH;HSD11B2;LDHA;PRDX5;HSPH1;PRDX4;PTPMT1;MYO6;C19ORF33;PPARGC1A;S100A11;SERF2;HEXIM1;NAA50;BTF3;LYN;JUN;F8A1;JUND;CYP4F2;NFATC1;PRDX6;SETX;MOV10;PKIB;HNRNPK;EHD4;GJB3;TDP2;HNRNPF;PPT1;REL;PSMG1;HNRNPC;CPEB4;MESP1;SETD5;SERPINA1;SETD7;ATF7IP2;HEXA;SRP54;MED16;CLINT1;AIFM3;TUBA1A;MED10;PEA15;ANXA7;TNKS1BP1;NELFCD;AP3S1;JAK2;JAK1;HLA-DPA1;DUSP4;DFFA;CNOT6L;ANXA1;TESC;SLC2A13;SERPINB9;FOS;LRRC41;DDB1;SLC7A5;PSMA6;PLSCR1;AFTPH;PSMA2;ITPKA;HCLS1;PPARG;ERGIC2;PHLPP2;WDR26;SAMD9;SGMS1;RNMT;HOXD11;HOXD10;TMEM165;HLA-DMA;HLA-DMB;NSD1;AP2S1;FLNA;SF3B1;NKTR;CDKN2B;YTHDF2;SLC16A1;PCGF5;STAT1;STAT3;NR1H3;TUBB4B;HIPK1;PSMB8;FABP1;NUDT21;FABP2;PHF5A;LRG1;FABP5;SERBP1;ZYX;FOSB;YPEL5;LAMTOR4;IRS1;PDCD6;NAB1;UBE2D3;UBE2D1;RORA;MSI2;AHR;KPNA6;PIM1;CHP2;NBN;KPNA2;HMGN3;PITX1;PHLDA1;HMGN1;TLE4;PPP1R16B;BNIP3L;MAP2K1;RPS9;TLE1;SWAP70;ZBTB38;CTNNBIP1;GTF3A;RPSA;TC2N;PGD;ILF2;DGKZ;CDC25B;CLIP1;KAT6A;S100A6;PKP4;SNRPE;S100A4;S100A9;CSNK1G2;KPNB1;KMT2E;KHDRBS1;LRRC59;PARM1;KMT2A;KMT2C;ARL3;CREM;CUL1;ARL2;CORO1A;SBNO2;BAG3;SKIL;IP6K2;MCL1;OSBPL8;AKIRIN2;AKIRIN1;DEFA6;NEK6;DEFA5;LSM1;EEF2;CYP4F12;NFKB2;DRAP1;COPS3;MOB1A;RGCC;CNOT7;ARPC2;UBLCP1;STK24;COPS2;NFE2L3;HPSE;SP140L;OSBPL1A;OGT;RAB5A;NXT1;CELF1;CELF2;CEP164;CDC73;LBH;DUSP10;SUMO1;SUMO2;TRIM69;PMEPA1;PHACTR1;BCAS2;ILKAP;ACTR3;EIF5A;DST;GPX4;DTX3L;ATRX;EDF1;REXO2;RANGAP1;TSN;DDOST;ARL4C;NT5C3A;METTL23;C15ORF48;PTP4A2;RPL37A;ETF1;BIRC6;ANG;SLC25A5;BIRC3;MTPN;NFAT5;HDAC3;CEBPD;HDAC1;NLRC5;BARX2;MALT1;GANAB;DNAJB6;IFI16;POLR2C;RAB29;FYN;ASCC3;HNRNPA1;E2F5;HNRNPA0;POLR2L;PPIL1;SMOX;CNBP;MAP1LC3B2;PML;PNRC1;PDCD2;EIF3E;KCNK1;SEC24D;SPG21;PFKP;PANK2;CCNK;CCNI;AQP8;MT1M;PITPNA;MT1X;CCNC;UBE2L6;IKZF1;LDLRAD4;PWP1;CCAR1;RPS15;LGALS3;MT2A;STS;RPS6KA5;RPS18;RPS6KA2;RASSF5;BSG;CDC27;CPNE1;TRIM27;FBXO7;GLUL;TRIM22;AGFG1;ABT1;SP110;IFRD2;KRT8;KRT7;CSNK1D;CSNK1E;RUNX3;ASRGL1;RUNX1;AZGP1;CFDP1;MT1A;XRN1;SUB1;HSBP1L1;XRN2;MT1F;MT1G;CD2BP2;MT1H;TRIM15;PREB;KDELR3;AURKAIP1;TRIB2;MT1E;TMEM63A;DCUN1D5;CSTF3;MGST3;SP140;MYCBP2;GSKIP;C2CD4A;TXN;HNRNPLL;UBE2J1;SCFD1;RAB11FIP1;XRRA1;PCBP1;DHX36;DPH3;ZBED2;HIVEP2;B4GALNT3;RALGDS;SEC31A;STAT5A;CTSA;SRPK2;EGR1;STAT5B;RABGAP1L;APOBEC3G;GADD45B;PARP14;PTK2;MANF;BST2;FUBP3;ID2;ID1;ANP32E;ID3;GRB2;CALM3;ATM;RCOR1;ITM2B;MAGEF1;ICA1;ADIRF;N4BP2L2;CTSS;PTMS;SYNCRIP;ZMYM2;ENC1;TMED2;CTSH;QSOX1;CTSE;ACADS;CTSC;ZHX2;IZUMO4;DBNL;PARP1;STARD3NL;PRMT2;NCOA3;AGTRAP;CACYBP;PARP9;TOPORS;PITPNM1;WAC;PABPC1;EEF1E1;ALDOA;MAGEH1;CSTB;SP100;SATB1;XIAP;CXCR4;CAPG;RELA;PCNP;PPP2CA;EXOSC7;SH3BGRL;SERTAD1;HSD17B2;LMNA;METTL8;PAK2;DCPS;EXOSC1;RANBP2;SUZ12;CD74;NPM1;CDX2;GDF15;CDX1;YIPF4;YIPF5;GRHL1;BATF;MAD2L2;PRKRA;STK17A;CCNG2;TTC3;HNRNPA2B1;TCEA3;CCNG1;CTNNB1;CRTC3;PRDM2;ARID4B;UBE2Z;NR3C1;ETS1;RGS2;CCND1;BASP1;TGM2;PDIA3;MORC4;KDM2B;SPINK5;ARID5A;ARID5B;ADAM19;EEF1A1;PRPF4;HNRNPUL1;DKC1;UBE2V2;CMPK1;MATR3;DDX6;DDX5;VCP;TMED10;AKNA;RBM8A;HTRA2;PDS5A;STK4;NDRG1;ZFP36L1;STK3;SDCBP;DPP7;UBB;UBD;LPXN;CYC1;UBE2F;PRNP;UBE2H;UBE2I;TGFB1;SMAD3;MLKL;CBX3;NONO;HSPA6;CHCHD10;MSN;ISG15;HOOK3;POU2F2;CLK4;AZIN1;IFT20;ISG20;DIAPH1;ARHGAP30;APPBP2;BHLHE40;UBE2N;UBA2;CYCS;TCF4;NFKBID;KDM5A;DDX3Y;CREBZF;DYRK4;USP36;CHD7;USP34;HSPB1;ADAR;CHD4;TRIAP1;HMGB1;HSPB3;CHD2;AFF3;YBX3;CHD1;ELAVL1;HK2;RND1;RBM3;SDR16C5;SENP5;UBE2Q2;TRPS1;NFKBIZ;PDE4B;RBM7;RBM5;USP47;TGIF2;GLRX3;NCBP2;PDE4C;PPP2R5C;YWHAZ;ETV6;ETV7;ELF1;ELF3;OAS2;GORASP2;PALLD;OAS3;IRF1;ATP6V1B2;TERF2IP;BLVRB;ITGB1BP1;ATF6B;NAA20;MVP;MAT2B;PSMB10;MUC1;CAND1;UGP2;TNKS2;PABPN1;HES1;GBP2;GBP4;SPEN;TCF7L2;NOS2;WTAP;BNIP3;SGTA;ATP2B4;ARID3A;NAP1L1;SSRP1;MUC5B;SOD1;UFM1;GOLPH3;KATNBL1;RGS10;CDK2AP1;SPRY2;S100P;FAM98A;LPIN1;RAN
GO_Cellular_Component_2023	Transport Vesicle Membrane (GO:0030658)	26/60	2.025498e-11	1.810336e-09	0	0	6.959831e+00	1.713693e+02	RAB1A;MCFD2;TMED10;GOSR2;USO1;AREG;LMAN1;TMED2;B2M;HLA-DQA1;HLA-DPA1;SEC31A;CD74;HLA-DRB5;SEC24A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;HLA-DRA;SEC22B;SEC24D;CNIH4;HLA-DRB1
GO_Cellular_Component_2023	Endoplasmic Reticulum Membrane (GO:0005789)	140/801	2.407362e-11	1.810336e-09	0	0	1.974412e+00	4.827417e+01	VKORC1L1;ANKLE2;LPGAT1;TUSC3;PDCD6;PITPNB;CISD2;STS;ZC3H12A;BCAP29;SLC30A7;ALG5;SPINK5;HLA-B;UGT2B17;TAP1;HLA-C;CYBA;ACSL4;ACSL3;HLA-A;SLC51A;HLA-F;HLA-G;PDIA6;PDIA5;HLA-E;ERN1;PREB;KDELR3;COPB2;VCP;COPA;TMED10;RETSAT;RPN2;MGST3;SEL1L;HTRA2;ITPR3;UBE2J1;MTDH;HSD11B2;PTDSS1;UBB;RDH11;SSR1;KDSR;RAB6A;PDZD8;HLA-DQA1;SEC31A;HLA-DRB5;SLC37A1;CYP4F2;EDEM1;SRD5A3;SURF4;EIF2AK3;BFAR;CYP4F12;EXT2;TBL2;OSTC;TBXAS1;CALU;STT3A;HLA-DRA;SRPRB;DEGS1;DHCR7;HLA-DRB1;CNIH4;MCFD2;TRAM1;ADPGK;PIGP;ATP2A3;LPCAT1;PIGZ;AREG;JPH1;SEC61A1;SDR16C5;SERP1;RB1CC1;RAC2;TMED3;ANXA7;TMED2;SEC61B;TMED7;HLA-DPA1;IKBIP;RHBDF1;STARD3NL;CAMLG;ELOVL5;VPS13C;RHBDF2;RHOG;ELOVL6;DDOST;TAPBP;ASPH;GORASP2;SEC22B;CERS2;GRAMD1A;SFTPA2;ATF6B;HM13;DERL3;GOSR2;DERL1;DERL2;SRI;LMF2;AGPAT4;LMAN1;MUC1;HSD17B2;DNAJB9;APOL2;SEC11C;PTPN1;CD74;SEC24A;PNPLA8;GALNT2;PLA2G2A;ORMDL1;PML;SGPP1;SPCS3;SCD;KRAS;TMEM39A;SEC24D;LPIN1
GO_Cellular_Component_2023	Focal Adhesion (GO:0005925)	82/387	3.413390e-11	2.139058e-09	0	0	2.480367e+00	5.977866e+01	RPL4;ITGB1;RPL31;ITGB4;ITGB2;HSPB1;RPL8;RPL7;ICAM1;RPS15;ALCAM;RPS19;RPS18;BSG;ANXA6;RAC2;RPLP2;RPL38;ITGAV;JAK2;B2M;YWHAG;JAK1;TGM2;ACTR3;PDIA3;MAP2K1;RPS9;ANXA1;PPP1R12A;TPM4;DST;ITGA2;ACTN1;ANXA5;RHOG;IL16;REXO2;YWHAZ;ENAH;PALLD;RPL37A;ADAM9;EVL;ITGA6;ITGB1BP1;LCP1;PABPC1;CD44;EPHA2;PLEC;PXN;ARL2;CXCR4;CORO1C;CNN2;PDLIM1;EPB41L2;G3BP1;FLNA;LPXN;PDLIM7;MAP4K4;NPM1;MSN;PARVA;PARVB;PTK2;ARHGAP24;FERMT1;MARCKS;HNRNPK;PTPRC;ARPC2;RPS29;ZYX;CTNNB1;CD9;KRAS;P4HB;LIMS1;SNTB2
GO_Cellular_Component_2023	COPII-coated ER To Golgi Transport Vesicle (GO:0030134)	29/76	6.219790e-11	3.340916e-09	0	0	5.620184e+00	1.320783e+02	MCFD2;SERPINA1;TMED10;GOSR2;USO1;LMAN1;TMED3;TMED2;TMED7;B2M;CTSC;HLA-DQA1;HLA-DPA1;SEC31A;CD74;HLA-DRB5;SEC24A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;HLA-DRA;SEC22B;SEC24D;ERGIC2;CNIH4;HLA-DRB1
GO_Cellular_Component_2023	Cell-Substrate Junction (GO:0030055)	82/395	9.992873e-11	4.696650e-09	0	0	2.415878e+00	5.562938e+01	RPL4;ITGB1;RPL31;ITGB4;ITGB2;HSPB1;RPL8;RPL7;ICAM1;RPS15;ALCAM;RPS19;RPS18;BSG;ANXA6;RAC2;RPLP2;RPL38;ITGAV;JAK2;B2M;YWHAG;JAK1;TGM2;ACTR3;PDIA3;MAP2K1;RPS9;ANXA1;PPP1R12A;TPM4;DST;ITGA2;ACTN1;ANXA5;RHOG;IL16;REXO2;YWHAZ;ENAH;PALLD;RPL37A;ADAM9;EVL;ITGA6;ITGB1BP1;LCP1;PABPC1;CD44;EPHA2;PLEC;PXN;ARL2;CXCR4;CORO1C;CNN2;PDLIM1;EPB41L2;G3BP1;FLNA;LPXN;PDLIM7;MAP4K4;NPM1;MSN;PARVA;PARVB;PTK2;ARHGAP24;FERMT1;MARCKS;HNRNPK;PTPRC;ARPC2;RPS29;ZYX;CTNNB1;CD9;KRAS;P4HB;LIMS1;SNTB2
GO_Cellular_Component_2023	Secretory Granule Lumen (GO:0034774)	70/316	1.196430e-10	4.998420e-09	0	0	2.617591e+00	5.980282e+01	SERPINA1;GMFG;CXCL1;HMGB1;COTL1;CTSH;QSOX1;TIMP1;FAM3C;OSTF1;ACAA1;B2M;GYG1;CTSC;SRGN;SERPINB1;DBNL;DYNLT1;ACTN1;SERPINF2;OLFM4;F3;ILF2;UNC13D;EEF1A1;DNAJC3;SLPI;PSMA2;PADI2;ALDOA;S100A9;PAFAH1B2;KPNB1;CFD;TOR4A;CSTB;PSMD12;VCP;ROCK1;MVP;THBS1;CNN2;SDCBP;PRDX4;DPP7;CAND1;ALOX5;CREG1;CDC37L1;S100A11;CTSA;GSDMD;DYNC1H1;TGFB1;RARRES2;DEFA5;HSPA6;FN1;RAB27A;LYZ;TUBB4B;EEF2;PRDX6;PFKL;LRG1;FABP5;LCN2;S100P;HPSE;PF4
GO_Cellular_Component_2023	MHC Protein Complex (GO:0042611)	14/21	5.650367e-10	2.124538e-08	0	0	1.811984e+01	3.858462e+02	CD74;HLA-DRB5;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;HLA-DMA;HLA-DMB;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1;HLA-DPA1
