Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	252/1411	4.436810e-21	3.962072e-18	0	0	2.094805e+00	9.817167e+01	RPL4;RPL31;HNRNPU;CISD2;C4BPA;HNRNPR;DDX60L;THUMPD1;RPL8;GPATCH8;CCAR1;RPL7;LSM10;RPS15;ZC3H12C;LGALS3;ALKBH5;RPS19;RPS18;ZC3H12A;RPL36;TRIM25;RPL35;RPL38;DENR;SEC63;AGFG1;DDX17;ABT1;SCAF11;ACTN1;FNDC3B;DICER1;CSNK1E;HLA-A;RC3H2;CDC40;SLPI;XRN1;CLNS1A;DDIT3;ZC3H11A;SUB1;UNC50;XRN2;SUCLG1;KCTD12;RPL29;SLBP;MACF1;CSTF3;STXBP1;MRPL19;AKAP17A;TXN;MRPL12;RPS4Y1;HNRNPLL;SAMSN1;GSPT1;MTDH;HELZ2;PCBP1;DHX36;SERPINH1;MAP4;PPARGC1A;HEXIM1;BTF3;SRPK2;JUN;PRPF38B;RPL41;APOBEC3G;PNO1;PRRC2C;MRPL23;PUM1;MRPL21;PRRC2B;MANF;SETX;BST2;CCT6A;RPS26;MOV10;RPS28;TBL2;HNRNPK;AGO3;FUBP3;HNRNPF;GRB2;HNRNPC;RPS21;CPEB4;SRP54;PCSK9;MRPL41;SYNCRIP;ANXA7;NELFCD;SEC61B;PARP1;MRPS23;PPHLN1;PSMA6;TCP1;PTRH1;STRAP;PABPC1;ALDOA;FYTTD1;CSTB;RNMT;SRRT;USO1;EXOSC7;SRP72;FLNA;ZNF106;SF3B1;EXOSC1;CCT4;DYNC1H1;NQO1;NPM1;YTHDF2;STAT3;SAMD4B;TUBB4B;NUDT21;RSL1D1;PHF5A;ZNFX1;KRT18;XPOT;PRKRA;SERBP1;HNRNPA2B1;ZYX;OTUD4;SRP19;ACAA2;MSI2;BZW1;KPNA2;PDIA3;PNISR;RPS9;DIMT1;RPSA;ILF2;PDIA4;EEF1A1;HNRNPUL1;DKC1;RPL7L1;S100A4;MATR3;KPNB1;SRSF8;SRSF9;KHDRBS1;LRRC59;DDX6;DDX5;VCP;RBM8A;KMT2C;DDX60;CORO1A;GTF2E2;ZFP36L1;RNASEH1;G3BP1;UBE2I;RBPMS;NONO;LSM1;MSN;HELZ;EEF2;EIF2S1;DIAPH1;CAPRIN1;UBE2N;LSM14A;DDX3Y;USP36;RBM25;CELF1;CELF2;HSPB1;ADAR;HMGB1;CHD2;ELAVL1;YBX3;RBM3;MRPL3;SUMO1;ZC3H7A;SUMO2;MRPL9;LRRFIP1;RBM7;YWHAG;RBM5;EIF5A;GLRX3;NCBP2;SPATS2;EDF1;RANGAP1;YWHAZ;TSN;CKAP4;OAS2;OAS3;RPL37A;ETF1;ANG;SLC25A5;PLEC;DDX24;GANAB;IFI16;PABPN1;ASCC3;HNRNPA1;EIF4B;DCAF13;HNRNPA0;SPEN;PTPN1;NOP58;NIFK;CNBP;NAP1L1;SSRP1;TPD52L2;ASS1;EIF3L;EIF3H;EIF3E;P4HB;FAM98A;SLIRP;EIF3D;RAN;SNTB2
GO_Molecular_Function_2023	Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453)	26/54	9.892622e-13	4.417056e-10	0	0	8.454045e+00	2.336852e+02	NDUFB9;COX7B;NDUFB7;NDUFB10;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR10;COX5B;COX7C;COX5A;NDUFV1;COX8A;NDUFA6;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1
GO_Molecular_Function_2023	Cadherin Binding (GO:0045296)	72/319	2.604192e-11	7.751812e-09	0	0	2.684110e+00	6.541528e+01	ITGB1;PTPRJ;F11R;CLINT1;BZW1;BAIAP2L1;TRIM29;BSG;TRIM25;TNKS1BP1;LRRFIP1;EMD;SH3GLB1;ANXA1;DBNL;SWAP70;CSNK1D;ANK3;OLFM4;RANGAP1;YWHAZ;PLIN3;PKP4;ITGA6;RPL29;ALDOA;EPHA2;PLEC;MACF1;DDX6;LRRC59;RAB1A;USO1;CAPG;ASAP1;NDRG1;CNN2;PDLIM1;LDHA;SNX2;KLC2;BAG3;PCBP1;FLNA;EPS8L1;SNX9;FYN;PAK2;S100A11;PTPN1;STAT1;PARVA;EEF2;PRDX6;EIF2S1;EHD1;RPS26;RSL1D1;MYO1B;EHD4;HNRNPK;KRT18;STK24;GIPC1;CAPZA1;SERBP1;CTNNB1;EIF3E;S100P;FXYD5;PFKP;RAN
GO_Molecular_Function_2023	NADH Dehydrogenase (Quinone) Activity (GO:0050136)	17/34	4.135299e-09	9.232054e-07	0	0	9.068583e+00	1.750573e+02	NDUFB9;NQO1;NDUFB7;NDUFA6;NDUFB10;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFB1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFV1
GO_Molecular_Function_2023	NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137)	16/33	2.094922e-08	3.741530e-06	0	0	8.530835e+00	1.508351e+02	NDUFB9;NDUFB7;NDUFA6;NDUFB10;NDUFB4;NDUFA3;NDUFB3;NDUFA2;NDUFB2;NDUFB1;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFV1
GO_Molecular_Function_2023	mRNA Binding (GO:0003729)	57/282	1.815454e-07	2.702001e-05	0	0	2.317550e+00	3.597246e+01	RBM25;CELF1;CELF2;HNRNPU;HNRNPR;MSI2;ELAVL1;YBX3;RPL7;ZC3H12C;SYNCRIP;ZC3H12A;RPL35;DENR;RBM5;DDX17;NCBP2;CDC40;CARHSP1;SLPI;ETF1;PABPC1;FYTTD1;SLBP;DDX6;KHDRBS1;DDX5;RBM8A;SHMT2;CSTF3;HNRNPLL;MRPL12;ZFP36L1;PCBP1;DHX36;G3BP1;SF3B1;SPEN;RPL41;YTHDF2;RBPMS;CNBP;SAMD4B;PUM1;EIF2S1;RPS26;NUDT21;RSL1D1;HNRNPK;FUBP3;CAPRIN1;HNRNPA2B1;SERBP1;HNRNPC;LSM14A;EIF3D;CPEB4
GO_Molecular_Function_2023	Transition Metal Ion Binding (GO:0046914)	79/456	8.187475e-07	1.044488e-04	0	0	1.922375e+00	2.694303e+01	KDM5A;B4GALT1;MT1M;APIP;CBLB;MT1X;PRDM2;CHD4;NPEPPS;SHH;MT2A;ZMYM2;CA2;ANPEP;CHORDC1;PIM1;ME1;TNFSF10;TIMP1;GYG1;PARP1;KDM2B;SORD;RABGGTB;PLSCR1;CLIP1;MT1A;ETHE1;KAT6A;MT1F;MT1G;PPARG;ANG;MT1H;S100A9;B4GALT7;KPNB1;MT1E;KMT2A;ADH1C;SHMT2;TIMM9;MYCBP2;COX17;TIMM13;ZNF22;CRIP1;RASGRP1;ALOX5;NSD1;MGAT1;PCK1;POLR2L;PCK2;TIMM8B;PTPN1;EGR1;PRNP;NQO2;SEC24A;SMAD3;ERAP2;APOBEC3G;GALNT2;KLF4;SOD2;SOD3;SOD1;CYLD;PHF5A;TDP2;RPS29;SCD;LCN2;HNRNPC;SEC24D;FBXL5;PAM;LIMS1
GO_Molecular_Function_2023	Protease Binding (GO:0002020)	31/125	1.410242e-06	1.574182e-04	0	0	2.999071e+00	4.040273e+01	ITGB1;CSTB;VCP;SERPINA1;DERL3;DERL1;DERL2;FURIN;SRI;THBS1;CST3;SUMO1;CASP1;LONP2;ITGAV;TIMP1;PRNP;RIPK2;CD70;SLC2A13;SERPINF2;FN1;BFAR;SERPINB9;CFLAR;COL1A1;SELL;BIN1;BANK1;CD28;CARD16
GO_Molecular_Function_2023	Kinase Binding (GO:0019900)	77/460	4.261713e-06	4.228566e-04	0	0	1.841809e+00	2.277552e+01	RB1;ACVRL1;CCNK;TRADD;ITGB2;HSPB1;PTPRJ;NR3C1;LYST;ELAVL1;TCL1A;RPS19;CCND1;RB1CC1;CASP1;JAK2;FBXO7;TRIM22;IFNAR2;MAP2K3;IL15RA;PPP1R12A;PARP1;RHOG;ACSL3;TICAM1;LAX1;YWHAZ;CDC25B;PARP8;DNAJC3;EEF1A1;LCK;TAX1BP1;HCLS1;CARD16;UTRN;CACUL1;SP100;MVP;GSKIP;ADIPOR1;HIF1A;RELA;FAM83F;CAMK2N1;DVL1;FLNA;PAK2;HNRNPA0;SLC12A2;PTPN1;TCF7L2;CDKN2B;NPM1;SMAD3;NEK6;STAT3;SH2D1A;MSN;NBEAL2;EEF2;PTK2;CYLD;IBTK;PFKL;TBL2;PTPRC;RGCC;WNK1;CTNNB1;SPRY2;CALM3;GRB2;TRIM38;MAP3K13;LIMS1
GO_Molecular_Function_2023	Protein Homodimerization Activity (GO:0042803)	102/662	6.069451e-06	5.161598e-04	0	0	1.673641e+00	2.010419e+01	PDCD6;CISD2;AHR;F11R;GIMAP7;GYG1;B2M;PDK2;TRIM22;MAP3K5;SH3GLB1;GBP5;BNIP3L;TPM4;ZBTB38;ACTN1;SERPINF2;TAP1;SLC51A;SDCBP2;HLA-G;TPST2;ERN1;DDIT3;S100A6;PADI2;ATF3;ABCG2;KMT2A;SHMT2;TXN;STK4;CORO1A;BLOC1S6;SNX2;SNX9;S100A11;S100A10;MCL1;STAT5B;SMAD3;CADM1;DEFA6;RBPMS;EPHX2;DEFA5;BST2;VIL1;EXT2;BHLHE40;CRYL1;HNRNPC;COL9A2;MAP3K13;HSPB1;ELAVL1;KYNU;MUC13;LRRFIP1;ZHX2;PARP1;PRMT2;STARD3NL;RIPK2;TESC;SORD;CACYBP;QTRT1;CEACAM5;ANG;LCP1;PAFAH1B2;PRPS1;TIMM9;HM13;ODC1;THBS1;RELA;PAPSS1;SRM;TYMP;UCP2;FLNA;FYN;HES1;GBP2;GBP1;GBP4;GBP3;NPM1;NQO2;NOS2;STAT1;GDF15;BNIP3;STAT3;GRHL1;PML;NUDT21;PRKRA;S100P;TRIM38
