Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Non-alcoholic fatty liver disease	54/155	4.375187e-17	1.369434e-14	0	0	4.917658e+00	1.852383e+02	NDUFA13;COX7B;CXCL8;NDUFA11;IRS1;COX4I1;IRS2;COX6A1;COX7C;CASP8;MAP3K5;COX8A;NDUFC1;FOS;SDHB;COX6B1;ERN1;NDUFS8;NDUFS7;NDUFS6;DDIT3;IL1B;NDUFS5;UQCRC1;PPARG;NDUFB9;NDUFB7;NDUFB10;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR10;ADIPOR1;COX5B;COX5A;RELA;SOCS3;CYC1;BID;NDUFV1;JUN;TGFB1;NDUFA6;NDUFA3;NDUFA2;EIF2AK3;NDUFA1;NR1H3;COX6C;EIF2S1;UQCRQ;CYCS
KEGG_2021_Human	Viral myocarditis	29/60	4.269670e-14	6.682034e-12	0	0	8.528518e+00	2.625475e+02	CD40;LAMA1;ITGB2;ITGAL;ICAM1;HLA-DMA;CASP8;HLA-DMB;CCND1;RAC2;FYN;HLA-DOA;BID;CD55;HLA-DQA1;HLA-DPA1;HLA-DRB5;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;CD28;HLA-DPB1;CYCS;HLA-DRA;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Protein processing in endoplasmic reticulum	52/171	9.386614e-14	9.793368e-12	0	0	4.011061e+00	1.203194e+02	TRAM1;TUSC3;UBE2D3;UBE2D1;SEC61A1;FBXO6;SEC61B;UBXN4;SIL1;MAP3K5;SEC63;PDIA3;SSR4;SSR2;SSR3;PDIA6;CKAP4;DDOST;PDIA4;ERN1;DNAJC3;DNAJC1;DDIT3;DNAJB11;PREB;VCP;RPN2;SAR1A;ATF6B;DERL3;SEL1L;CUL1;DERL1;DERL2;UBE2J1;ERLEC1;LMAN1;GANAB;HSPH1;BAG2;SSR1;SEC31A;EDEM3;SEC24A;EDEM1;HSPA6;EIF2AK3;EIF2S1;DNAJC10;STT3A;P4HB;SEC24D
KEGG_2021_Human	Epstein-Barr virus infection	56/202	7.796865e-13	6.101047e-11	0	0	3.522690e+00	9.821219e+01	RB1;CD40;TRADD;CD3G;RBPJ;ITGAL;CD3D;ICAM1;TBK1;CASP8;CCND1;HLA-DOA;B2M;HLA-DPA1;JAK1;IFNAR2;MAP2K3;PDIA3;ENTPD1;HLA-B;HLA-C;TAP1;HLA-A;HLA-F;HLA-G;RUNX3;HLA-E;TAPBP;FCER2;OAS2;TRAF3;OAS3;TRAF5;CD44;HLA-DQB1;PSMD12;HDAC1;RELA;HLA-DMA;HLA-DMB;CD19;HES1;BID;HLA-DQA1;LYN;HLA-DRB5;JUN;GADD45B;STAT1;STAT3;ISG15;NFKB2;HLA-DPB1;CYCS;HLA-DRA;HLA-DRB1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	58/219	2.483960e-12	1.554959e-10	0	0	3.309203e+00	8.842576e+01	RB1;CD40;CRTC3;ITGB2;SLC2A1;CD3G;TNFRSF13C;ITGAL;CD3D;ETS1;ICAM1;ELK4;PPP3CA;CCND1;CREB3L1;CDC27;CREB3L2;HLA-DOA;B2M;HLA-DPA1;JAK1;IL15RA;MAP2K1;MMP7;HLA-B;HLA-C;HLA-A;FOS;HLA-F;HLA-G;HLA-E;TGFBR2;LCK;SLC25A5;HLA-DQB1;ATF6B;XIAP;RELA;HLA-DMA;HLA-DMB;HLA-DQA1;STAT5A;EGR1;STAT5B;HLA-DRB5;JUN;CDKN2B;SMAD3;TGFB1;NFATC1;NFKB2;IL2RA;HLA-DPB1;HLA-DRA;ATM;KRAS;HLA-DRB1;RAN
KEGG_2021_Human	Th17 cell differentiation	37/107	4.837458e-12	2.294088e-10	0	0	4.827960e+00	1.257907e+02	RORA;CD3G;AHR;HIF1A;CD3D;RELA;IL27RA;PPP3CA;HLA-DMA;HLA-DMB;IL21R;HLA-DOA;JAK2;HLA-DQA1;HLA-DPA1;JAK1;STAT5A;STAT5B;HLA-DRB5;JUN;SMAD3;TGFB1;IFNGR1;STAT1;STAT3;NFATC1;FOS;RUNX1;TGFBR2;LCK;IL1B;IL2RA;HLA-DPB1;HLA-DRA;IL6ST;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Oxidative phosphorylation	42/133	5.577537e-12	2.294088e-10	0	0	4.221498e+00	1.093886e+02	NDUFB9;NDUFA13;COX7B;NDUFB7;NDUFA11;NDUFB10;COX4I1;NDUFB4;COX17;NDUFB3;NDUFB2;NDUFB1;COX7A2;TCIRG1;UQCR10;COX6A1;COX5B;COX7C;COX5A;CYC1;ATP6V0E2;NDUFV1;COX8A;ATP6V1G1;ATP6V0B;ATP6V0E1;NDUFA6;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;SDHB;COX6B1;NDUFS8;NDUFS7;PPA1;UQCRQ;NDUFS6;NDUFS5;UQCRC1;ATP6V1B2
KEGG_2021_Human	Rheumatoid arthritis	34/93	5.863484e-12	2.294088e-10	0	0	5.258841e+00	1.360056e+02	CXCL8;ITGB2;CXCL1;TCIRG1;TNFRSF11A;CXCL3;ITGAL;CXCL2;ICAM1;HLA-DMA;HLA-DMB;ACP5;CTLA4;HLA-DOA;ATP6V0E2;HLA-DQA1;HLA-DPA1;ATP6V0B;ATP6V1G1;HLA-DRB5;JUN;ATP6V0E1;TGFB1;CCL20;IL18;FOS;IL1B;ATP6V1B2;CD28;HLA-DPB1;HLA-DRA;LTB;HLA-DRB1;HLA-DQB1
KEGG_2021_Human	Amyotrophic lateral sclerosis	79/364	2.261747e-11	7.865854e-10	0	0	2.556207e+00	6.265851e+01	COX7B;NDUFA13;NXT1;NDUFA11;COX4I1;WDR41;COX6A1;COX7C;DNALI1;PPP3CA;TBK1;TUBA1A;RB1CC1;CASP1;ANXA7;MAP3K5;COX8A;MAP2K3;GPX2;GPX8;NDUFC1;TNFRSF1B;SDHB;COX6B1;ERN1;PSMA6;NDUFS8;NDUFS7;PSMA2;NDUFS6;DDIT3;NDUFS5;NUP50;UQCRC1;MATR3;ANG;DCTN6;NDUFB9;RAB1A;PSMD12;VCP;NDUFB7;NDUFB10;NDUFB4;NDUFB3;DERL1;NDUFB2;NDUFB1;COX7A2;ITPR3;UQCR10;COX5B;KLC1;COX5A;TANK;KLC4;KLC2;CYC1;BID;HNRNPA1;NDUFV1;RANBP2;NDUFA6;NOS2;NDUFA3;NDUFA2;EIF2AK3;NDUFA1;CHCHD10;COX6C;TUBB4B;EIF2S1;SOD1;SETX;UQCRQ;HNRNPA2B1;CYCS;HNRNPA1L2;RAB5A
KEGG_2021_Human	Influenza A	47/172	9.158511e-11	2.866614e-09	0	0	3.441372e+00	7.954303e+01	CIITA;CXCL8;NXT1;TRADD;ADAR;RELA;ICAM1;SOCS3;HLA-DMA;TBK1;CASP8;HLA-DMB;PABPN1;KPNA6;TNFSF10;CASP1;TRIM25;HLA-DOA;KPNA2;PRSS3;JAK2;BID;HLA-DQA1;HLA-DPA1;JAK1;IFNAR2;MAP2K1;HLA-DRB5;PRKCB;IFNGR1;STAT1;IL18;TICAM1;EIF2S1;PML;DNAJC3;HNRNPUL1;OAS2;TRAF3;IL1B;OAS3;HLA-DPB1;CYCS;HLA-DRA;SLC25A5;HLA-DRB1;HLA-DQB1
