Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Immune System R-HSA-168256	399/1943	3.908614e-49	6.296777e-46	0	0	2.656186e+00	2.960678e+02	WIPF1;GMFG;C4BPA;C4BPB;TBK1;RNF114;AP1S2;PRSS3;GBP5;WSB1;PRKCB;RNASE1;ATG12;UNC13D;PSME4;ORAI2;PSME1;ORAI1;TXNIP;PADI2;PSME2;ANAPC13;CFI;HIF1A;PRDX5;RNF213;PRDX4;NCKAP1L;HLA-DQA1;S100A11;LYN;GSDMD;HLA-DRB5;JUN;FN1;NFATC1;LYZ;CYLD;HNRNPF;REL;HNRNPC;HLA-DRB1;SERPINA1;LPCAT1;CASP10;CTLA4;TIMP1;JAK2;JAK1;HLA-DPA1;HAVCR2;DUSP4;IKBIP;SERPINB1;ANXA1;RIPK2;IFNGR1;FOS;TMC6;DUSP6;LRRC41;PSMA6;FCER2;SLC7A8;PSMA2;TCP1;PELI1;PAFAH1B2;ASAH1;TANK;HLA-DMA;HLA-DMB;ALOX5;AP2S1;FLNA;STAT1;CCL20;IL10RA;STAT3;TUBB4B;PSMB8;PSMB9;LRG1;YPEL5;IRS1;NCF4;UBE2D3;UBE2D1;RNF19B;DEFB1;RORA;IRS2;FBXO21;NPEPPS;RNF19A;MAP3K8;HLA-DOA;KPNA2;TNFRSF4;GYG1;IFNAR2;MAP2K3;MAP2K1;LAG3;ATP11B;CNPY3;OLFM4;TICAM1;ILF2;RNF41;RAB31;TXLNA;IL6ST;S100A9;ARL8A;KPNB1;BLK;CD274;REG3A;CUL1;LY96;ITPR3;TNFRSF11A;KLC1;RAP1B;SOCS3;KLC4;TNFRSF14;PI3;RAB6A;IP6K2;MCL1;DEFA6;BTN2A2;BTN2A1;TNFRSF9;DEFA5;LY86;EEF2;NFKB2;PTPRC;ARPC2;LCN2;HLA-DRA;HPSE;OSBPL1A;XAF1;ITGB1;CIITA;ITGB2;BRK1;TCIRG1;ITGAL;SUMO1;TRIM69;ITGAV;ACTR3;DTX3L;TNFRSF18;TNFRSF1B;DDOST;DNAJC3;LCK;TRAF3;POLR1D;EVL;SEC22B;BIRC3;ROCK1;CEBPD;SFTPA2;NLRC5;ITLN1;MALT1;HECTD1;IFI16;RAB24;TIFA;IL21R;FYN;POLR2L;PTPN1;SEC24A;ERAP2;NDUFA2;PML;MYO1E;PFKL;IL2RA;TRIM38;P4HB;PTPN7;TRIM31;SEC24D;CLEC2D;IFITM3;IFITM1;IL1RN;IFITM2;PITPNA;CBLB;UBE2L6;IFIT3;ICAM1;IL27RA;HERC4;LGALS3;RPS6KA3;MT2A;RPS6KA5;TRIM29;ANPEP;RPS6KA2;CDC27;CPNE1;TRIM25;FBXO6;TRIM26;FBXO7;B2M;TRIM22;IL15RA;ATP6V1G1;ATP6V0E1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;SLPI;AURKAIP1;TMEM63A;MAOA;UBE2J1;CD79B;CD79A;CD19;DHX36;PAG1;SEC31A;STAT5A;CTSA;EGR1;STAT5B;SH2D1A;SURF4;RAB27A;NBEAL2;PTK2;BST2;VNN1;CD28;CD27;GRB2;CYSTM1;FBXL5;CD200;CD22;ITM2C;CD40;IL26;PTPRJ;TNFRSF13C;CD3D;CTSS;PPP3CA;GLIPR1;C8G;MUC12;RAC2;MUC13;CTSH;QSOX1;SEC61B;CTSE;CTSC;CTSB;CD53;ATP6V0B;DBNL;TNFRSF12A;BTN3A1;IL18;RHOG;IL16;BTN3A3;BTN3A2;RHOF;IL17RC;ENAH;KIF2A;IL1B;TAX1BP1;RHOU;CD47;CD44;CSTB;SP100;IFI6;RELA;CST3;PPP2CA;CREG1;ATP6V0E2;XDH;CD55;NPDC1;RANBP2;DYNC1H1;CD74;CD70;BATF;KLHL5;CAPZA1;HNRNPA2B1;SAA2;CTNNB1;UBE2Z;CCND1;COTL1;OSTF1;ACAA1;ZBP1;PDIA3;CYBA;EEF1A1;UBE2V2;ELMO1;CARD11;PSMD12;VCP;UBA6;DAPP1;RASGRP2;RASGRP1;CNN2;SDCBP;DPP7;UBB;UBE2F;BTNL8;UBE2H;VCAM1;SMAD3;TGFB1;HSPA6;MSN;ISG15;HOOK3;ISG20;DIAPH1;SELL;UBE2N;DEGS1;B4GALT1;CXCL8;ADAR;CXCL1;HMGB1;CXCL2;SEC61A1;CA1;CASP8;UBE2Q2;CASP4;CASP1;LRRFIP1;HGSNAT;DYNLT1;PPP2R5C;YWHAZ;CKAP4;TAPBP;PJA1;OAS2;OAS3;IRF1;NUP50;ATP6V1B2;LTB;DEFB4A;DCTN6;USP14;PSMB10;MUC1;CAND1;STOM;GBP2;GBP1;MUC4;GBP4;TMEM30A;PLA2G2A;CMTM6;MUC5B;SOD1;S100P;ABCE1
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	175/702	2.593105e-31	2.088746e-28	0	0	3.179304e+00	2.239097e+02	IFITM3;IFITM1;IL1RN;IFITM2;IRS1;UBE2D3;PITPNA;UBE2D1;IRS2;RORA;UBE2L6;IFIT3;ICAM1;IL27RA;RPS6KA3;MT2A;TBK1;RPS6KA5;CCND1;TRIM29;RPS6KA2;TRIM25;MAP3K8;TRIM26;KPNA2;TNFRSF4;B2M;TRIM22;IFNAR2;MAP2K3;GBP5;IL15RA;MAP2K1;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;HLA-E;TXLNA;PSME4;PSME1;PSME2;IL6ST;AURKAIP1;S100A9;KPNB1;PSMD12;MAOA;CUL1;TNFRSF11A;HIF1A;RAP1B;CNN2;SOCS3;UBB;TNFRSF14;HLA-DQA1;IP6K2;MCL1;GSDMD;LYN;STAT5A;EGR1;STAT5B;HLA-DRB5;JUN;SMAD3;TGFB1;VCAM1;TNFRSF9;FN1;MSN;ISG15;NFKB2;BST2;ISG20;HNRNPF;LCN2;UBE2N;HLA-DRA;CD27;GRB2;XAF1;HLA-DRB1;ITGB1;CIITA;CD40;CXCL8;IL26;ITGB2;PTPRJ;ADAR;CXCL1;TNFRSF13C;HMGB1;CXCL2;CA1;CASP8;SUMO1;CASP1;TIMP1;JAK2;HAVCR2;HLA-DPA1;JAK1;DUSP4;IKBIP;ANXA1;TNFRSF12A;IFNGR1;RIPK2;TNFRSF18;IL18;IL16;FOS;TNFRSF1B;IL17RC;YWHAZ;DUSP6;FCER2;PSMA6;PSMA2;LCK;TRAF3;OAS2;IL1B;IRF1;NUP50;OAS3;TCP1;PELI1;RHOU;LTB;CD44;BIRC3;USP14;SP100;CEBPD;NLRC5;IFI6;TANK;RELA;PSMB10;PPP2CA;MUC1;ALOX5;TIFA;IL21R;FLNA;FYN;GBP2;GBP1;GBP4;RANBP2;PTPN1;CCL20;STAT1;CD70;IL10RA;STAT3;PSMB8;PML;PSMB9;BATF;SOD1;IL2RA;CAPZA1;HNRNPA2B1;SAA2;P4HB;PTPN7;TRIM38;TRIM31;ABCE1
Reactome_2022	Innate Immune System R-HSA-168249	215/1035	1.797657e-26	9.653420e-24	0	0	2.523536e+00	1.495971e+02	WIPF1;GMFG;C4BPA;UBE2L6;C4BPB;LGALS3;RPS6KA3;TBK1;RPS6KA5;ANPEP;RPS6KA2;CPNE1;TRIM25;PRSS3;B2M;ATP6V1G1;ATP6V0E1;HLA-B;HLA-C;HLA-A;RNASE1;ATG12;UNC13D;HLA-E;SLPI;PSME4;PSME1;PADI2;PSME2;TXNIP;TMEM63A;CFI;PRDX5;PRDX4;CD19;DHX36;NCKAP1L;S100A11;LYN;CTSA;GSDMD;JUN;SURF4;RAB27A;NBEAL2;NFATC1;LYZ;PTK2;BST2;CYLD;VNN1;CYSTM1;GRB2;HNRNPC;ITM2C;SERPINA1;LPCAT1;PTPRJ;CTSS;PPP3CA;GLIPR1;C8G;CASP10;MUC12;RAC2;CTSH;MUC13;QSOX1;CTSC;CTSB;DUSP4;IKBIP;CD53;SERPINB1;ATP6V0B;DBNL;RIPK2;RHOG;FOS;TMC6;RHOF;DUSP6;PSMA6;SLC7A8;PSMA2;IL1B;PELI1;TAX1BP1;CD47;PAFAH1B2;CD44;CSTB;ASAH1;TANK;RELA;CST3;PPP2CA;CREG1;ALOX5;ATP6V0E2;CD55;DYNC1H1;TUBB4B;PSMB8;PSMB9;LRG1;CAPZA1;CTNNB1;SAA2;YPEL5;NCF4;UBE2D3;UBE2D1;DEFB1;COTL1;MAP3K8;OSTF1;ACAA1;GYG1;ZBP1;MAP2K3;MAP2K1;ATP11B;CYBA;CNPY3;OLFM4;TICAM1;ILF2;EEF1A1;RAB31;ELMO1;S100A9;ARL8A;KPNB1;CARD11;REG3A;PSMD12;VCP;CUL1;LY96;ITPR3;RASGRP2;RASGRP1;RAP1B;CNN2;SDCBP;DPP7;UBB;PI3;RAB6A;DEFA6;DEFA5;HSPA6;LY86;ISG15;HOOK3;EEF2;NFKB2;DIAPH1;PTPRC;ARPC2;SELL;LCN2;UBE2N;DEGS1;HPSE;B4GALT1;ITGB2;BRK1;CXCL1;HMGB1;TCIRG1;ITGAL;CASP8;CASP4;CASP1;ITGAV;LRRFIP1;ACTR3;HGSNAT;DYNLT1;TNFRSF1B;DDOST;CKAP4;DNAJC3;LCK;TRAF3;ATP6V1B2;POLR1D;DEFB4A;BIRC3;USP14;ROCK1;SFTPA2;ITLN1;NLRC5;MALT1;PSMB10;MUC1;CAND1;IFI16;TIFA;RAB24;STOM;FYN;MUC4;POLR2L;TMEM30A;NDUFA2;PLA2G2A;CMTM6;MUC5B;MYO1E;PFKL;S100P
Reactome_2022	Metabolism R-HSA-1430728	334/2049	4.230333e-21	1.703767e-18	0	0	1.903685e+00	8.930569e+01	RPL4;SLC35B2;PANK2;LPGAT1;CCNI;RPL31;ECI1;PITPNB;GDE1;CCNC;RPL8;RPL7;RPS15;STS;RPS19;VSIG2;LIPH;BSG;NAMPT;CHORDC1;CPNE1;RPL36;RPL35;RPL38;PRSS3;SEPHS2;GLUL;PDK2;MFSD2A;ACOT9;STARD4;ENTPD1;ACOT8;TSTD1;ENTPD5;ACSL4;SLC51A;ACSL3;CMBL;SLC51B;ASRGL1;CYP27A1;MTHFD2;PPA1;PRKD3;PRKAR1A;ETHE1;PSME4;UQCRC1;PSME1;PLBD1;PSME2;SUCLG1;RPL29;AURKAIP1;CES2;IDO1;SLC22A5;SDC4;RETSAT;SHMT2;MAOA;STXBP1;MGST3;MTMR9;RPS4Y1;MTMR6;OAZ2;SULT1A1;HELZ2;LDHB;HSD11B2;LDHA;PTDSS1;RDH11;CHST12;PTPMT1;LDHD;ST3GAL4;INPP5J;DECR2;PCK1;ST3GAL1;PPARGC1A;SULT1A2;PCK2;CTSA;SURF1;RPL41;CYP4F2;STARD10;PYCR1;MTHFR;PARP14;RPS28;VNN1;AKR1B10;TCN2;RPS29;PPT1;NOSTRIN;RPS21;COX7B;HEXA;HILPDA;LPCAT1;MED16;COX7C;TRMT112;GLIPR1;MED10;HYAL2;TNFAIP8L1;RPLP2;IDS;CD38;ENOPH1;ACADS;COX8A;LYPLA1;STARD3NL;ELOVL5;NCOA3;ELOVL6;PARP9;PTGR1;PGM2L1;SUMF2;PARP8;SLC7A5;PSMA6;PITPNM1;B3GNT7;PSMA2;ITPKA;PLIN3;PPARG;EEF1E1;CD44;ASAH1;ECHS1;SGMS1;ADH1C;INPP1;SGMS2;UQCR10;COX5B;COX5A;GNAI2;PAPSS1;PPP2CA;DUOX1;ALOX5;HSD17B2;UCP2;CKB;MAP4K5;XDH;DUOX2;CBR3;RANBP2;CA12;NQO1;NQO2;SLC16A1;GK;PNPLA8;TPK1;PLEKHA2;CKMT1A;NR1H4;ORMDL1;NR1H3;COX6C;GRHL1;PSMB8;PSMB9;FABP1;FABP2;AGRN;FMOD;VKORC1L1;CHRM3;NDUFA13;ACAA2;NDUFA11;CHPF;RORA;AHR;COX6A1;HNMT;CNDP2;FADS2;AKR7A3;FPGS;ACAA1;GGT1;GYG2;GYG1;SLC38A1;RPS9;SPNS2;UGT2B17;RPSA;SDHB;COX6B1;TPST2;DCTD;CMPK1;CSNK1G2;KPNB1;ABCG2;SLC26A2;PSMD12;PFKFB3;NDUFB10;ABHD3;AK1;GMPS;GMPR;ITPR3;ADIPOR1;UBB;KDSR;NDUFV1;IP6K2;MPST;OSBPL8;PRNP;UBE2I;COA1;SLC37A1;EPHX2;IDH2;SRD5A3;HOOK3;CYP4F12;ACSF2;AZIN1;COQ2;UQCRQ;PXMP2;TBXAS1;CRYL1;CYCS;DEGS1;HPSE;GNB5;DHCR7;OSBPL1A;RAB5A;RSL24D1;SERINC2;B4GALT3;TNFAIP8;ACADVL;B4GALT1;ADPGK;COX4I1;APIP;SLC2A1;DBI;ETFB;DHTKD1;CA1;CA2;KYNU;SUMO2;ACP5;UGT2A3;HMGCS2;GPX2;AMN;ABCC1;GPX4;ABCC5;SORD;NDUFC1;GPCPD1;NT5C3A;NDUFS8;NDUFS7;DDAH2;NDUFS6;NUP50;NDUFS5;RPL37A;BLVRB;B4GALT7;CERS2;ST6GALNAC6;NDUFB9;DDC;HDAC3;NDUFB7;SFTPA2;NDUFB4;NDUFB3;NDUFB2;RPL36A;NDUFB1;GLRX;PPM1K;MAT2B;HSD17B11;PSMB10;AGPAT4;GNA15;GNG2;UGP2;MAT2A;OXCT1;GNG7;SLC36A4;SEC24A;NDUFA6;SMOX;MID1IP1;NDUFA3;NDUFA2;PLA2G2A;NDUFA1;DDHD1;ASS1;SGPP1;SLC25A37;MARCKS;PFKL;SCD;SLC25A32;LPIN1;SEC24D;RAN;PFKP
Reactome_2022	Metabolism Of Proteins R-HSA-392499	309/1890	1.133685e-19	3.652735e-17	0	0	1.897709e+00	8.278500e+01	RPL4;RPL31;UBE2L6;RPL8;DCAF7;RPL7;RPS15;C1GALT1C1;NUB1;STS;TFG;RPS19;ANPEP;RPL36;TRIM25;LONP2;RPL35;FBXO6;TRIM26;RPL38;TRIM27;FBXO7;B2M;DDX17;WSB1;ALG5;SLC35C1;ALG2;HLA-B;CSNK1D;HLA-A;ANK3;SLPI;PPA1;PSME4;XRN2;PSME1;PSME2;PREB;KDELR3;RPL29;AURKAIP1;DCUN1D5;RPN2;MRPL18;MRPL19;MRPL17;LYPD5;RPS4Y1;MRPL12;HIF1A;GSPT1;APH1A;SCFD1;DPH3;ST3GAL4;SSR1;ST3GAL1;PPARGC1A;SEC31A;EDEM3;CTSA;NUS1;RPL41;PMM1;EDEM1;FN1;RAB27A;LYZ;MRPL23;MRPL21;CCT6A;CYLD;RPS28;HNRNPK;VNN1;RPS29;LYPD6B;CALU;HNRNPC;FBXL5;RPS21;ITM2B;TRAM1;SERPINA1;PIGP;SRP54;PIGZ;PCSK9;AREG;PIGX;MRPL41;ANKRD9;PPP3CA;TRMT112;TUBA1A;MUC12;TMED3;FFAR4;MUC13;TMED2;RPLP2;CTSH;GNPNAT1;QSOX1;TIMP1;SEC61B;TMED7;CTSC;RAB8B;CD52;PARP1;SSR4;RIPK2;SSR2;MRPS23;SSR3;UCHL3;TOPORS;LRRC41;SUMF2;DDB1;PSMA6;MRPL50;B3GNT8;B3GNT7;PSMA2;CEACAM5;TCP1;WAC;VWA1;PPARG;PABPC1;EEF1E1;SP100;SATB1;USO1;DERL1;DERL2;METTL21A;FUOM;TANK;RELA;CST3;GGA2;LMAN1;SRP72;GCNT3;APOL1;DTD1;CD55;CCT4;RANBP2;SUZ12;DYNC1H1;NPM1;CDX2;STAT3;C1GALT1;NR1H4;NR1H3;TUBB4B;PSMB8;PSMB9;SPCS3;KLHL5;CAPZA1;OTULIN;SAA2;CTNNB1;SRP19;TUSC3;UBE2D3;UBE2D1;RORA;FBXO21;NR3C1;UBE2Z;DMBT1;SLC30A7;PDIA3;RPS9;SHISA5;RPSA;PDIA6;TPST2;EEF1A1;RAB31;RAB34;UBE2V2;CARD16;FKBP9;IGFALS;LY6E;COPB2;DDX5;COPA;PSMD12;VCP;UBA6;SEL1L;CUL1;ARL2;SOCS3;FUT8;UBB;UBD;RAB6A;UBE2F;UBE2H;UBE2I;SMAD3;TGFB1;SRD5A3;EEF2;EIF2S1;NFKB2;COPS3;COPS2;UBE2N;STT3A;UBA2;SRPRB;GNB5;TGFBI;OGT;RAB5A;RSL24D1;B4GALT3;MCFD2;B4GALT1;USP34;ETFB;CDC73;MRPL3;SEC61A1;SENP5;SUMO1;UBE2Q2;SUMO2;PGM3;PMEPA1;MRPL9;USP47;ARFGAP3;RABGGTB;RANGAP1;ARFGAP1;DDOST;CKAP4;TGFBR2;DNAJC3;PTP4A2;RCN1;TRAF3;NUP50;RPL37A;ETF1;SEC22B;ST6GALNAC4;BIRC3;SEC22C;ST6GALNAC6;DCTN6;RAB1A;USP14;HDAC3;SFTPA2;HDAC1;GOSR2;RPL36A;FURIN;MAT2B;THBS1;PSMB10;HDAC7;GNA15;MUC1;GANAB;CAND1;GNG2;TNKS2;GMDS;GNG7;RAB24;RAB29;MUC4;EIF4B;DCAF13;SEC11C;TCF7L2;GALNT6;NOP58;SEC24A;GALNT2;MUC5B;KLF4;PML;EIF3M;EIF3K;EIF3L;TNIP3;EIF3H;EIF3E;EIF3F;P4HB;SEC24D;EIF3D;BET1
Reactome_2022	Cellular Responses To Stimuli R-HSA-8953897	151/736	3.061229e-18	8.219399e-16	0	0	2.431127e+00	9.804180e+01	RB1;RPL4;CRTC3;RPL31;AQP8;NCF4;UBE2D3;MT1M;UBE2D1;RORA;MT1X;RPL8;COX6A1;NR3C1;ETS1;RPL7;RPS15;RPS6KA3;MT2A;RPS19;CREB3L1;RPS6KA2;CREB3L2;CDC27;RPL36;RPL35;RPL38;MAP3K5;TSPYL2;MAP2K3;RPS9;ATP6V1G1;ATP6V0E1;RPSA;CYBA;PDIA6;PDIA5;COX6B1;EEF1A1;ERN1;MT1A;DDIT3;PSME4;DNAJB11;PSME1;MT1F;PSME2;TXNIP;MT1G;MT1H;PREB;KDELR3;RPL29;ATF3;MT1E;PSMD12;VCP;MRPL18;CUL1;LY96;RPS4Y1;HIGD1A;HIF1A;HELZ2;PRDX2;PRDX5;HSPH1;BAG2;UBB;BAG3;SERPINH1;SSR1;STAP2;PPARGC1A;SEC31A;JUN;RPL41;SURF1;EDEM1;HSPA6;EIF2AK3;EIF2S1;MOV10;RPS28;AGO3;RHEB;RPS29;ID1;CYCS;SRPRB;ATM;RSL24D1;RPS21;COX7B;ACADVL;CXCL8;COX4I1;TCIRG1;SLC7A11;AREG;COX7C;SERP1;RPLP2;COX8A;GPX2;ATP6V0B;ABCC1;GPX8;FOS;ARFGAP1;DNAJC3;PSMA6;DNAJC7;PSMA2;NUP50;RPL37A;ATP6V1B2;BLVRB;TERF2IP;ETF1;DCTN6;HDAC3;HM13;GOSR2;RPL36A;COX5B;COX5A;RELA;PSMB10;EXOSC7;DNAJB6;LMNA;DNAJB9;ATP6V0E2;EXOSC1;MAP4K4;RANBP2;SUZ12;DYNC1H1;NQO1;CDKN2B;STAT3;COX6C;SOD3;PSMB8;PSMB9;SOD1;FABP1;CAPZA1;P4HB;LAMTOR4
Reactome_2022	Adaptive Immune System R-HSA-1280218	150/733	5.080695e-18	1.169286e-15	0	0	2.422280e+00	9.645781e+01	IFITM1;NCF4;UBE2D3;RNF19B;UBE2D1;CBLB;UBE2L6;FBXO21;UBE2Z;ICAM1;NPEPPS;HERC4;RNF114;RNF19A;CDC27;AP1S2;MAP3K8;FBXO6;HLA-DOA;B2M;FBXO7;PDIA3;LAG3;WSB1;PRKCB;HLA-B;HLA-C;CYBA;HLA-A;HLA-F;RNASE1;HLA-G;RNF41;HLA-E;PSME4;ORAI2;PSME1;UBE2V2;ORAI1;PSME2;S100A9;CARD11;BLK;ANAPC13;CD274;PSMD12;UBA6;CUL1;LY96;DAPP1;ITPR3;KLC1;RASGRP2;RASGRP1;UBE2J1;RAP1B;CD79B;KLC4;SOCS3;CD79A;RNF213;UBB;CD19;TNFRSF14;HLA-DQA1;PAG1;SEC31A;LYN;CTSA;UBE2F;BTNL8;HLA-DRB5;UBE2H;VCAM1;BTN2A2;BTN2A1;SH2D1A;NFATC1;PTPRC;SELL;REL;CD28;UBE2N;HLA-DRA;GRB2;OSBPL1A;FBXL5;HLA-DRB1;CD200;CD22;ITGB1;CD40;ITGB2;PTPRJ;HMGB1;ITGAL;CD3D;CTSS;PPP3CA;SEC61A1;UBE2Q2;CTLA4;TRIM69;CTSH;ITGAV;SEC61B;CTSE;CTSC;HLA-DPA1;CTSB;DTX3L;BTN3A1;RIPK2;BTN3A3;BTN3A2;PPP2R5C;YWHAZ;LRRC41;PJA1;TAPBP;ENAH;PSMA6;KIF2A;PSMA2;LCK;EVL;SEC22B;DCTN6;MALT1;RELA;PSMB10;PPP2CA;HLA-DMA;HLA-DMB;HECTD1;AP2S1;FYN;XDH;NPDC1;CD74;DYNC1H1;SEC24A;ERAP2;NDUFA2;PSMB8;PSMB9;KLHL5;CAPZA1;SEC24D;CLEC2D
Reactome_2022	Neutrophil Degranulation R-HSA-6798695	109/468	1.750598e-17	3.525268e-15	0	0	2.832460e+00	1.092876e+02	GMFG;LGALS3;ANPEP;CPNE1;COTL1;OSTF1;PRSS3;ACAA1;GYG1;B2M;HLA-B;HLA-C;ATP11B;CYBA;HLA-A;OLFM4;RNASE1;ILF2;UNC13D;EEF1A1;RAB31;SLPI;PADI2;S100A9;ARL8A;KPNB1;PSMD12;VCP;TMEM63A;RAP1B;CNN2;SDCBP;PRDX5;PRDX4;DPP7;NCKAP1L;RAB6A;S100A11;GSDMD;CTSA;SURF4;HSPA6;RAB27A;NBEAL2;HOOK3;LYZ;EEF2;BST2;DIAPH1;PTPRC;VNN1;SELL;LCN2;CYSTM1;DEGS1;HPSE;ITM2C;SERPINA1;B4GALT1;ITGB2;LPCAT1;PTPRJ;CXCL1;TCIRG1;HMGB1;ITGAL;CTSS;GLIPR1;CTSH;ITGAV;QSOX1;CTSC;CTSB;CD53;HGSNAT;SERPINB1;DBNL;DYNLT1;RHOG;TMC6;RHOF;TNFRSF1B;DDOST;CKAP4;DNAJC3;PSMA2;CD47;PAFAH1B2;CD44;CSTB;ASAH1;ROCK1;SFTPA2;CST3;CAND1;ALOX5;CREG1;RAB24;STOM;CD55;DYNC1H1;TMEM30A;NDUFA2;CMTM6;TUBB4B;PFKL;LRG1;S100P;YPEL5
Reactome_2022	Disease R-HSA-1643685	281/1736	2.848248e-17	5.098365e-15	0	0	1.858807e+00	7.081541e+01	RB1;RPL4;CCNK;WIPF1;RPL31;CCNC;GCC2;RBPJ;ABCA12;RPL8;ANTXR2;SLC4A4;RPL7;RPS15;C1GALT1C1;TBK1;TFG;RPS19;FGFR1OP2;BSG;CDC27;AP1S2;RPL36;TRIM25;RPL35;RPL38;TRIM27;B2M;ENTPD1;ENTPD5;SLC35C1;SLC6A14;ALG2;HLA-B;HLA-C;HLA-A;HLA-F;HLA-G;RNASE1;HLA-E;CYP27A1;SLPI;PRKAR1A;PSME4;PSME1;TXNIP;PSME2;RPL29;VPS28;SLC22A5;SDC4;RPN2;MAOA;SLC5A1;RPS4Y1;SLC6A20;CD79B;APH1A;CD79A;PRDX2;BLOC1S6;RNF213;CD19;ST3GAL4;NCKAP1L;ST3GAL1;SEC31A;STAT5A;LYN;CTSA;GSDMD;SRPK2;STAT5B;NUS1;JUN;RPL41;JAG1;APOBEC3G;EIF2AK3;FN1;PARP14;PTK2;RPS28;HNRNPK;TCN2;FXYD3;RPS29;FXYD1;CD28;GRB2;ATM;RPS21;NOX1;RCOR1;HEXA;ADM;AREG;SHH;ZMYM2;CNTRL;MUC12;RAC2;MUC13;RPLP2;IDS;NELFCD;JAK2;JAK1;PARP1;RIPK2;IFNGR1;IL18;RHOG;AGTRAP;PARP9;IL17RC;DUSP6;PARP8;APBB1IP;PSMA6;PSMA2;PACS1;IL1B;RNMT;DERL3;DERL1;DERL2;CXCR4;TANK;RELA;GNAI2;PAPSS1;PPP2CA;NEURL1B;LMNA;AP2S1;MAP4K5;RANBP2;SUZ12;DYNC1H1;NPM1;SLC16A1;STAT1;STAT3;C1GALT1;PSMB8;PSMB9;CTNNB1;AGRN;FMOD;IRS1;TUSC3;UBE2D1;IRS2;ARID4B;NR3C1;CCND1;KPNA2;GGT1;GYG2;GYG1;IFNAR2;MAP2K3;ZBP1;MAP2K1;RPS9;TPM4;CYBA;RPSA;TICAM1;CDC25B;TPST2;SLCO2A1;ELMO1;SNRPE;S100A9;KPNB1;DDX5;SLC26A2;PSMD12;VCP;SEL1L;CUL1;LY96;ITPR3;KLC1;CORO1A;GTF2E2;RAP1B;FUT8;UBB;G3BP1;MARK3;PRNP;UBE2I;SMAD3;TGFB1;SRD5A3;MSN;ISG15;EEF2;NFKB2;ARPC2;TBXAS1;UBE2N;CHMP2A;STT3A;GNB5;RAB5A;RSL24D1;SLC26A3;ITGB1;B4GALT1;TRADD;SLC40A1;SLC2A1;BRK1;CHD4;HMGB1;CASP8;DUSP10;SUMO1;CASP1;LRRFIP1;YWHAG;ACTR3;HGSNAT;AMN;NCBP2;ATRX;RHBDF2;PPP2R5C;RANGAP1;REXO2;YWHAZ;DDOST;ETV6;TGFBR2;DNAJC3;LCK;TRAF3;NUP50;RPL37A;BIRC6;SLC25A5;ST6GALNAC4;B4GALT7;HDAC3;ROCK1;CEBPD;SFTPA2;HDAC1;RPL36A;SLC3A1;FURIN;THBS1;PSMB10;HDAC7;ERLEC1;MUC1;GANAB;GNG2;PABPN1;TNKS2;GNG7;POLR2C;FYN;MUC4;POLR2L;SLC35A2;TCF7L2;SEC24A;CNBP;NDUFA2;SSRP1;MUC5B;PML;MYO1E;CD9;SEC24D;RAN
Reactome_2022	Signaling By Interleukins R-HSA-449147	106/453	3.463899e-17	5.580341e-15	0	0	2.847180e+00	1.079125e+02	IL1RN;IRS1;PITPNA;IRS2;RORA;ICAM1;IL27RA;RPS6KA3;TBK1;RPS6KA5;CCND1;RPS6KA2;MAP3K8;MAP2K3;IL15RA;MAP2K1;TXLNA;PSME4;PSME1;PSME2;IL6ST;AURKAIP1;S100A9;PSMD12;MAOA;CUL1;HIF1A;RAP1B;CNN2;SOCS3;UBB;MCL1;GSDMD;LYN;STAT5A;STAT5B;JUN;SMAD3;TGFB1;VCAM1;FN1;MSN;NFKB2;HNRNPF;LCN2;UBE2N;GRB2;ITGB1;CXCL8;IL26;ITGB2;CXCL1;HMGB1;CXCL2;CA1;CASP8;CASP1;TIMP1;JAK2;HAVCR2;JAK1;DUSP4;IKBIP;ANXA1;RIPK2;IL18;IL16;FOS;TNFRSF1B;IL17RC;YWHAZ;DUSP6;FCER2;PSMA6;PSMA2;LCK;IL1B;TCP1;PELI1;RHOU;USP14;CEBPD;NLRC5;TANK;RELA;PSMB10;PPP2CA;MUC1;ALOX5;TIFA;IL21R;FYN;CCL20;STAT1;IL10RA;STAT3;PSMB8;PSMB9;BATF;SOD1;IL2RA;CAPZA1;HNRNPA2B1;SAA2;P4HB;PTPN7
