Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
WikiPathway_2023_Human	Cytoplasmic Ribosomal Proteins WP477	79/88	2.123249e-66	1.571204e-63	0	0	7.541447e+01	1.140400e+04	RPL5;RPL30;RPL3;RPL32;RPL31;RPLP1;RPL34;RPLP0;RPL10A;RPL8;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS14;RPS16;RPL18A;RPS19;RPS18;RPS6KA2;RPL36;RPLP2;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
WikiPathway_2023_Human	Nonalcoholic Fatty Liver Disease WP4396	64/154	4.548786e-23	1.683051e-20	0	0	6.038153e+00	3.106303e+02	NDUFA13;GSK3A;COX7B;CXCL8;NDUFA11;IRS1;COX4I1;IRS2;COX6A1;COX7C;BBC3;CASP7;CASP8;RAC1;MAP3K5;COX8A;NDUFC1;COX6B1;TNFRSF1A;ERN1;IL1A;NDUFS8;NDUFS7;NDUFS6;DDIT3;IL1B;NDUFS5;NDUFS3;ATF4;NDUFB9;PRKAA2;NDUFB7;NDUFB10;UQCRB;NDUFB11;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR10;ADIPOR1;COX5B;COX5A;UQCRH;RELA;SOCS3;MAPK8;CYC1;BAK1;BID;NDUFV1;NDUFA6;NDUFA4;NDUFA3;NDUFA2;EIF2AK3;NDUFA1;NR1H3;COX6C;UQCRQ;NDUFAB1;CYCS;MAP3K11
WikiPathway_2023_Human	VEGFA VEGFR2 Signaling WP3888	108/430	1.607414e-17	3.964955e-15	0	0	2.871167e+00	1.110261e+02	RPL5;RPL10A;RPL7;ICAM1;ACTG1;RPS6KA5;RPL18A;CCND1;BSG;CCRL2;RPS11;TMSB10;MAP3K5;MAP2K3;MEF2C;MAP2K1;FBXW11;RPS6;PDIA6;ERN1;NCL;ADAM9;RPL27;PRKD2;RPL26;PFN1;ATF4;EPHA2;PXN;TXN;FOXO3;NDRG1;RAP1B;PRDX2;SDCBP;MYO6;EGR1;JAG1;FN1;EIF2AK3;PRRC2C;PTK2;MOV10;RCAN1;BMP2;CALU;CYCS;RAB5A;BCL2L1;ITGB1;CXCL8;FHL2;HSPB1;PTPRJ;SHB;RND1;PPP3CA;CSRP2;RPLP2;ITGAV;RAC1;NCK1;TEAD4;ANXA1;GPX1;PLAUR;RPL13A;ARNT;RHOC;F3;MMP14;RCN1;NUMB;TNFRSF25;ALDOA;GAPDH;CRK;PTMA;ARF6;PRKAA2;HDAC1;SRC;SLC7A1;HDAC9;RELA;HDAC7;PPP2CA;LMAN1;MAPK8;DNAJB4;AP2S1;CTNNA1;DNAJB9;PTK2B;STAT6;FLNB;ASCC3;EIF4E;PAK2;PTPN1;STAT1;STAT3;CDC42BPB;SOD2;RAB11A;DNAJA1;CTNNB1;P4HB
WikiPathway_2023_Human	IL 24 Signaling Pathway WP5413	69/232	1.484629e-15	2.746564e-13	0	0	3.588216e+00	1.225147e+02	RB1;CDKN1A;CD40;NDUFA13;CXCL8;CD82;ITGB4;TRADD;HSPB1;PRDM1;DNPH1;ICAM1;BBC3;CASP7;CASP8;CCND1;CDH1;BSG;CDK5RAP3;JAK1;CTSB;PDIA3;EIF5A;ABCC1;GPX1;ANXA5;RPS6;HLA-C;TNFRSF1B;TNFRSF1A;ERN1;MMP14;TMBIM4;DDIT3;IRF1;EEF1E1;TLR3;CD44;ATF4;SRC;AK1;XIAP;TXN;NDRG1;RELA;EGFR;PPP2CB;MAPK8;BAK1;SF3B1;EIF4E;MCL1;NOS2;STAT1;TXNRD1;STAT3;EIF2AK3;EIF2AK2;TNFRSF10A;CFLAR;SOD2;HSPE1;PTK2;SOD1;CTNNB1;CYCS;CD200;HLA-DRB1;BCL2L1
WikiPathway_2023_Human	Electron Transport Chain OXPHOS System In Mitochondria WP111	40/105	1.922765e-13	2.845692e-11	0	0	5.173304e+00	1.514735e+02	NDUFB9;NDUFA13;COX7B;NDUFB7;NDUFA11;UQCRB;NDUFB10;COX4I1;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;UCP2;NDUFV1;COX8A;SURF1;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC1;COX6C;COX6B1;NDUFS8;NDUFS7;UQCRQ;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;SLC25A5;SLC25A6
WikiPathway_2023_Human	Gastrin Signaling Pathway WP4659	40/115	5.823237e-12	7.181993e-10	0	0	4.481009e+00	1.159200e+02	ITGB1;CDKN1A;CXCL8;IRS1;SRC;PXN;FOXO3;ELAVL1;RELA;EGFR;HDAC7;MAPK8;CCND1;CDH1;RAC1;JAK2;CHGA;EGR1;MAP2K1;MEF2C;JAG1;YES1;MMP7;RPS6;STAT3;FOS;RHOD;PTK2;BMP2;SP1;GNAQ;CTNNB1;PRKD2;PPARG;KRAS;CRK;MAP3K11;CD44;BCL2L1;BIRC3
WikiPathway_2023_Human	Type II Interferon Signaling WP619	21/37	1.014918e-11	1.072913e-09	0	0	1.096559e+01	2.775788e+02	CIITA;NOS2;IFNGR1;STAT1;IFNGR2;STAT2;REG1A;IFI6;HLA-B;TAP1;EIF2AK2;ISG15;ICAM1;PSMB9;SOCS3;OAS1;IL1B;IRF1;JAK2;GBP1;JAK1
WikiPathway_2023_Human	Immune Response To Tuberculosis WP4197	16/22	1.239625e-11	1.146653e-09	0	0	2.223968e+01	5.585189e+02	IFNAR2;IFITM1;STAT1;IFNGR1;STAT2;IFNGR2;MX1;TAP1;IFI35;PSMB8;IFIT3;OAS1;IRF1;JAK2;JAK1;IFNAR1
WikiPathway_2023_Human	Nuclear Receptors Meta Pathway WP2882	75/314	1.993254e-11	1.514243e-09	0	0	2.656200e+00	6.544522e+01	SERPINA1;HSP90AB1;SLC2A1;TNFAIP3;IRS2;DBI;SLC7A11;AHR;AKAP13;CCND1;ENC1;DNER;ME1;SLC39A5;JUNB;SLC39A1;SRGN;G6PD;GPX2;TSC22D3;SLC2A13;ABCC5;SLC6A14;MYOF;ARNT;PTGR1;TGFBR2;SLC7A5;KAT2B;B3GNT5;IL1B;SCNN1A;BLVRB;ANGPTL4;CES2;EPHA2;FTL;BIRC3;SLC26A2;SRC;MGST3;GSTP1;ABHD2;TXN;SLC5A1;SLC6A20;CYP3A5;EGFR;SEC14L1;SERTAD2;STOM;LRRC8A;HES1;PCK1;PPARGC1A;CBR3;EGR1;NQO1;JUND;CCL20;TXNRD1;STAT3;NR1H3;NR0B2;SOD3;KTN1;FABP1;SLC6A6;SLC6A8;SP1;SCD;BHLHE40;S100P;GCLM;CPEB4
WikiPathway_2023_Human	Ebola Virus Infection In Host WP4217	42/129	2.046274e-11	1.514243e-09	0	0	4.057183e+00	9.985707e+01	ITGB1;ICAM2;CLTB;EGFR;RELA;ACTG1;SOCS3;HLA-DMA;TBK1;HLA-DMB;ITGAV;FLNB;RAC1;HLA-DQA1;CTSB;HLA-DPA1;HLA-DRB5;GSN;ITGA3;STAT1;ITGA2;HLA-B;HLA-C;EIF2AK2;ACTN4;HLA-A;HLA-F;RHOC;HLA-G;HLA-E;BST2;NPC1;NPC2;IRF7;HLA-DPB1;HLA-DRA;RAB9A;ITGA6;TOP1;RAB5A;HLA-DRB1;HLA-DQB1
WikiPathway_2023_Human	Network Map Of SARS CoV 2 Signaling Pathway WP5115	56/218	3.876896e-10	2.608093e-08	0	0	2.912169e+00	6.310907e+01	IFITM3;LGALS3BP;IFITM1;CXCL8;HBB;CXCL1;AHR;CXCL3;CXCL16;ACTG1;TBK1;CASP8;CASP5;TNFSF10;RAC1;JAK2;JUNB;JAK1;CTSB;BTN3A1;ITGA3;RPS6;IL18;FOS;TGFBR2;IL1A;IFI27;LCK;OAS2;IL1B;DDIT4;CFI;IFI6;HIF1A;TPO;MAPK8;APOL1;BID;EIF4E;FAM83A;EGR1;HLA-DRB5;GSN;STAT1;CCL20;MX1;FN1;BST2;LRG1;TP53I3;SAA1;SAA2;HLA-DRA;HLA-DRB1;MYD88;PF4
WikiPathway_2023_Human	Adipogenesis WP236	38/131	7.156546e-09	4.413204e-07	0	0	3.426313e+00	6.426132e+01	RB1;CDKN1A;CEBPD;IRS1;CISD1;IRS2;AHR;HIF1A;SOCS3;NAMPT;DVL1;LMNA;STAT6;PCK1;PPARGC1A;PCK2;MEF2A;STAT5B;MEF2C;SMAD3;STAT1;STAT2;STAT3;NR1H3;MIF;NCOR2;BMP3;BMP2;NCOR1;SP1;SCD;DDIT3;ID3;CTNNB1;PPARG;IL6ST;LPIN1;LPIN2
WikiPathway_2023_Human	CKAP4 Signaling Pathway Map WP5322	33/109	2.169267e-08	1.234813e-06	0	0	3.635950e+00	6.416104e+01	ITGB1;PRKAA2;ITGB4;SRC;EGFR;RELA;SHH;CASP8;CCND1;CASP5;CDH1;CASP1;FBXO3;PTK2B;CD74;MAP2K1;SMAD3;APAF1;FBXW7;STAT1;TNFRSF10A;MIF;DUSP6;CKAP4;TNFRSF1A;TGFBR2;MMP14;GOLPH3;SP1;CTNNB1;PFDN5;CD44;RAD9A
WikiPathway_2023_Human	Apoptosis Modulation And Signaling WP1772	29/89	2.493047e-08	1.288558e-06	0	0	4.043313e+00	7.078699e+01	TRADD;XIAP;HTRA2;BBC3;CASP7;MAPK8;CASP8;CASP10;BAG3;PEA15;CASP1;TNFSF10;BAK1;BID;MAP3K5;MCL1;APAF1;BIK;BNIP3;TNFRSF10A;FOS;CFLAR;TNFRSF1B;TNFRSF1A;CYCS;TNFRSF25;MYD88;BIRC3;BCL2L1
WikiPathway_2023_Human	Oncostatin M Signaling Pathway WP2374	22/56	2.611943e-08	1.288558e-06	0	0	5.403078e+00	9.434091e+01	STAT5B;EGR1;MAP2K1;JUND;IRS1;SRC;STAT1;RPS6;PXN;STAT3;FOS;HIF1A;RELA;SOCS3;CASP7;MAPK8;PTK2B;KRAS;JAK2;IL6ST;JUNB;JAK1
WikiPathway_2023_Human	AGE RAGE Pathway WP2324	23/66	1.718462e-07	7.947887e-06	0	0	4.466229e+00	6.956896e+01	STAT5B;MAP2K1;MMP7;SMAD3;NOS2;IRS1;SRC;STAT1;STAT3;HIF1A;RELA;EGFR;SOD1;LGALS3;DIAPH1;MMP14;MAPK8;CASP8;SP1;CYCS;RAC1;JAK2;MYD88
WikiPathway_2023_Human	TNF Alpha Signaling Pathway WP231	27/89	3.866168e-07	1.682920e-05	0	0	3.639196e+00	5.373576e+01	TRADD;TNFAIP3;TXN;TANK;PPP2CA;CASP7;MAPK8;CASP8;TBK1;RFK;RAC1;RFFL;BID;GLUL;MAP3K5;MAP2K3;APAF1;RIPK3;FBXW11;CYBA;CFLAR;TNFRSF1B;TNFRSF1A;KRAS;NOX1;BIRC3;BCL2L1
WikiPathway_2023_Human	Measles Virus Infection WP4630	35/136	6.888376e-07	2.831888e-05	0	0	2.900430e+00	4.115205e+01	TRADD;TNFAIP3;ADAR;RELA;BBC3;MAPK8;TBK1;CASP8;CCND1;BAK1;BID;JAK1;IFNAR2;STAT5B;APAF1;STAT1;STAT2;HSPA6;STAT3;MX1;EIF2AK3;EIF2AK2;FOS;IL1A;OAS1;OAS2;IL1B;OAS3;IRF7;CYCS;RAB9A;CD46;MYD88;IFNAR1;BCL2L1
WikiPathway_2023_Human	Mitochondrial Complex IV Assembly WP4922	15/34	7.351976e-07	2.863401e-05	0	0	6.576242e+00	9.287710e+01	COX8A;COA3;COX7B;SURF1;NDUFA4;COX4I1;COX7A2;COX5B;COX6A1;COX6C;COX5A;COX7C;COX6B1;PNKD;COX14
WikiPathway_2023_Human	Type I Interferon Induction And Signaling During SARS CoV 2 Infection WP4868	14/31	1.220010e-06	4.514037e-05	0	0	6.857488e+00	9.337603e+01	IFNAR2;STAT1;STAT2;TMPRSS2;EIF2AK2;TBK1;OAS1;OAS2;OAS3;IRF7;MYD88;TLR3;JAK1;IFNAR1
