gene,mean,count,downregulated
C4BPB,4.908079785381717e-07,7,0
AFG3L2,9.709138305117695e-11,6,6
VWA1,8.050456118979556e-09,6,0
TACO1,4.6602516579741485e-08,6,6
KAT14,5.577923552184547e-08,6,6
MGAT4B,5.7075727243709865e-08,6,6
UBE2L6,7.948831169971079e-08,6,0
SUCLG1,1.0687115346070605e-07,6,6
GLTP,1.3509932096511348e-07,6,6
RTL8C,2.3145939210825314e-07,6,0
TIMP1,2.4527139773956957e-07,6,0
ADM,2.461002424732962e-07,6,0
ANXA5,2.4655988329687383e-07,6,0
SAMD9L,2.473675957290673e-07,6,0
ESRRA,2.508391523643206e-07,6,6
TMEM177,2.508889213479748e-07,6,6
CXCL2,2.521044847352322e-07,6,0
UGT2A3,2.522666601492814e-07,6,6
CXCL3,2.5232365704733575e-07,6,0
APOL1,2.5317667536208123e-07,6,0
SLC39A5,2.53401887914077e-07,6,6
ATPAF1,2.541657630968404e-07,6,6
CXCL1,2.5431483908932543e-07,6,0
RTEL1,2.5462996159550547e-07,6,0
HSDL2,2.5527724338034193e-07,6,6
EPB41L3,2.553762246169537e-07,6,6
PI3,2.557908169454864e-07,6,0
DDC,2.5609981203881547e-07,6,6
TNFRSF6B,2.568422807875453e-07,6,0
MEST,2.569114930444052e-07,6,6
AQP9,2.5755543497094915e-07,6,0
CHI3L1,2.5812744586026704e-07,6,0
IL1B,2.5860078757302906e-07,6,0
PCDH17,2.586883452838553e-07,6,0
IFITM2,2.587232786616575e-07,6,0
DUSP4,2.5894333355750966e-07,6,0
KYNU,2.589934430508482e-07,6,0
MMP7,2.610015548987558e-07,6,0
LPCAT1,2.6466463901108796e-07,6,0
PCK2,2.6566447512980816e-07,6,6
LCN2,2.692586404456034e-07,6,0
SLC23A1,2.705485658851103e-07,6,6
DUOX2,2.740586002080468e-07,6,0
ZBP1,2.799894149020642e-07,6,0
DUOXA2,2.818873496609066e-07,6,0
CD55,2.8260479172487583e-07,6,0
ACSF2,2.8647571143735065e-07,6,6
BACE2,2.896141000278888e-07,6,0
AGPAT4,2.902436418462051e-07,6,0
GPX8,2.9154455164544786e-07,6,0
SAA1,2.917713023543942e-07,6,0
ZC3H12A,2.9807988054119595e-07,6,0
SAA2,2.991542209032089e-07,6,0
SLC6A14,2.9957363004940035e-07,6,0
GBA2,3.0177027083845664e-07,6,6
CENPV,3.0610608109993417e-07,6,6
TNIP3,3.0611558920458554e-07,6,0
S100P,3.0675007724567574e-07,6,0
S100A11,3.151100331272435e-07,6,0
EPHX2,3.2185562355081764e-07,6,6
C1orf115,3.3033423999529547e-07,6,6
TMEM38B,3.3357755862394674e-07,6,6
ASRGL1,3.4721707696627643e-07,6,0
SSTR1,3.499208849644079e-07,6,6
SLC35G1,3.539732420072472e-07,6,6
S100A8,3.5813425882712463e-07,6,0
PIK3R3,3.716786293564322e-07,6,0
TFF1,3.7552001758737105e-07,6,0
SLC22A5,3.762959497178786e-07,6,6
PODXL,3.813930139748685e-07,6,0
IFITM3,4.0042608161876653e-07,6,0
HADHA,4.5201900823697234e-07,6,6
TMEM98,4.7598747188836487e-07,6,6
MMP3,4.926957048258257e-07,6,0
TAP1,5.000711153853021e-07,6,0
ELL2,5.233033703017184e-07,6,0
S100A9,6.028771641675417e-07,6,0
DHRS4,6.407852854082437e-07,6,6
GIPC2,7.163085186397563e-07,6,6
PDK2,2.46610224030586e-11,5,5
SETD7,6.262098123888264e-11,5,0
PGM2L1,7.653590275642347e-11,5,0
RPS6KA2,1.5676019136849676e-10,5,0
RCN1,2.0659624925680964e-10,5,0
ASPHD2,2.49401073200818e-10,5,0
MSI2,4.5858438994319797e-10,5,0
BHLHE40,4.799487358140291e-10,5,0
IRAK3,6.981946643269979e-10,5,0
ASB13,8.322832660316027e-10,5,5
DAPP1,1.7602096852965074e-09,5,0
ZNF219,2.117928868587061e-09,5,5
ECI1,2.733344999525394e-09,5,5
MAGI1,7.055798646203785e-09,5,5
MAFF,7.837152088853849e-09,5,0
FGFR3,8.50388861245025e-09,5,5
COL1A1,9.63807248312145e-09,5,0
TDP2,9.68177426084391e-09,5,5
ANO10,9.766323001785044e-09,5,5
