gene,p,mean
PLCB3,3.877171582996796e-11,-0.7452624432372201
CADPS,4.0337243864270065e-09,0.6428224207878804
GABRE,4.83542649886232e-09,0.5634560410183229
C6orf120,1.3480289312885064e-08,-0.6141840227808902
STK25,1.4085483021101803e-08,-0.6567667438672757
C1orf54,1.606371613282812e-08,0.6948694519053015
ZNF672,1.9404711131378332e-08,-0.6244930822883966
CCL11,2.116558809216865e-08,0.5724992785236873
NEU4,2.4805127000258408e-08,-0.5581626002124354
GRPEL1,3.5242357963940524e-08,-0.5392150755247354
LYST,5.093170535529597e-08,0.5891025702122102
SLC2A8,5.51266485983171e-08,-0.649799532755794
SAMD1,5.858871761137297e-08,-0.5690898680240515
CCNO,5.9001536326511235e-08,0.4784578949085001
FAM168B,8.667840344877061e-08,-0.5774048326216961
MGME1,8.71557142436168e-08,-0.5214722907608017
VPS45,1.371925990652524e-07,-0.5413306336751424
SERPINA1,1.52989553408604e-07,0.3675279964527337
ADAL,1.6824325904717962e-07,-0.6503612964720658
TRIM22,2.2037134755451422e-07,0.49672137697391505
CARHSP1,2.3884395197898175e-07,0.5316618961350419
LSM4,2.766680282964742e-07,-0.5405535193893349
ARAF,3.3323739688321964e-07,-0.5830004372652392
CSTA,3.4217919196711e-07,0.5430388938811498
COX10,4.0089537253501835e-07,-0.5978806082001371
SNHG32,4.0089537253501835e-07,0.5775307968117611
ZBP1,4.395170387367519e-07,0.6112354058601045
SURF6,4.6096521666691006e-07,-0.5049412299263675
CTDNEP1,5.488402999683469e-07,-0.48371734076622375
RAB5B,6.249383199329287e-07,-0.5137355942348647
SAMD9L,6.249383199329287e-07,0.4509669103410734
CCNY,6.872230953622423e-07,-0.5466309352134213
TOMM40L,7.020430970157241e-07,-0.521154993018826
RNF157,8.420815692009228e-07,-0.4944490871465998
ACO2,8.623066377997334e-07,-0.6822067932397143
BACE2,1.0441574596776457e-06,0.5881116145967226
PRADC1,1.1339395971820558e-06,-0.6145700876079103
ZNF3,1.155702282802238e-06,-0.46737902954011934
LRRC47,1.2156897841463093e-06,-0.47874748292824887
PI4KB,1.2311483420938057e-06,-0.5164993726402115
INPP5D,1.2948949289819402e-06,0.5447260678199453
MRPL49,1.308227896911219e-06,-0.5681532955569684
ATP8B3,1.3703926494238895e-06,0.4715211454296352
ZNF134,1.4415351698312977e-06,-0.5194490857760119
GLIPR2,1.4684421465319638e-06,-0.4432215162834603
WSB1,1.4869925465759817e-06,0.5287121794566024
LMAN2L,1.6232002069259966e-06,-0.5351764308273788
SMARCD2,1.6232002069259966e-06,-0.4600022498382516
ZFAS1,1.664269444071346e-06,0.5341180926454676
GNA11,1.7494243780467933e-06,-0.4814202700136398
ADGRF1,1.7494243780467933e-06,0.6044065942105243
DDX56,1.782378315186033e-06,-0.4381454255248892
