Gene,P-value
FABP1,0.0
CKB,0.0
MT1G,0.0
LGALS4,0.0
SLC26A2,0.0
MT1E,0.0
CHCHD10,0.0
HMGCS2,0.0
HLA-DQB1,0.0
LYZ,0.0
SAA1,0.0
HLA-DPA1,0.0
DMBT1,0.0
DUOXA2,0.0
DUOX2,0.0
OLFM4,0.0
HLA-DRB1,0.0
PI3,0.0
HLA-DRA,0.0
PLA2G2A,0.0
CD74,0.0
LCN2,0.0
HLA-C,6.610540336473976e-309
HLA-DRB5,1.8312833056218027e-299
COX5B,7.636374208364773e-294
HLA-DPB1,1.820936550200104e-279
HLA-DMA,2.7436698288030755e-278
S100P,6.249126520763992e-277
LAMTOR4,2.9396034429788388e-266
REG1A,3.323017285787129e-262
B2M,1.3919451859994518e-261
HLA-E,8.350946685567452e-259
HLA-F,3.094583798740023e-254
CCL20,1.581403741316213e-250
ADIRF,2.272188512714891e-240
PSMB9,8.913827817129564e-240
IFITM2,6.14119729163893e-239
CA1,2.3415285007926103e-234
IFITM3,7.04414634036329e-234
MUC1,3.557155467399608e-225
ZG16,2.1899913083128154e-220
CLDN3,4.195077398525362e-203
HLA-A,9.005530215418382e-199
SELENBP1,1.5587372125034512e-195
PRAP1,5.257379538799001e-190
COX6C,2.810656742469789e-188
AQP8,3.9024286132167714e-188
MT1M,3.735385418154634e-187
CXCL1,1.2967218285533204e-182
FXYD3,1.477898485015497e-182
PHGR1,6.889338167047488e-181
PDZK1IP1,4.999557501410058e-179
COX7B,4.9158683062150094e-176
ISG20,1.1326740600875108e-173
RNF213,3.9329667146877495e-173
COX6B1,1.0578767963248285e-170
CHP2,1.4599210516250474e-170
CASP1,1.3228782795374908e-167
SLC6A14,9.360812264415231e-166
SAA2,4.359391165946971e-159
SLC25A37,1.4322734176011066e-158
TNIP3,1.2033530736307288e-157
TAP1,2.3947995993462395e-151
TNNC2,4.098180034914899e-151
TMC5,1.8865570010671e-150
SPINK1,1.7945813687858288e-149
NDUFA1,2.9949975162419426e-149
HLA-B,4.470867626050295e-149
MT1X,5.186662730482892e-149
KRT8,2.908638325168924e-147
ASS1,7.354519824305225e-146
FAM162A,2.1079156060638317e-145
CLDN4,1.7080228216389875e-143
UQCRQ,3.2414808213271208e-143
SLC28A2,1.1047879588679274e-142
ANPEP,1.680230909589476e-142
GPX2,2.1351033682425455e-142
PADI2,3.686670636893746e-142
UBE2L6,4.758184806126533e-142
TAPBP,6.106522257139564e-142
SCD,8.025476574652415e-141
FOS,2.1383461337615516e-140
COX4I1,2.0575907905605083e-139
BIRC3,4.6172711521289477e-138
LGALS3,7.337585427327758e-138
S100A9,3.249647754212099e-137
NOS2,1.0993615898300507e-136
BACE2,1.2928043157669648e-134
TXN,2.6026631055250153e-132
GBP1,3.220187186173021e-132
C19orf33,3.5695489568216284e-132
URAD,1.0467450044941335e-130
BSG,2.032493549879192e-130
HLA-DMB,1.024955217300274e-129
MT2A,1.8669468922461895e-129
MUC4,6.974704160919401e-129
PMEPA1,7.900118558853317e-129
DEFA5,1.572850496272793e-128
S100A11,6.192249270716622e-128
HSPA6,4.915587721379987e-127
APOL1,1.7572655117100436e-126
PARP14,5.1592670122155406e-126
ID3,3.045484974769624e-124
MT1F,2.3479045909789554e-123
RPS4Y1,1.7193930593498828e-120
MYL6,7.832536013773561e-120
TMEM141,4.7884989050049594e-119
ISG15,6.745004928076567e-119
ADAM9,1.1375101929454275e-117
PRSS22,1.621164027418217e-116
NDUFB7,2.94775388328341e-116
SLC51B,1.201128039396256e-115
LGALS2,1.160553513423358e-113
FCGRT,1.0912234150610968e-112
ETFB,1.0198563911285978e-111
MT-ND4L,1.662493099622643e-111
ACADS,3.5044526890959226e-111
HLA-DQA1,4.5685239716962136e-111
HSD11B2,1.1580241935831278e-109
PIM3,4.0803761247115564e-109
ARFGAP3,9.687073632103426e-109
COX7A2,8.107851534004167e-107
GUCA2A,1.3995836877156257e-105
IFI6,1.7246377653970588e-104
DHRS11,2.193984469954954e-104
MPST,3.9439007646331804e-102
CCNI,4.766100425593155e-102
MDK,6.650371783507414e-102
DAPP1,3.7066856418550195e-101
SLPI,2.2966455404027083e-100
ALKBH7,1.8624804601043586e-98
SORD,2.1747694982680284e-98
FXYD5,3.025192477294929e-98
SLC40A1,4.875159251789304e-97
SAMD9L,1.019125720894249e-96
IFI16,1.171894421196315e-96
C2,9.422996974581513e-96
UGT2B17,1.0748036646114945e-95
CISD3,8.249655544166993e-95
NDUFB1,8.293186504304276e-95
MT1H,4.439640812621808e-94
EIF5A,9.535957241053832e-94
CD44,2.8535841868766355e-92
SPINK5,6.758763066721015e-92
C15orf48,1.3459326824828725e-91
FOSB,2.852087783484146e-91
LPIN1,6.503775271818078e-91
PCK1,1.0914513402263902e-90
COX6A1,2.343196395331661e-90
TPM4,6.429327221029987e-90
CA2,9.215527549422708e-90
SERPINB5,9.946454719515712e-90
TUBB4B,2.5107667532122793e-89
TIMP1,6.53297229525976e-89
HIF1A,7.694673057058198e-89
TMEM92,6.511797191953602e-88
DDT,1.1736222554201337e-87
AREG,1.3182134300408723e-87
PRDX5,4.46651618256565e-87
C4BPB,7.134509656291628e-87
UCP2,7.208536197452663e-87
ANXA1,1.2751261626155677e-86
RPL37A,4.089424077251109e-86
COX7C,1.1929194840981797e-85
STAT1,1.4621607015590572e-85
LPCAT1,1.554369966307287e-85
PPA1,1.6009981736647418e-84
EIF1AY,1.6464861398232378e-84
GBP4,2.444350585410642e-84
TST,4.544703343949204e-84
CD47,6.025997424285765e-84
B4GALT1,8.298898653495554e-84
ARID5A,1.0404062784247004e-83
BHLHE40,1.1597012828542616e-83
TYMP,3.6976076208588174e-83
ASRGL1,3.8560906240672256e-83
RNF145,1.6986076524550792e-82
HK2,2.5069860049037924e-82
MT-CO3,1.2093958757758458e-81
SLC51A,3.7320207769136035e-81
PDP1,9.786141791846621e-81
CMTM6,2.1725374317430336e-80
NFKBIZ,4.087336526883614e-80
TMEM165,4.232813581317796e-80
LTB,4.706927752753666e-80
SAT1,8.716505894464396e-80
CD82,1.0989381661863487e-79
COX8A,1.350180505152941e-79
VWA1,7.382924784427919e-79
COX5A,1.388789055112389e-78
ZBP1,1.7575207318205302e-78
SAMD9,4.723446778540149e-78
TMIGD1,8.389371538517413e-78
ME1,3.781253579933215e-77
CD79A,5.6686914074513334e-77
PSME1,6.646774102252976e-77
CD55,8.489884274399938e-77
S100A10,1.5262554864466735e-76
MUC5B,2.4185009065870197e-76
ATP6V1G1,6.016490460481627e-76
CD9,3.5392392693745885e-75
NDUFB3,3.613289156801377e-75
SYNGR2,2.292490267875558e-74
LYSMD2,8.355614202932173e-74
C2orf88,1.2010522422085852e-73
EGR1,1.3327363335804737e-73
HSD17B2,4.1128638834619967e-73
LAPTM5,9.564881587566871e-73
RCN1,2.2419093999542467e-72
SLC5A1,7.230853280777219e-72
ETHE1,1.1823010096598866e-71
GPX4,1.4307754147372813e-71
LYN,2.440593234782324e-71
ZG16B,2.5603220584606504e-71
HLA-G,6.5628025787117825e-71
SMIM22,9.074574671521482e-71
PHLDA1,1.025228262677237e-70
SERPINA1,1.4969625422778612e-70
NDUFA3,4.313562335883403e-70
SKIL,5.2312401587592555e-70
CD40,1.7491842052657871e-69
ERAP2,1.9336689752120372e-69
TC2N,2.374128142358358e-69
FURIN,3.051671071545722e-69
FAM3C,3.3999681382647823e-69
GDF15,5.2536935756415e-69
NDUFA13,1.1294397275064676e-68
FFAR4,1.241762374161685e-68
TPK1,1.8224924200585616e-68
SDCBP,1.9292879865381854e-68
ROMO1,2.3664670785789374e-68
NDUFB9,3.8194402036649764e-68
UBL5,1.908157473754261e-67
GRINA,2.429754522211377e-67
KCND3,3.048194812313377e-67
PNKD,4.859803072173884e-67
ASPH,9.693133519034835e-67
MYCBP2,2.156882806425018e-66
PKIB,2.9397767231282434e-66
TMEM123,3.8579939837576804e-66
TGM2,4.865516895509999e-66
TSC22D3,5.348999260466856e-66
CREB3L2,1.0118912823118657e-65
SRD5A3,1.351448957957418e-65
CES2,3.3612227279372373e-65
S100A14,4.961413424330292e-65
