gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
FCGR1BP,8,1.5954359051782236,0.12512430004581662,1.3501922770884232,1.8406795332680241,3.0853138400562638e-37,5.9608609865491405e-06,0.0,up,8,0,1.0,0.0078125,7.707422503844553e-33
ANO5,8,-1.5436307216664225,0.12461666826276814,-1.787879391461448,-1.299382051871397,3.0720194186572525e-35,4.125501414206861e-06,0.0,down,0,8,1.0,0.0078125,3.8371058548738415e-31
FCGR1A,7,1.5076471733731065,0.13506545994045072,1.242918871889823,1.77237547485639,6.232601705985568e-29,5.9608609865491405e-06,0.0,up,7,0,1.0,0.015625,5.189887440574182e-25
CSTA,9,1.0526233903294306,0.09974052720375104,0.8571319570100786,1.2481148236487827,4.8878090631352836e-26,5.9608609865491405e-06,0.0,up,9,0,1.0,0.00390625,2.0350393034363753e-22
GLYATL1,9,1.0266579082307032,0.09965191051067604,0.8313401636297781,1.2219756528316283,6.8695781703019985e-25,5.9608609865491405e-06,0.0,up,9,0,1.0,0.00390625,2.1451116534039278e-21
LRRC70,8,1.2148351439424347,0.12058152230456662,0.9784953602254842,1.4511749276593853,7.140337050776246e-24,4.368720391711497e-06,0.0,up,8,0,1.0,0.0078125,1.7837275986544138e-20
NPTX2,10,0.8840001912428213,0.08811114586008584,0.7113023453570531,1.0566980371285895,1.0938677573061591e-23,0.0023373556769318913,0.0,up,10,0,1.0,0.001953125,2.4841736768422873e-20
INHBA,9,1.1591150942488857,0.11608933938729518,0.9315799890497871,1.3866501994479843,1.7787116234601256e-23,0.02149907480996627,0.0,up,9,0,1.0,0.00390625,3.7028329221381165e-20
RGS16,9,1.1939739282262478,0.11988529664898982,0.9589987467942278,1.4289491096582678,2.2966844846079342e-23,0.027693098617072653,0.13569374264345443,up,9,0,1.0,0.00390625,4.4133442392300617e-20
SNORD23,6,-1.5788771403807684,0.15876464930259426,-1.8900558530138531,-1.2676984277476837,2.658004219567326e-23,5.9608609865491405e-06,0.0,down,0,6,1.0,0.03125,4.742828814929384e-20
GPR4,9,1.2031573357033316,0.12391243069080515,0.9602889715493536,1.4460256998573098,2.740384691537786e-22,0.034578487443907756,0.2196744752437273,up,9,0,1.0,0.00390625,4.2785968737065896e-19
