gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
DPP10-AS1,7,2.174704016722426e-19,1.5222928117056985e-18,0.9999999982623957,1.0,1.3807219930302742e-19,9.665053951211919e-19,3.8028396729220056e-14,1.0,2.4144271275522494e-14
BACE2,10,1.5531034288188536e-16,1.5531034288188537e-15,1.7687819343945866e-19,1.7687819343945867e-18,0.997790788474751,1.0,1.9399038377661893e-11,4.4185941503111174e-14,1.0
PSMB9,10,3.244865022821355e-14,3.244865022821355e-13,2.4073424945279157e-18,2.4073424945279155e-17,0.9813542597957978,1.0,2.701999104503342e-09,2.004594095193395e-13,1.0
DPP10,10,5.413428364365063e-14,5.413428364365063e-13,0.9999922912326803,1.0,3.4104032805832492e-15,3.410403280583249e-14,3.3808213492550907e-09,1.0,4.2597642176125073e-10
UBE2L6,10,2.029858126843582e-13,2.0298581268435817e-12,8.464553403652035e-19,8.464553403652035e-18,0.991472977911399,1.0,1.0141577173335902e-08,1.0572650428831574e-13,1.0
LPCAT1,10,9.305541246274756e-13,9.305541246274756e-12,7.020362727706649e-16,7.0203627277066495e-15,0.9999999005769737,1.0,3.231962419539261e-08,2.0713553719761166e-11,1.0
BRINP3,10,9.461884527342438e-13,9.461884527342438e-12,0.9999507799762511,1.0,2.0955984916327544e-13,2.0955984916327543e-12,3.231962419539261e-08,1.0,8.725024319912972e-09
ATPAF1,10,1.0350145853374198e-12,1.0350145853374198e-11,0.9911038860391876,1.0,2.3399728935777197e-14,2.33997289357772e-13,3.231962419539261e-08,1.0,1.4613715713616256e-09
UGT2A3,10,1.6647334923802322e-12,1.664733492380232e-11,0.9995299978935582,1.0,1.0664535899498416e-14,1.0664535899498417e-13,4.5259248919230894e-08,1.0,8.880359043512332e-10
LYN,10,1.8117468844013809e-12,1.811746884401381e-11,4.444276038430598e-17,4.444276038430598e-16,0.9890196459005411,1.0,4.5259248919230894e-08,2.7755614929008694e-12,1.0
IFITM1,10,3.7169660479519705e-12,3.7169660479519706e-11,5.061756898662649e-15,5.061756898662649e-14,0.9790497737993872,1.0,8.441229894898926e-08,8.720408612671829e-11,1.0
C2,10,4.396176419234496e-12,4.396176419234496e-11,3.2821181957167605e-14,3.2821181957167607e-13,0.9999999005769737,1.0,9.151740260741412e-08,3.5648084629217563e-10,1.0
SAMD9L,10,5.828616167562559e-12,5.828616167562559e-11,1.0139674399215418e-16,1.0139674399215417e-15,0.9813076768567395,1.0,1.093321463104239e-07,5.065984123336007e-12,1.0
APOL1,10,6.127256908634301e-12,6.127256908634301e-11,4.0936765179456775e-16,4.093676517945677e-15,0.9873795110878503,1.0,1.093321463104239e-07,1.4609161870685853e-11,1.0
KYNU,10,7.69924654946414e-12,7.69924654946414e-11,8.291723197534593e-16,8.291723197534593e-15,0.9962455459549538,1.0,1.282232520347758e-07,2.0713553719761166e-11,1.0
S100P,10,8.5704763352187e-12,8.5704763352187e-11,3.1558066297318407e-15,3.155806629731841e-14,0.9959790966486561,1.0,1.3381191833131146e-07,6.569600451444259e-11,1.0
C4BPB,10,9.288843032470471e-12,9.288843032470471e-11,3.5160498602302776e-15,3.5160498602302777e-14,0.9968546561113267,1.0,1.3649681634949697e-07,6.756495504493274e-11,1.0
APOL2,10,1.2509553396433174e-11,1.2509553396433175e-10,5.2362246983738615e-15,5.2362246983738614e-14,0.9518773531950101,1.0,1.7361175188683175e-07,8.720408612671829e-11,1.0
RTEL1,10,1.3398094312266288e-11,1.3398094312266287e-10,2.6398058070294986e-16,2.6398058070294987e-15,0.9901716089122411,1.0,1.7615673369196005e-07,1.0990831477567317e-11,1.0
IFITM2,10,1.6261048830264085e-11,1.6261048830264085e-10,7.810848362059854e-16,7.810848362059854e-15,0.9804302409756058,1.0,2.0310863041441355e-07,2.0713553719761166e-11,1.0
LPIN1,10,2.0460653087608526e-11,2.0460653087608527e-10,1.637120888365705e-14,1.637120888365705e-13,0.9845945011345771,1.0,2.4339408322930886e-07,1.9474722339173178e-10,1.0
GPX8,10,2.5754713002050792e-11,2.575471300205079e-10,8.024928480969317e-15,8.024928480969317e-14,0.9919727500499838,1.0,2.924447661382867e-07,1.2529421148943408e-10,1.0
RIPK2,10,5.0953976212606e-11,5.0953976212606e-10,1.7277258007555676e-13,1.7277258007555676e-12,0.9383309197816667,1.0,5.392632400635486e-07,1.3078884311719647e-09,1.0
CFB,10,5.180864561676941e-11,5.180864561676941e-10,1.0679135933064259e-14,1.0679135933064259e-13,0.9985905900692907,1.0,5.392632400635486e-07,1.3737979096638967e-10,1.0
IFITM3,10,6.603576447812262e-11,6.603576447812262e-10,2.8231079428757003e-15,2.8231079428757004e-14,0.994373080481153,1.0,6.401712809103717e-07,6.411278138270716e-11,1.0
CXCL1,10,6.779872263028531e-11,6.779872263028531e-10,2.733018581723069e-13,2.733018581723069e-12,0.9969829559574466,1.0,6.401712809103717e-07,2.0080452114712936e-09,1.0
DAPP1,10,7.055987274091732e-11,7.055987274091732e-10,1.0998742321475495e-14,1.0998742321475495e-13,0.9989517271248015,1.0,6.401712809103717e-07,1.3737979096638967e-10,1.0
CASP1,10,7.326223373066333e-11,7.326223373066333e-10,9.211729299162426e-15,9.211729299162426e-14,0.9918406224352575,1.0,6.401712809103717e-07,1.3536365271904502e-10,1.0
PDE6A,10,7.431634901085137e-11,7.431634901085137e-10,0.9999847170753102,1.0,1.7269909250145825e-12,1.7269909250145826e-11,6.401712809103717e-07,1.0,5.392745037223661e-08
TAP1,10,8.506380411953572e-11,8.506380411953572e-10,1.0134400008820098e-14,1.0134400008820097e-13,0.9772468190558113,1.0,7.083262969033739e-07,1.3737979096638967e-10,1.0
OLFM4,10,9.843793848856175e-11,9.843793848856176e-10,4.042364828736206e-14,4.042364828736206e-13,0.9999998507455962,1.0,7.745549371532046e-07,4.0392926314663665e-10,1.0
AMT,10,9.921843796846623e-11,9.921843796846623e-10,0.9536381321160862,1.0,4.092012509565048e-12,4.092012509565048e-11,7.745549371532046e-07,1.0,9.72861356483648e-08
LCN2,10,1.219710499356604e-10,1.2197104993566041e-09,4.665690827851714e-13,4.665690827851714e-12,0.9984904523935962,1.0,9.233208480129493e-07,2.988554424886248e-09,1.0
SUCLG2,10,1.3733161290449417e-10,1.3733161290449417e-09,0.8749775671480969,1.0,1.1486129179611176e-13,1.1486129179611176e-12,9.90214531692878e-07,1.0,5.738699860717336e-09
STOM,10,1.3873547339678447e-10,1.3873547339678447e-09,3.534394900765379e-14,3.5343949007653787e-13,0.9912982295045222,1.0,9.90214531692878e-07,3.6788632923341636e-10,1.0
ANXA5,10,1.7879778269999623e-10,1.7879778269999622e-09,6.018741957533382e-13,6.018741957533382e-12,0.9838625010805868,1.0,1.2407076137857239e-06,3.2685694095900308e-09,1.0
PTAFR,10,1.9843828001497557e-10,1.9843828001497555e-09,2.86093085503907e-14,2.8609308550390697e-13,0.9555798089936909,1.0,1.3397801819065146e-06,3.2485869858968637e-10,1.0
ACAT1,10,2.181592902020233e-10,2.181592902020233e-09,0.9962455459549538,1.0,9.668935176437518e-11,9.668935176437518e-10,1.4341676917201959e-06,1.0,5.367548214279681e-07
CD44,10,2.609532396640854e-10,2.609532396640854e-09,4.03580275535838e-13,4.03580275535838e-12,0.9730662326338861,1.0,1.6554187995057803e-06,2.724821314367776e-09,1.0
CYTOR,10,2.650684599504872e-10,2.650684599504872e-09,5.470693358264041e-14,5.470693358264041e-13,0.9694680337046879,1.0,1.6554187995057803e-06,5.061607066029408e-10,1.0
SHISA5,10,3.059835462824634e-10,3.059835462824634e-09,1.395538766965264e-12,1.395538766965264e-11,0.993905459299213,1.0,1.8643353584590777e-06,5.810325656259877e-09,1.0
PARP9,10,3.1674657105088157e-10,3.167465710508816e-09,9.021067356940656e-13,9.021067356940657e-12,0.9858375478612277,1.0,1.8839633551004935e-06,4.251986483844048e-09,1.0
BTN3A3,10,3.86901611181087e-10,3.86901611181087e-09,4.852735463003783e-14,4.852735463003783e-13,0.9810299730408161,1.0,2.247718406724357e-06,4.662545561588366e-10,1.0
NOS2,10,4.947818587742957e-10,4.947818587742957e-09,6.258084930826912e-14,6.258084930826912e-13,0.910723438782188,1.0,2.809124003191064e-06,5.357210559959995e-10,1.0
TNFRSF6B,10,5.085222105213651e-10,5.08522210521365e-09,6.014570521480432e-14,6.014570521480432e-13,0.9901716089122411,1.0,2.8229762980076044e-06,5.357210559959995e-10,1.0
DUOX2,10,5.266926541948282e-10,5.266926541948282e-09,6.433542163996632e-14,6.433542163996631e-13,0.9994965894036659,1.0,2.836498066822439e-06,5.357210559959995e-10,1.0
ENTREP2,9,5.929635818362162e-10,5.336672236525946e-09,0.982208354502963,1.0,3.911694460836714e-11,3.520525014753043e-10,2.836498066822439e-06,1.0,3.5178494157418306e-07
GFUS,10,5.761920364400887e-10,5.761920364400887e-09,1.5970942993378438e-13,1.5970942993378438e-12,0.9133800385117407,1.0,2.9987194296478864e-06,1.2467816466174587e-09,1.0
RBPMS,10,7.183736379273313e-10,7.183736379273313e-09,2.7185465270339482e-12,2.7185465270339482e-11,0.997651976931543,1.0,3.662386091645442e-06,1.0779684252672232e-08,1.0
HIF1A,10,7.445837316302376e-10,7.445837316302376e-09,7.365563610556998e-12,7.365563610556998e-11,0.999080797931555,1.0,3.7200892399709935e-06,2.4864749264233024e-08,1.0
PXMP2,10,8.07485825376414e-10,8.07485825376414e-09,0.9916414651600716,1.0,1.4056363588548658e-12,1.4056363588548659e-11,3.95525556935847e-06,1.0,5.016314554364772e-08
BMAL2,9,1.0034792017651086e-09,9.031312815885978e-09,1.1907679632950993e-13,1.0716911669655894e-12,0.9968322632800481,1.0,4.338677412570147e-06,8.636102271602384e-10,1.0
S100A8,10,9.230989930377202e-10,9.230989930377202e-09,8.89764699796409e-13,8.89764699796409e-12,0.9894761546984777,1.0,4.350931310391564e-06,4.251986483844048e-09,1.0
PPARGC1A,10,1.0714569552479093e-09,1.0714569552479093e-08,0.9330049180052246,1.0,1.898905384251582e-11,1.898905384251582e-10,4.9566789257496335e-06,1.0,2.3718277701994387e-07
