library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value
GO_Biological_Process_2023,Regulation Of T Cell Proliferation (GO:0042129),10,2.258145164367009,0.11064847409218075,2.041274155146335,2.4750161735876834,1.4116237775718757e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,76,0.5323508771929826,ANXA1;ARG1;CCDC88B;CCL19;CD1D;CD209;CD274;CD276;CD28;CD3E;CD40LG;CD6;CD70;CD80;CD86;CEBPB;CLC;CR1;DLG5;FOXP3;GLMN;GPNMB;HLA-DMB;HLA-DPA1;HLA-DRB1;HLA-G;IDO1;IL10;IL12B;IL15;IL1B;IL21;IL23A;IL23R;IL4;IL4I1;IL6;IL6ST;JAK2;LEP;LILRB1;LILRB2;LILRB4;MYDGF;NCK1;NCKAP1L;PDCD1LG2;PLA2G2A;PLA2G2D;PLA2G2E;PLA2G2F;PLA2G5;PNP;PTPRC;RIPK3;SDC4;SFTPD;SLC7A1;SPN;TNFRSF13C;TNFRSF1B;TNFRSF21;TNFSF18;TNFSF8;TNFSF9;TYK2;VCAM1;VSIG4;VTCN1;ZP3;ZP4,71,ANXA1;CCDC88B;CCL19;CD274;CD276;CD28;CD3E;CD6;CD70;CD80;CD86;CEBPB;CLC;CR1;HLA-DMB;HLA-DPA1;HLA-DRB1;HLA-G;IDO1;IL10;IL15;IL1B;IL21;IL23A;IL4I1;IL6;IL6ST;JAK2;LILRB1;LILRB2;LILRB4;MYDGF;NCKAP1L;PDCD1LG2;PLA2G2A;PLA2G2D;PNP;PTPRC;SLC7A1;TNFRSF1B;TNFSF8;TNFSF9;TYK2;VCAM1;VSIG4,45,2.4668497777214865e-89
WikiPathway_2023_Human,Type II Interferon Signaling WP619,10,2.5390296794060543,0.12446050940792529,2.2950870809665207,2.782972277845588,1.662489028785532e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,37,0.6536143286143286,CIITA;CXCL10;CXCL9;CYBB;GBP1;HLA-B;ICAM1;IFI6;IFIT2;IFNA2;IFNB1;IFNG;IFNGR1;IL1B;IRF1;IRF2;IRF4;IRF9;ISG15;JAK1;JAK2;NOS2;OAS1;PSMB9;PTPN11;REG1A;SOCS1;SOCS3;SPI1;STAT1;STAT2;TAP1,32,CIITA;CXCL10;CXCL9;CYBB;GBP1;HLA-B;ICAM1;IFI6;IFNG;IFNGR1;IL1B;IRF1;IRF4;IRF9;ISG15;JAK1;JAK2;NOS2;PSMB9;REG1A;SOCS1;SOCS3;SPI1;STAT1;STAT2;TAP1,26,2.4668497777214865e-89
GO_Biological_Process_2023,Regulation Of Interleukin-1 Beta Production (GO:0032651),10,2.245513587851515,0.11008258064733162,2.029751729782745,2.461275445920285,1.7261402009181588e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,80,0.5385506566604128,AIM2;APP;AZU1;CARD16;CARD17P;CARD8;CASP1;CASP8;CCL19;CCL3;CCR7;CD33;CLEC7A;CPTP;CX3CL1;CX3CR1;EGR1;F2R;FFAR4;GBP5;GHRL;GHSR;GIT1;GSDMD;GSTP1;HSPB1;IFI16;IFNG;IGF1;IL17A;IL6;JAK2;LCP1;LGALS9;LILRA2;LILRB4;LILRP2;MALT1;MEFV;MNDA;MYD88;NAIP;NLRC4;NLRP1;NLRP12;NLRP3;NLRP7;NOD2;ORM1;ORM2;P2RX7;PANX1;PYCARD;PYDC1;PYHIN1;RIPK2;SERPINB1;SIRPA;STAT3;TLR4;TLR6;TLR8;TMEM106A;TNF;TNFAIP3;TRIM16;TYROBP;WNT5A;ZC3H12A,69,AIM2;CARD16;CARD8;CASP1;CASP8;CCL19;CCL3;CCR7;CLEC7A;CX3CL1;EGR1;F2R;GBP5;GSDMD;GSTP1;IFI16;IFNG;IL17A;IL6;JAK2;LCP1;LILRA2;LILRB4;MALT1;MNDA;NLRC4;NLRP1;NLRP3;NLRP7;NOD2;ORM2;P2RX7;PANX1;PYHIN1;RIPK2;SERPINB1;SIRPA;STAT3;TLR4;TLR6;TLR8;TMEM106A;TNF;TNFAIP3;TRIM16;TYROBP;WNT5A;ZC3H12A,48,2.4668497777214865e-89
GO_Biological_Process_2023,Negative Regulation Of Viral Process (GO:0048525),10,1.9417999785116171,0.0951960369972794,1.7552157459969495,2.128384211026285,1.7452467274374026e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,60,0.44892655367231643,APOBEC3A;APOBEC3C;APOBEC3F;APOBEC3G;APOBEC3H;BANF1;BST2;BTBD17;CCL5;EIF2AK2;FAM111A;IFI16;IFIH1;IFIT1;IFIT5;IFITM1;IFITM2;IFITM3;IFNB1;IFNL3;ILF3;ISG15;ISG20;LARP7;LTF;MID2;MX1;N4BP1;OAS1;OAS2;OAS3;OASL;PITX3;PLSCR1;PPIA;PROX1;RNASEL;RSAD2;SHFL;SLPI;SRPK1;SRPK2;STAT1;TNF;TNIP1;TRIM11;TRIM14;TRIM21;TRIM27;TRIM31;TRIM6;TRIM62;UBP1;ZC3HAV1;ZFP36;ZNFX1,56,APOBEC3F;APOBEC3G;BST2;FAM111A;IFI16;IFIT5;IFITM1;IFITM2;IFITM3;ISG15;ISG20;LTF;MID2;MX1;OAS2;OAS3;PLSCR1;SHFL;SLPI;SRPK2;STAT1;TNF;TRIM21;TRIM27;ZFP36;ZNFX1,26,2.4668497777214865e-89
GO_Biological_Process_2023,Positive Regulation Of Interleukin-1 Production (GO:0032732),10,2.3027943483883466,0.11290647567664491,2.0814976560621226,2.5240910407145707,1.8298861209415256e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,63,0.5823933874625118,AIM2;APP;AZU1;CARD8;CASP1;CASP8;CCL19;CCL3;CLEC7A;EGR1;GBP5;GSDMD;HMGB1;HSPB1;IFI16;IFNG;IGHD;IL16;IL17A;IL6;JAK2;LCP1;LGALS9;LILRA2;LILRP2;MALT1;MEFV;MNDA;MYD88;NAIP;NLRC4;NLRP1;NLRP12;NLRP3;NOD2;ORM1;ORM2;P2RX7;PANX1;PYCARD;PYDC1;PYHIN1;RIPK2;S100A13;SAA1;STAT3;TLR4;TLR6;TLR8;TMED10;TMEM106A;TNF;TRIM16;TYROBP;WNT5A,55,AIM2;CARD8;CASP1;CASP8;CCL19;CCL3;CLEC7A;EGR1;GBP5;IFI16;IFNG;IGHD;IL17A;IL6;JAK2;LCP1;LILRA2;MALT1;MNDA;NLRC4;NLRP1;NLRP3;NOD2;ORM2;P2RX7;PANX1;PYHIN1;RIPK2;S100A13;SAA1;STAT3;TLR4;TLR6;TLR8;TMED10;TMEM106A;TNF;TRIM16;TYROBP;WNT5A,40,2.4668497777214865e-89
GO_Biological_Process_2023,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),10,2.2236895559228147,0.10903029209458993,2.0099901834174183,2.437388928428211,1.8463387628964367e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,56,0.5859740259740259,AIM2;APP;AZU1;CARD8;CASP1;CASP8;CCL19;CCL3;CLEC7A;EGR1;GBP5;GSDMD;HSPB1;IFI16;IFNG;IL17A;IL6;JAK2;LCP1;LGALS9;LILRA2;LILRP2;MALT1;MEFV;MNDA;MYD88;NAIP;NLRC4;NLRP1;NLRP12;NLRP3;NOD2;ORM1;ORM2;P2RX7;PANX1;PYCARD;PYDC1;PYHIN1;RIPK2;STAT3;TLR4;TLR6;TLR8;TMEM106A;TNF;TRIM16;TYROBP;WNT5A,49,AIM2;CARD8;CASP1;CASP8;CCL19;CCL3;CLEC7A;EGR1;GBP5;GSDMD;IFI16;IFNG;IL17A;IL6;JAK2;LCP1;LILRA2;MALT1;MNDA;NLRC4;NLRP1;NLRP3;NOD2;ORM2;P2RX7;PANX1;PYHIN1;RIPK2;STAT3;TLR4;TLR6;TLR8;TMEM106A;TNF;TRIM16;TYROBP;WNT5A,37,2.4668497777214865e-89
GO_Biological_Process_2023,Response To Type II Interferon (GO:0034341),10,2.323064842576417,0.11394267722254975,2.0997371952202197,2.5463924899326145,2.1364619323124423e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,78,0.4861365298848767,AIF1;AQP4;BST2;CASP1;CCL11;CCL13;CCL15;CCL16;CCL17;CCL18;CCL19;CCL2;CCL20;CCL21;CCL22;CCL24;CCL25;CCL26;CCL3;CCL3L1;CCL4;CCL4L1;CCL7;CD40;CD47;CD74;CIITA;CX3CL1;CXCL16;CYP27B1;DAPK1;DAPK3;EPRS1;GAPDH;GBP1;GBP2;GBP4;GBP5;GBP6;GCH1;HLA-DPA1;IFITM1;IFITM2;IFITM3;IL12RB1;IRF8;KYNU;MEFV;NUB1;SHFL;SIRPA;SLC11A1;SNCA;SP100;STAT1;SYNCRIP;TLR2;TLR4;TRIM21;UBD;WNT5A,61,AIF1;BST2;CASP1;CCL11;CCL18;CCL2;CCL20;CCL22;CCL24;CCL3;CCL3L1;CCL4;CD40;CD74;CIITA;CX3CL1;CXCL16;CYP27B1;GAPDH;GBP1;GBP2;GBP4;GBP5;HLA-DPA1;IFITM1;IFITM2;IFITM3;IL12RB1;KYNU;NUB1;SHFL;SLC11A1;SP100;STAT1;TLR2;TLR4;TRIM21;UBD;WNT5A,39,2.4668497777214865e-89
GO_Biological_Process_2023,Defense Response To Bacterium (GO:0042742),10,2.245832231788158,0.11015696784395895,2.0299245748139985,2.4617398887623176,2.156178945734148e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,185,0.3981211340962722,ADGRB1;AKIRIN2;ANG;ANKRD17;ANXA3;AQP1;AZU1;BPI;CAMP;CASP1;CASP4;CEBPB;CFP;COLEC12;CRP;CST11;CTSG;CXCL13;DEFA1;DEFA3;DEFA4;DEFA5;DEFA6;DEFB103A;DEFB106A;DEFB107A;DEFB114;DEFB118;DEFB119;DEFB126;DEFB127;DEFB4A;DMBT1;DROSHA;EHHADH;ELANE;EPPIN;F3;FCER1G;FCN2;FGR;FPR2;GALP;GBP1;GBP2;GBP3;GBP4;GBP6;GBP7;GNLY;GSDMA;GSDMB;GSDMC;GSDMD;H2BC11;H2BC12;H2BC12L;H2BC21;H2BC8;HLA-A;HLA-E;HMGB2;HTN1;HTN3;IFNE;IGHA1;IGHA2;IGHM;IGKV3-20;IL12A;IL12B;IL18;IL1B;IL23A;IL6;IRGM;ISG15;JCHAIN;KRT6A;LACRT;LALBA;LCE3A;LCN2;LPO;LTF;LYG1;LYG2;LYST;LYZ;LYZL6;MARCHF2;MBL2;MPEG1;MPO;MR1;MYD88;NAIP;NLRC4;NLRP1;NOD1;NOD2;NOS2;OAS1;OAS2;OAS3;PGLYRP1;PGLYRP2;PGLYRP3;PGLYRP4;PI3;PLA2G1B;PLA2G2A;PLA2G6;PPP1R11;PRB3;PYCARD;RARRES2;RBCK1;REG3G;RNASE2;RNASE3;RNASE6;RNASE7;RNASE8;RNF213;RNF31;ROMO1;RPL39;RPS19;S100A12;S100A8;S100A9;SELP;SEMG1;SEMG2;SERPINE1;SFTPD;SHC1;SLAMF8;SLC11A1;SLPI;SPN;SPRR2A;STAB1;STAB2;SYK;TFEB;TIRAP;TLR2;TLR3;TLR4;TLR6;TLR9;TNFRSF14;TREM2;UMOD;WFDC10B;WFDC11;WFDC12;WFDC13;WFDC2;WFDC3;WFDC5;WFDC9;ZNFX1,165,AKIRIN2;ANXA3;CASP1;CASP4;CEBPB;CFP;CXCL13;DEFA1;DEFA3;DEFA5;DEFA6;DEFB4A;DMBT1;F3;FCER1G;FGR;FPR2;GBP1;GBP2;GBP4;GSDMB;GSDMD;H2BC12;H2BC12L;HLA-A;HLA-E;IGHA1;IGHA2;IGHM;IL18;IL1B;IL23A;IL6;ISG15;KRT6A;LCN2;LTF;LYST;LYZ;MR1;NLRC4;NLRP1;NOD2;NOS2;OAS2;OAS3;PI3;PLA2G2A;RNASE2;RNASE6;RNF213;S100A12;S100A8;S100A9;SELP;SEMG1;SERPINE1;SLAMF8;SLC11A1;SLPI;TLR2;TLR4;TLR6;TLR9;WFDC12;WFDC5;ZNFX1,67,2.4668497777214865e-89
Reactome_2022,Interleukin-10 Signaling R-HSA-6783783,10,2.562583419460983,0.12573964126686088,2.3161337225779355,2.8090331163440303,2.5126587356111532e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,45,0.6674829692271553,CCL19;CCL2;CCL20;CCL22;CCL3;CCL3L1;CCL4;CCR1;CCR2;CCR5;CD80;CD86;CSF1;CSF2;CSF3;CXCL1;CXCL10;CXCL2;CXCL8;FCER2;FPR1;ICAM1;IL10;IL10RA;IL12B;IL18;IL1A;IL1B;IL1R1;IL1RN;IL6;JAK1;LIF;PTAFR;PTGS2;STAT3;TIMP1;TNF;TNFRSF1B;TYK2,40,CCL2;CCL20;CCL22;CCL3;CCL3L1;CCL4;CCR1;CCR2;CCR5;CD80;CD86;CSF2;CSF3;CXCL1;CXCL10;CXCL2;CXCL8;FPR1;ICAM1;IL10;IL10RA;IL18;IL1A;IL1B;IL1R1;IL1RN;IL6;JAK1;LIF;PTAFR;PTGS2;STAT3;TIMP1;TNF;TNFRSF1B,35,2.4668497777214865e-89
Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,10,2.4453635753639142,0.12001377238089092,2.210136581497368,2.6805905692304606,2.748080660037663e-92,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,72,0.5143954248366013,ABCE1;ADAR;BST2;EGR1;GBP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;HLA-G;HOXC13;IFI27;IFI35;IFI6;IFIT1;IFIT2;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;IFNA1;IFNA10;IFNA16;IFNA17;IFNA2;IFNA21;IFNA5;IFNA6;IFNA7;IFNAR2;IRF1;IRF3;IRF4;IRF5;IRF7;IRF8;IRF9;ISG15;ISG20;JAK1;KPNA1;KPNB1;MX1;MX2;OAS1;OAS2;OAS3;OASL;PSMB8;PTPN1;PTPN11;PTPN6;RNASEL;RSAD2;SAMHD1;SOCS1;SOCS3;STAT1;STAT2;TYK2;USP18;XAF1,64,ADAR;BST2;EGR1;GBP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IFI27;IFI35;IFI6;IFIT3;IFIT5;IFITM1;IFITM2;IFITM3;IFNAR2;IRF1;IRF4;IRF7;IRF9;ISG15;ISG20;JAK1;KPNB1;MX1;MX2;OAS2;OAS3;PSMB8;PTPN1;SAMHD1;SOCS1;SOCS3;STAT1;STAT2;USP18;XAF1,39,2.4668497777214865e-89
