gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
SNORA54,1,3.357986947232285,0.547916055436294,2.2840714785771485,4.431902415887421,8.862661462549933e-10,0.0,0.0,up,1,0,1.0,,1.9628136341109337e-05
SNORD60,1,2.8987464497062887,0.5078946002954896,1.903273033127129,3.8942198662854484,1.1472982390999164e-08,0.0,0.0,up,1,0,1.0,,0.00012704607050672924
RMRP,1,2.803945912383669,0.5000066558457248,1.8239328669260486,3.78395895784129,2.048942941030434e-08,0.0,0.0,up,1,0,1.0,,0.0001512597977166701
SERPINA1,3,0.794447779866621,0.14420052824896593,0.5118147444986478,1.077080815234594,3.602094000854095e-08,0.0,0.0,up,3,0,1.0,0.25,0.0001780088390727983
SNORD94,1,2.6972400982153415,0.49129846068964983,1.734295115263628,3.660185081167055,4.018802525687414e-08,0.0,0.0,up,1,0,1.0,,0.0001780088390727983
LOC102724200,1,-2.4132130026851932,0.4690719391283285,-3.332594003376717,-1.4938320019936695,2.680137853529337e-07,0.0,0.0,down,0,1,1.0,,0.0009815945624655183
RNVU1-15,1,2.3921665425592256,0.4674838891261132,1.4758981198720438,3.3084349652464073,3.1025249186158974e-07,0.0,0.0,up,1,0,1.0,,0.0009815945624655183
SNORA49,1,2.3227643280632027,0.4623083711860502,1.4166399205385443,3.2288887355878613,5.053382091800904e-07,0.0,0.0,up,1,0,1.0,,0.0012608060895437391
SNORA7B,1,2.310297031405049,0.4613887651024446,1.4059750518042575,3.2146190110058406,5.520813732926721e-07,0.0,0.0,up,1,0,1.0,,0.0012608060895437391
CCL11,3,0.7163922473870608,0.14347473991019852,0.43518175716307167,0.9976027376110499,5.939949099253994e-07,0.0,0.0,up,3,0,1.0,0.25,0.0012608060895437391
NMRAL2P,2,-1.1773175272826308,0.23626914529612464,-1.640405052063035,-0.7142300025022266,6.26218764843145e-07,0.0,0.0,down,0,2,1.0,0.5,0.0012608060895437391
SLC49A4,3,0.7095194136156215,0.14311453947890737,0.4290149162369631,0.99002391099428,7.133141322057668e-07,0.0,0.0,up,3,0,1.0,0.25,0.0013164806738300931
SNX30,1,-2.2353386550034284,0.4559263166652679,-3.1289542356673534,-1.3417230743395034,9.445578106038046e-07,0.0,0.0,down,0,1,1.0,,0.0016091632178032661
TLCD4-RWDD3,1,-2.2222093766802544,0.45498148693355484,-3.113973091070022,-1.330445662290487,1.0386259994479515e-06,0.0,0.0,down,0,1,1.0,,0.0016430321435552703
HOXA10-HOXA9,1,-2.186987297740039,0.4524647103792752,-3.0738181300834184,-1.3001564653966597,1.3415459013885937e-06,0.0,0.0,down,0,1,1.0,,0.001856951067378324
MIR196B,1,-2.186987297740039,0.4524647103792752,-3.0738181300834184,-1.3001564653966597,1.3415459013885937e-06,0.0,0.0,down,0,1,1.0,,0.001856951067378324
HMGXB3,1,2.1734960607410025,0.45150768749571096,1.2885409932494092,3.058451128232596,1.4804046405367978e-06,0.0,0.0,up,1,0,1.0,,0.0019286189161157917
SNORD104,1,2.164385207725821,0.4508636034840601,1.2806925448970634,3.048077870554579,1.5824459550275432e-06,0.0,0.0,up,1,0,1.0,,0.0019470239203330554
TNFSF12-TNFSF13,1,2.150477549698401,0.4498838675752799,1.2687051692508522,3.03224993014595,1.7523190253121075e-06,0.0,0.0,up,1,0,1.0,,0.0020425583922940656
SCARNA8,1,2.1350633645545916,0.44880290924550853,1.2554096624333948,3.0147170666757885,1.962573268659432e-06,0.0,0.0,up,1,0,1.0,,0.002102541437767129
YWHAQP8,1,-2.1329296313794908,0.44865368429540636,-3.012290852598487,-1.2535684101604945,1.9936501644967583e-06,0.0,0.0,down,0,1,1.0,,0.002102541437767129
VPS52,3,-0.6758045156359358,0.14275990223327245,-0.9556139240131498,-0.3959951072587218,2.202963594544194e-06,0.0,0.0,down,0,3,1.0,0.25,0.0022176833967441027
IL33,3,0.7117577416772319,0.15252358417289513,0.4128115166983575,1.0107039666561064,3.063107615774996e-06,0.006094541809607402,0.1844256998102677,up,3,0,1.0,0.25,0.0029013635022782556
SPARCL1,3,0.6654891118151193,0.14277286879251866,0.3856542889817827,0.9453239346484559,3.1441154131339744e-06,0.0,0.0,up,3,0,1.0,0.25,0.0029013635022782556
