gene,datasets,rra_rho,rra_p,rra_rho_up,rra_p_up,rra_rho_down,rra_p_down,rra_q,rra_q_up,rra_q_down
AHCYL2,3,3.635293744969404e-06,1.0905881234908213e-05,0.5996904818471824,1.0,1.6160817778776044e-06,4.848245333632814e-06,0.22588964877801765,1.0,0.10737408940396592
ZNF439,3,6.7997064697406015e-06,2.0399119409221805e-05,0.020912697688136226,0.06273809306440868,0.0004651919835954584,0.0013955759507863752,0.22588964877801765,0.8109463925497947,0.6052563028520749
SNORA54,1,9.40203083866115e-05,9.40203083866115e-05,4.701015419330575e-05,4.701015419330575e-05,1.0,1.0,0.4384816765020163,0.33565241848921984,1.0
SERF1B,2,5.3895770529407706e-05,0.00010779154105881541,0.9920452482491436,1.0,1.6344824201470915e-05,3.268964840294183e-05,0.4384816765020163,1.0,0.2887210665234078
NUDT19,2,5.9034304797546934e-05,0.00011806860959509387,0.9927765946067382,1.0,1.9554865209062703e-05,3.9109730418125405e-05,0.4384816765020163,1.0,0.2887210665234078
GRB10,3,4.9458625289178555e-05,0.00014837587586753566,5.372634806185733e-06,1.61179044185572e-05,0.9725615253535203,1.0,0.4384816765020163,0.33565241848921984,1.0
PDE6A,3,5.120006853423496e-05,0.00015360020560270488,0.6184837105518006,1.0,2.9698965841113487e-05,8.909689752334047e-05,0.4384816765020163,1.0,0.4933072473623553
CCND2,3,5.2796517391612566e-05,0.0001583895521748377,0.0029587169063741907,0.008876150719122572,0.00760872282880849,0.02282616848642547,0.4384816765020163,0.5206022781328681,0.8064178471249391
DPP10-AS1,2,0.00010487402001127962,0.00020974804002255924,0.998464084500288,1.0,0.00010487402001127962,0.00020974804002255924,0.47900825633716854,1.0,0.5198920165851095
SNORD60,1,0.00023505077096652876,0.00023505077096652876,9.40203083866115e-05,9.40203083866115e-05,0.9999529898458067,0.9999529898458067,0.47900825633716854,0.33565241848921984,1.0
ASPHD2,3,9.077133104391758e-05,0.00027231399313175277,0.000826232713504487,0.002478698140513461,0.0204220910650664,0.0612662731951992,0.47900825633716854,0.45632623936503486,0.9560018810406973
MAPKAPK2,3,0.00010154462616024093,0.0003046338784807228,0.004224949805023138,0.012674849415069415,0.008598310201956966,0.0257949306058709,0.47900825633716854,0.5690157470053135,0.8339858804791573
MUC1,3,0.00010302923549390665,0.00030908770648171996,0.0016010022023589868,0.00480300660707696,0.01041084469811128,0.03123253409433384,0.47900825633716854,0.496878170291449,0.8482794374671702
RNF135,3,0.00011055314458319543,0.00033165943374958626,0.3044448575778407,0.913334572733522,4.023748860418021e-05,0.00012071246581254062,0.47900825633716854,1.0,0.5198920165851095
EAPP,3,0.00012937518031856503,0.0003881255409556951,0.006288248940102278,0.018864746820306835,0.015014481455591025,0.04504344436677307,0.47900825633716854,0.6161757508446656,0.9082701170466325
CRYZL1,3,0.00013454095957873385,0.00040362287873620155,0.008433424678988756,0.025300274036966268,0.00287078747066259,0.00861236241198777,0.47900825633716854,0.6462447150771751,0.7299710029176912
LINC00963,1,0.0004195070791819612,0.0004195070791819612,0.0001048767697954903,0.0001048767697954903,0.9999475616151022,0.9999475616151022,0.47900825633716854,0.33565241848921984,1.0
KRT12,3,0.00014102383282001574,0.00042307149846004723,0.696022447776387,1.0,0.00014102383282001574,0.00042307149846004723,0.47900825633716854,1.0,0.5796874312445919
FGFR2,3,0.0001465022783723448,0.00043950683511703443,0.0051318738608482645,0.015395621582544794,0.015991464942331952,0.04797439482699586,0.47900825633716854,0.5971775437111372,0.9294757079702296
APOBEC3B,3,0.00015462153088197453,0.0004638645926459236,0.06915054833479793,0.20745164500439378,0.0005151571056628085,0.0015454713169884256,0.47900825633716854,1.0,0.6052563028520749
CCL11,3,0.00016377810668349144,0.0004913343200504744,2.9718892930552726e-05,8.915667879165817e-05,0.9926243955787033,1.0,0.47900825633716854,0.33565241848921984,1.0
FAHD1,3,0.00016551420718239734,0.000496542621547192,0.9887599409300376,1.0,5.1342023006060806e-05,0.00015402606901818242,0.47900825633716854,1.0,0.5198920165851095
TBXA2R,3,0.0001658191462463671,0.0004974574387391012,0.0001658191462463671,0.0004974574387391012,0.9388683831321603,1.0,0.47900825633716854,0.45632623936503486,1.0
SLC40A1,3,0.0001838629615965496,0.0005515888847896488,3.403129143624321e-05,0.00010209387430872962,0.9712314418920239,1.0,0.509001626309848,0.33565241848921984,1.0
CIC,3,0.00020584671714359823,0.0006175401514307947,0.0016444666991380025,0.0049334000974140075,0.0412093380798107,0.1236280142394321,0.5337991916838069,0.49890416418916905,1.0
AVIL,3,0.00020888877325414993,0.0006266663197624498,0.24708932789870344,0.7412679836961104,0.00011504085794857522,0.00034512257384572566,0.5337991916838069,1.0,0.5796874312445919
SERF1A,2,0.0003426478607091309,0.0006852957214182618,0.9919305983029529,1.0,0.00010563571023763909,0.00021127142047527818,0.5577502954923979,1.0,0.5198920165851095
RMRP,1,0.0007051523128995864,0.0007051523128995864,0.00023505077096652876,0.00023505077096652876,0.9998119593832268,0.9998119593832268,0.5577502954923979,0.4338057853829761,1.0
SNORD94,1,0.0007991726212861978,0.0007991726212861978,0.0003290710793531403,0.0003290710793531403,0.9997179390748402,0.9997179390748402,0.6103198635732905,0.4554960746521248,1.0
NUDT15,3,0.00031459731312949657,0.0009437919393884898,0.9946663872381168,1.0,0.00031459731312949657,0.0009437919393884898,0.6884601875673325,1.0,0.5796874312445919
