library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD2,2,3,0.6666666666666666,-0.3784376868533114,0.640346253494088,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC4,2,3,0.6666666666666666,-0.36846963448763265,0.20103361937859487,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD11,2,3,0.6666666666666666,-0.4410787936279881,0.08750343486866329,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD7,2,3,0.6666666666666666,-0.38744256426706203,0.16577822042160253,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ERLIN2,2,3,0.6666666666666666,-0.37974139070075247,0.1803450685010206,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,RNF5,2,3,0.6666666666666666,-0.33399309366911634,0.2815805518725693,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA6,2,3,0.6666666666666666,-0.1893958594803881,0.6363875510663858,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC3,2,3,0.6666666666666666,-0.5673349792912956,0.6421767888933572,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA3,2,3,0.6666666666666666,0.4301418310783676,0.6685591574769706,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA7,2,3,0.6666666666666666,-0.12522585878525394,0.7957309599982867,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,EIF2S2,2,3,0.6666666666666666,-0.14051360135439178,0.713373492879763,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD6,2,3,0.6666666666666666,-0.11459474142297285,0.7629158300646474,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCD3,2,3,0.6666666666666666,-0.8305006935873822,0.5222800331939526,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,VCP,2,3,0.6666666666666666,0.021703786277098656,0.9738503268141988,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC1,2,3,0.6666666666666666,0.10340858430518002,0.8497268139299494,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB9,2,3,0.6666666666666666,-0.5686898372912825,0.44314363319038624,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA9,2,3,0.6666666666666666,-0.18631384664101164,0.6565612540334843,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD5,2,3,0.6666666666666666,0.125285812740501,0.9191285699889596,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,APOA1,2,3,0.6666666666666666,0.23612583905319168,0.8280196524624842,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB6,2,3,0.6666666666666666,0.029876986448132806,0.9720893791862073,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,SEL1L,2,3,0.6666666666666666,-0.14096716017891964,0.8903487329063218,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCF1,1,3,0.3333333333333333,-0.14148127989556306,0.8662940435725472,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD3,1,3,0.3333333333333333,-0.24529056455288978,0.6580694586744877,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSME3,1,3,0.3333333333333333,-0.29138249609316164,0.38545254639487264,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCD2,1,3,0.3333333333333333,-0.049701565201046724,0.9471057296989539,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC3,1,3,0.3333333333333333,-0.18688427246434747,0.6649849624539158,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,UBC,1,3,0.3333333333333333,-0.04928391821476925,0.9430069129968032,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,EIF2S1,1,3,0.3333333333333333,-0.2109265410732562,0.5962530842675346,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCA8,1,3,0.3333333333333333,-0.24022517717590153,0.5184395651269269,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB5,1,3,0.3333333333333333,-0.10010209269744344,0.8400516141939639,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD13,1,3,0.3333333333333333,-0.23750284952591175,0.5241821680335146,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC1,1,3,0.3333333333333333,-0.24356787398224267,0.5059713534954614,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSME4,1,3,0.3333333333333333,-0.12046241043036889,0.7734711934793586,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA5,1,3,0.3333333333333333,-0.04307227781732573,0.9412868820442865,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,RNF185,1,3,0.3333333333333333,0.12466990402294885,0.8705441834036576,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD12,1,3,0.3333333333333333,0.16044971057169533,0.8283462451444003,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB6,1,3,0.3333333333333333,0.020536897046128974,0.9782279768435495,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC5,1,3,0.3333333333333333,-0.14141248128316392,0.7121653317930533,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD9,1,3,0.3333333333333333,-0.12002125375097497,0.752376081316546,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB4,1,3,0.3333333333333333,-0.3537506683649289,0.4176754691555406,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB7,1,3,0.3333333333333333,0.046881503692360695,0.9505419011629361,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC9,1,3,0.3333333333333333,0.24128678691646052,0.7650779867537585,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB10,1,3,0.3333333333333333,0.04486409450518477,0.937430104443344,up,3
