dataset,library,Term,ES,NES,NOM p-val,FDR q-val,gene_set_size,n_leading_edge,Lead_genes,rank
GSE11223,Reactome_2022,Selenocysteine Synthesis R-HSA-2408557,0.625381394872043,2.7026949481797145,0.0,0.0,88,46,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;PSTK;RPS4Y2;SECISBP2,1
GSE11223,Reactome_2022,Peptide Chain Elongation R-HSA-156902,0.6228792790097633,2.6849021833699642,0.0,0.0,84,44,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2,2
GSE11223,Reactome_2022,Eukaryotic Translation Elongation R-HSA-156842,0.6170726080988702,2.679711575623756,0.0,0.0,88,45,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;EEF1B2;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2,3
GSE11223,Reactome_2022,SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,0.5825462151297436,2.617785224685081,0.0,0.0,106,53,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;SPCS1;RPS28;RPL39;RPL9;SRP54;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;SEC61G;SSR4;RPS25;SRPRA;RPS19;RPL21;SEC11C;RPL29;RPS20;RPL11;RPS27;RPL5;SSR2;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;SEC11A;RPS23;RPL22L1;RPS4Y1;SPCS3;RPS14;RPS24;RPS4Y2,4
GSE11223,Reactome_2022,Viral mRNA Translation R-HSA-192823,0.5858265491055056,2.5404940793817277,0.0,0.0,88,44,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2,5
GSE11223,Reactome_2022,Formation Of A Pool Of Free 40S Subunits R-HSA-72689,0.5790948053233473,2.534362069515358,0.0,0.0,96,55,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;EIF3H;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;EIF3F;EIF3E;RPS21;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2;RPL38;RPL32;EIF3L;EIF3D;RPL36AL;RPL10A;RPLP2;RPL27,6
GSE11223,Reactome_2022,Eukaryotic Translation Termination R-HSA-72764,0.5805433770128798,2.5045341133194783,0.0,0.0,87,45,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;RPL36A;RPL3;RPS10;TRMT112;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2,7
GSE11223,Reactome_2022,Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,0.5633134049134937,2.477795966710733,0.0,0.0,96,46,RPL34;RPL37;RPS29;RPL12;RPL37A;RPL18A;RPS13;RPS12;RPS27A;RPL7;RPL36;RPS3;RPS28;RPL39;RPL9;RPL23A;RPS9;RPS15A;RPS15;RPL31;RPL13A;RPL15;RPS3A;RPL30;ASNS;RPS25;RPS19;RPL21;RPL29;RPS20;RPL11;RPS27;RPL5;RPS21;DDIT3;RPL36A;RPL3;RPS10;RPS7;RPL18;RPS23;RPL22L1;RPS4Y1;RPS14;RPS24;RPS4Y2,8
GSE11223,Reactome_2022,Mitotic Metaphase And Anaphase R-HSA-2555396,-0.4924361461962855,-2.449861638160632,0.0,0.0,226,117,LMNA;TUBB8;KPNB1;BUB1B;ZWILCH;PSMD2;LEMD2;NUP98;PSMD3;SMC1A;NUDC;SKA1;TUBB;TUBB4B;RANGAP1;PSMC4;CDC20;SPC24;CENPI;CENPL;TUBA3D;AURKB;TUBB3;TUBB2A;PSMD11;PSME3;TUBA3C;ERCC6L;HDAC8;NDC1;PSMD7;PSMC3;ANKLE2;TUBA1C;NDE1;DYNLL1;UBE2I;UBC;TUBA4A;CKAP5;CHMP7;RCC1;RCC2;ZW10;PSMB5;ANAPC1;CC2D1B;PPP2R1B;PDS5B;PSMD13;ANAPC7;SEH1L;UBE2E1;PSMC1;PPP2R1A;KIF18A;PSME4;TUBA8;PSMA5;RANBP2;WAPL;KIF2C;PSMD12;CDC27;BIRC5;SGO2;SEC13;PSMB6;CDCA8;SPC25;TMPO;AHCTF1;BUB1;CHMP6;PPP2CA;PSMA6;NUP93;NDEL1;TUBA1B;PSMC5;PSMD9;CENPP;VRK1;TAOK1;PPP2R5E;CDCA5;ZWINT;NUP155;KNTC1;PPP2R5D;NDC80;MAD1L1;PSMB7;CENPF;CENPO;PSMB10;INCENP;DYNC1I2;CENPA;SPDL1;PSME2;XPO1;DYNC1LI1;DYNC1H1;NUF2;DYNC1LI2;BANF1;TNPO1;PSMD6;TUBA1A;ANAPC11;CCNB1;PPP2R5A;FBXO5;PSMB3;DYNLL2;NUP188,9
GSE11223,Reactome_2022,Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,-0.5619349870616576,-2.44713874862522,0.0,0.0,91,51,BUB1B;ZWILCH;NUP98;NUDC;SKA1;RANGAP1;CDC20;SPC24;CENPI;CENPL;AURKB;ERCC6L;NDE1;DYNLL1;CKAP5;RCC2;ZW10;PPP2R1B;SEH1L;PPP2R1A;KIF18A;RANBP2;KIF2C;BIRC5;SGO2;SEC13;CDCA8;SPC25;AHCTF1;BUB1;PPP2CA;NDEL1;CENPP;TAOK1;PPP2R5E;ZWINT;KNTC1;PPP2R5D;NDC80;MAD1L1;CENPF;CENPO;INCENP;DYNC1I2;CENPA;SPDL1;XPO1;DYNC1LI1;DYNC1H1;NUF2;DYNC1LI2,10
